skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Spear Mastery	136	bar	spear mastery		16																																											item_armor_percent	par3*(lvl-1)	item_attackertakesdamage	blvl*par4									walkingdecoy	walkingdecoy	1+blvl/10	NU	Iron Skin	clc3+stat('item_summskills'.accr)	Natural Resistance	clc4+stat('item_summskills'.accr)								ghostdecoy		druid_summon																																1	6		none												SC	SC	xx					4												1									24	20								1				20-((stat('cooldownrate'.accr)*2)/10)							1	8	15	1	1	1									par1*(lvl-1)	bonus hp%	min(ln56,99)	itemlevel	blvl+skill('Iron Skin'.blvl)*par8	Iron Skin Level	blvl+skill('Natural Resistance'.blvl)*par8	Natural Res Level	10	% hitpoints more per level			5	% AC increase per level	150	ATD per base level	25	Magic Item level	2	Magic Item level per level			1	passive synergy	1								8																																					100
Taunt	137	bar	taunt		71																34179		taunt			item_tohit_percent	-ln12	damagepercent	-dm34																																																	barbarian_taunt_1																															1	0		none												SC	SC	xx				1				1									1									1	30								1											1	8	3	0	1																		33	% to hit for target	0	% to hit for target/level	1	% damage for target min	66	% damage for target max									1								8																																					100
Shout	138	bar	shout		68												shout					shout	shout	ln34+(skill('Battle Orders'.blvl)+skill('Battle Command'.blvl))*par8		skill_armor_percent	ln12+(skill('Howl'.blvl)+skill('War Cry'.blvl))*par7																																																			barbarian_shout_1														25					shout												1	8		none												SC	SC	A1				1													1									6	30								1											1	7	12	1	1	1																	100	% AC bonus for friendlies	15	% AC bonus per level	625	duration	250	duration/level					5	ac synergy	125	duration synergy	1								8																																					100
Stun	139	bar	stun	32	2																																																																									barbarian_grunt_small_1	1																														1	0		h2h		mele										A1	A1	A1				1		1	1								1											1	30													1						1	8	2	0	1										ln34+(skill('Concentrate'.blvl)+skill('Bash'.blvl)+skill('Berserk'.blvl))*par8	damage %							30	Frames the target is stunned	5	additional frames/level	60	Damage % base	30	Damage % per level			5	stun synergy	5	to hit synergy	12	damage synergy	1			10+lvl*5+skill('Concentrate'.blvl)*par7			96		8	160														stun														30	5	5	5					100
Double Throw	140	bar	double throw		74																																																																																						11	42																	1	5		rng	3	thro					thro					SQ	A1	xx	15		1	1																						6	30													1		6				1	8	1	0	1										ln34+(skill('Double Swing'.blvl)+skill('Frenzy'.blvl)+skill('Phantom Hatchets'.blvl))*par8	damage%							0	?	0	?	100	Damage % base	18	Damage % per level			5	to hit synergy			12	damage synergy	1			20+lvl*10+skill('Concentrate'.blvl)*par6					8	128																																				100
Increased Stamina	141	bar	increased stamina																																													strength	ln34																																																												1	0		none												SC	SC	xx				1																						6	30																			0	8	0	0	1						1																5	strength bonus	5	strength per level							0	str synergy	1								8																																					100
Find Item	142	bar	find item																																											finditem		item_magicbonus	min(255,ln12)	item_goldbonus	min(255,ln12/2)																																																										1	0		none												SC	SC	xx				1																						12	25																			0	8	0	0	1						1												10	mf	5	mf/lvl													1								8																																					100
Leap Attack	143	bar	leap attack	41	78															bash																																																								1		barbarian_leapattack_1													30	44																	1	6		none		mele										SQ	A1	A1	14		1			1																				12	25													1						1	8	9	0	1										ln34+(skill('Leap'.blvl)+skill('Stun'.blvl)+skill('Bash'.blvl)+skill('Berserk'.blvl))*par8								4	min distance	30	max distance	200	Min % damage bonus	50	% damage bonus	4	Knockback range	2	knockback range per level	5	to hit synergy	9	damage synergy	1			50+lvl*15+skill('Concentrate'.blvl)*par7					8	160																																				100
Concentrate	144	bar	concentrate	32	2															doubledamage1		concentrate				skill_armor_percent	ln34																																																			barbarian_grunt_small_1	1																														1	0		h2h		mele										A1	A1	A1				1		1	1								1											6	30													1						1	5	16	1											ln12+(skill('Bash'.blvl)+skill('Stun'.blvl)+skill('Berserk'.blvl))*par8	damage%		post dmg add		attack rate bonus	skill('Berserk'.blvl)	convert%	120	Damage % base	25	Damage % per level	50	% AC bonus	0	% AC bonus per level	5	to hit synergy	0	ac synergy			10	damage synergy	1			60+lvl*15					8	160														mag																						100
Iron Skin	145	bar	iron skin																																													skill_armor_percent	ln12+(skill('Double Swing'.blvl)+skill('Double Throw'.blvl)+skill('Frenzy'.blvl))*par8																																																												1	0		none												SC	SC	xx				1																						18	25																			0	8	0	0	1						1												20	% AC bonus	7	% AC bonus per level	1	damage reduction	5	damage reduction per N levels							5	ac synergy	1								8																																					100
Battle Cry	146	bar	battle cry		68												battlecry				98304		battlecry	ln12+(skill('Battle Orders'.blvl)+skill('Battle Command'.blvl))*par8		skill_armor_percent	-min(95,ln34+(skill('Taunt'.blvl)+skill('War Cry'.blvl))*par4)	damagepercent	-min(95,ln56+(skill('Taunt'.blvl)+skill('War Cry'.blvl))*par6)																																																	barbarian_battlecry_1														25					battlecry												1	9		none												SC	SC	xx				1													1									18	25								1											1	8	5	0	1																		300	duration	100	duration/level	50	% AC for target	2	% AC/level	25	% damage for target	1	% damage/level			50	duration synergy	1								8																																					100
Frenzy	147	bar	frenzy		9																	frenzy		par7		velocitypercent	dm34	attackrate	dm56																																																			1												39																	1	3		h2h	3	mele					mele					SQ	A1	xx	11			1		1	1								1											18	25													1						1	8	2	0											ln12+(skill('Double Swing'.blvl)+skill('Bash'.blvl)+skill('Berserk'.blvl))*par8	damage%					skill('Berserk'.blvl)	convert%	100	Damage % base	18	Damage % per level / duration synergy	20	min % run speed increase	150	max % run speed increase	0	min % attack speed increase	60	max % attack speed increase	150	duration	12	damage synergy	1			100+lvl*7+skill('Concentrate'.blvl)*5					8	128														mag																						100
Increased Speed	148	bar	increased speed																																													velocitypercent	dm12	vitality	ln34																																																										1	0		none												SC	SC	xx				1																						12	25																			0	8	0	0	1						1												0	min % speed increase	40	max % speed increase	5	vit bonus	5	vit per level							0	vit synergy	1								8																																					100
Battle Orders	149	bar	battle orders		68												battleorders					battleorders	battleorders	ln12+(skill('Battle Cry'.blvl)+skill('Battle Command'.blvl))*par8		item_maxmana_percent	ln34+(skill('Howl'.blvl)+skill('Taunt'.blvl))*par7	item_maxhp_percent	ln34+(skill('Howl'.blvl)+skill('Taunt'.blvl))*par7																																																	barbarian_battleorders_1														25					battleorders												1	9		none												SC	SC	A1				1													1									18	25								1											1	7	14	1	1	1																	750	duration	250	duration/level	35	Base % increase	3	Increase per level					1	hp/mana synergy	125	duration synergy	1								8																																					100
Grim Ward	150	bar	grim ward	4										magicthrow																																																																													11					magicthrow													1	6	1	rng		thro										TH	TH	xx																										1	30													1						0	5	12	-1	1																																10	damage synergy	1	10	9						0	128														mag	7	7	14	28	56	56	14	7	14	28	56	56	((100+(skill('Berserk'.blvl)+skill('Double Throw'.blvl)+skill('Phantom Hatchets'.blvl)+skill('Berserk Fury'.blvl))*(par8*(1+stat('magic_multi'.accr))))*(100+stat('passive_mag2_mastery'.accr))/100)*256									100
Whirlwind	151	bar	whirlwind	38	76																	whirlwind																																																						1		barbarian_whirlwind													31	45																	1	3		none	2	mele										SQ	A1	xx	10		1			1									1		1									30	20													1						1	7	40	1											ln12+(skill('Leap Attack'.blvl)+skill('Frenzy'.blvl)+skill('Berserk'.blvl))*par8	damage%							50	Damage percent per attack	10	Damage percent per level	1	Attacks per tick					1	attacks per tick	5	to hit synergy	7	damage synergy	1			lvl*5+skill('Concentrate'.blvl)*par7					8	128																																				100
Berserk	152	bar	berserk	39	2																	berserk		par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))		damageresist	par5	armor_override_percent	-100+min(100,(skill('Shout'.blvl)+skill('Iron Skin'.blvl))*par6)																																																	barbarian_grunt_large_1	1																														1	4		h2h		mele										A1	A1	A1				1		1	1								1		1									24	20													1						1	8	4	0	1										(100+stat('strength'.accr)+ln12+(skill('Bash'.blvl) + skill('Stun'.blvl)+skill('Concentrate'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100-stat('strength'.accr)	damage%	par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))	duration			100	convert%	150	Damage % base	30	Damage % per level	25	min vulnerable duration	75	max vulerable duration	0	damage resist bonus	3	armor penalty synergy	5	to hit synergy	12	damage synergy	1			100+lvl*15+skill('Concentrate'.blvl)*par7					8	160														mag																						100
Natural Resistance	153	bar	natural resistance																																											naturalresistance		fireresist	dm12	lightresist	dm12	coldresist	dm12	poisonresist	dm12	magicresist	dm12/4																																																				1	0		none												SC	SC	xx				1																						30	20																			0	8	0	0	1						1												0	min % resistance bonus	80	max % resistance bonus											1	resist synergy	1								8																																					100
War Cry	154	bar	war cry		68												warcry																																																													barbarian_warcry_1										warcry				25					warcry												1	9		none												SC	SC	A1				1													1									24	20								1					1						1	8	10	1	1																		50	stun length	4	stun length per level											5	damage synergy	1								0		4	4	5	6	8	8	8	4	5	6	8	8	((100+(skill('Howl'.blvl)+skill('Taunt'.blvl)+skill('Battle Cry'.blvl)+skill('SNova'.blvl))*(par8*(1+stat('phys_multi'.accr))))*(100+stat('passive_wind_mastery'.accr))/100)*256	mag	4	4	5	6	8	8	8	4	5	6	8	8	((100+(skill('Howl'.blvl)+skill('Taunt'.blvl)+skill('Battle Cry'.blvl)+skill('SNova'.blvl))*(par8*(1+stat('magic_multi'.accr))))*(100+stat('passive_mag2_mastery'.accr))/100)*256									100
Battle Command	155	bar	battle command		68												battlecommand					battlecommand	battlecommand	ln12+(skill('Battle Orders'.blvl)+skill('Battle Cry'.blvl))*par8		item_allskills	min(4,1+blvl/6)																																																			barbarian_command_1														25					battlecommand												1	9		none												SC	SC	A1				1													1									24	20								1											1	8	11	0	1	1																	750	duration	250	duration/level									1	skill synergy	125	duration synergy	1								8																																					100
Fire Hit	156			42	83																																																																																																								1	0		none												SQ	SQ	xx				1																						1																								1																		1	base damage	5	extra per level	50	duration	50	duration/level									1	20	10						8																																					0
UnHolyBolt	157				85												unholybolt1																																																																															unholybolt1													1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
SkeletonRaise	158																																																																																																												1	0		none												SQ	SQ	xx								1	1		1															1																								1																																		1								8																																					0
MaggotEgg	159			43	84																																																																								sandmaggotegg_hatch_1															46																	1	0		none												SQ	SQ	xx																										1																								1										(lvl < 5) ? lvl : min(12,5+(lvl-5)/3)	# to spawn																							1								8																																					0
ShamanFire	160				85												shafire1																																																																															shafire1													1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
MagottUp	161			44																																																																									sandmaggot_emerge														32						dirt pile	sand pile											1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
MagottDown	162			45	86																																																																								sandmaggot_burrow														33	47																	1	0		none												SQ	SQ	xx																										1																								1										10	heal%																							1								8																																					0
MagottLay	163				87																																																																																																								1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
AndrialSpray	164			46	88												andarielspray																																																																										34	48					andarielspray												1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
Jump	165			47	89																																																																																																								1	0		none												SQ	SQ	xx																										1																								1										10	damage%																							1	15	5						8																																					0
Swarm Move	166			48	90																																																																																						35	49																	1	0		none												SQ	SQ	xx																										1																								1										11	do frame	19	stop frame																					1								8																																					0
Nest	167			49	91																																																																																						36	50																	1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
Quick Strike	168			50	92												raven1																																																																																												1	0		none												SQ	SQ	xx							1																			1																								1																																		1								8																																					0
VampireFireball	169													vampirefireball																																																																																		vampirefireball													1	0		none												SQ	SQ	SC																										1																								1																																		1								8																																					0
VampireFirewall	170				24												vampirefirewallmaker	vampirefirewall																																																																										26					vampirefirewallmaker												1	0		none												SQ	SQ	SC																										1																								1																																		1																																													0
VampireMeteor	171				28												vampiremeteorcenter								ln12																																																								sorceress_meteor							fire_cast_2				28					vampiremeteorcenter												1	0		none												SQ	SQ	SC																										1																								1										ln12								5	radius of explosion	1	radius/level	30	Frames of fire	15	Frames of fire per level									1								8															fire	5	5	5	5	5	5	10	5	5	5	5	5										0
GargoyleTrap	172				93												shafire3																																																																											51					shafire3												1	0		none												SQ	SQ	xx	18																									1																								1																																		1								8																																					0
SpiderLay	173				23																	spiderlay	slowed	300		velocitypercent	-100																																																																																		1	0		none												SQ	SQ	A2																										1																								1																20	frames to apply aura to target	30	Slow Duration/Level	75	Duration/Level													1								8																																					0
VampireHeal	174																																																																																																												1	0		none												SQ	SQ	SC																										1																								1																																		1								8																																					0
VampireRaise	175																																																																																																												1	0		none												SQ	SQ	SC							1	1	1		1															1																								1																																		1								8																																					0
Submerge	176			51	94																																																																																						37	52																	1	0		none												SQ	SQ	xx																										1																								1																																		1								8																																					0
FetishAura	177				111																				ln12																																																				necromancer_curse_1															53					curseeffectred				3	density							1	0		none												SQ	SQ	SC																										1																								1																		10	Base stat mod	50	Duration/Level	5	Stat Mod/Level	10	Base Range ( + 2/Lvl )									1								8																																					0
FetishInferno	178			53	95												fetishinferno1																																																																											54					fetishinferno1	fetishinferno2											1	0		none												SQ	SQ	A1																										1																								1												par1	length of fire	3	density			15	frame length															1								8																																					0
ZakarumHeal	179				96															receiving																																																																receiving				healing																					1	0		none												SQ	SQ	S1																										1																								1										15+5*lvl	min heal%	50	max heal %					15	?	30	?	5	?	0	?									1								8																																					0
Emerge	180			52																																																																																							38																		1	0		none												SQ	SQ	S1																										1																								1																																		1								8																																					0
Resurrect	181				97																																																																								fallenshaman_resurrect_cast											healing			39																		1	0		none												SQ	SQ	xx							1	1	1		1		1			1										1																								1																																		1								8																																					0
Bestow	182				96															receiving																																																																																									1	0		none												SQ	SQ	xx							1																			1																								1																																		1								8																																					0
MissileSkill1	183				110																																																																																							66																	1	0		none												SQ	SQ	S1																										1																								1																																		1								8																																					0
MonTeleport	184				98																																																																								sorceress_teleport											teleport																					1	0		none												SQ	SQ	S1																										1																								1																																		1								8																																					0
PrimeLightning	185													monsterlight																																																															mephisto_lightning_cast																			monsterlight													1	0		none												SQ	SQ	A2																										1																								1																																		1								8																																					0
PrimeBolt	186				17												schargedstrikebolt																																																												mephisto_chargedbolt_cast															23					chargedbolt												1	0		none												SQ	SQ	A1																										1																								1										lvl+2	#bolts																							1								8																																					0
PrimeBlaze	187				23												blaze					blaze		dm12																																																					monster_cast_fire																			blaze													1	0		none												SQ	SQ	A1																										1																								1																		0	?	60	duration/level	0	?	0	?									1								8																																					0
PrimeFirewall	188				24												vampirefirewallmaker	vampirefirewall																																																											monster_cast_fire															26					vampirefirewallmaker												1	0		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?									1								8																																					0
PrimeSpike	189													monglacialspike										ln12	ln34																																																				monster_cast_cold																			monglacialspike													1	0		none												SQ	SQ	A1																										1																								1																		4	radius	0	radius per level	25	freeze frames	10	freeze frames per level									1								8																																					0
PrimeIceNova	190				22												frostnova																																																												monster_cast_cold															25					frostnova												1	0		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?									1								8																																					0
PrimePoisonball	191				8												poisonball																																																												mephisto_orb_cast															17					poisonball												1	0		none												SQ	SQ	A1																										1																								1										3	#missiles	1	activate frame					0	?	0	?	0	?	0	?									1								8																																					0
PrimePoisonNova	192				99												primepoisoncloud																																																																											55					primepoisoncloud												1	0		none												SQ	SQ	A1																										1																								1										lvl-1	#subloops	2	skip					0	?	0	?	0	?	0	?									1								8																																					0
DiabLight	193			53	152												diablight																																																												diablo_laser_cast														40	56					diablight				0	interval							1	0		none												SQ	SQ	SC																										1																								1	1											par1	length of fire	2	density			40	frame length	0	?	0	?	0	?									1								8																																					0
DiabCold	194				100																																																																								diablo_cold_cast																																1	0		none												SQ	SQ	S2																										1																								1	1																	0	?	200	Frames	0	?	0	?									1								8															mag	15	9	9	9	9	9	25	12	12	12	12	12		100	50	50	50					0
DiabFire	195				22												diabfire																																																												diablo_fire_cast															25					diabfire												1	0		none												SQ	SQ	S1																										1																								1	1																	0	?	0	?	0	?	0	?									1								8																																					0
FingerMageSpider	196				101												fingermagespider						fingermagecurse	ln12		manarecovery	-par3*lvl																																																		fingermage_bolt_cast_1															57					fingermagespider												1	0		none												SQ	SQ	S1																										1																								1										lvl-1	#subloops							30	base frames	10	frames per level	24	unshifted damage per frame	0	?									1								8																																					0
DiabWall	197				102												diabwallmaker																																																												diablo_fire_cast															58					diabwallmaker												1	0		none												SQ	SQ	S1																										1																								1	1									3	#missiles							0	?	0	?	0	?	0	?									1								8																																					0
DiabRun	198			54	103																																																																								diablo_run														41	59																	1	0		none												SQ	SQ	xx	22																									1																								1	1									20	velocity							8	stop anim len	14	stop anim frame	5	start frame	13	repeat on frame	16	repeat len	6	repeat back frame					1				5				8		17	9	9	9	9	9	33	9	9	9	9	9																								0
DiabPrison	199				104																																																							boneprison1	none																diablo_boneprison_rise																																1	0		none												SQ	SQ	S3																										1																								1	1																	0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
PoisonBallTrap	200													trap poison ball left																																																																																		trap poison ball left													1	0		none												SC	SC	S1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8		10	10	10	10	10	10	20	10	10	10	10	10																								0
AndyPoisonBolt	201													andypoisonbolt																																																																																		andypoisonbolt													1	0		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
HireableMissile	202				110																																																																																							66																	1	0		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
DesertTurret	203				105												desertfireball																																																																											60					desertfireball												1	0		none												SQ	SQ	xx	26																									1																								1										3	#missiles							0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
ArcaneTower	204				106												lightningtowernova																																																												lightningorb_attack_1															61					lightningtowernova												1	0		none												SQ	SQ	xx	27																									1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
MonBlizzard	205				28												monblizcenter																																																												monster_cast_cold											ice_cast_2				28					monblizcenter												1	3		none												SQ	SQ	S1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Mosquito	206			55	107																																																																																						42	62																	1	0		none												SQ	SQ	xx	34																									1																								1										4	min loops	7	max loops	25	heal pct			12	reset loop frame	0	?	0	?	0	?	0	?	0	?					1								8		2	2	2	2	2	2	4	2	2	2	2	2			2	3	3	3	3	3	4	3	3	3	3	3		200								0
CursedBallTrapRight	207													trap cursed skull right																																																																																		trap cursed skull right													1	0		none												SC	SC	S2																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0
CursedBallTrapLeft	208													trap cursed skull left																																																																																		trap cursed skull left													1	0		none												SC	SC	S2																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0
MonFrozenArmor	209				18																	frozenarmor		ln34		skill_armor_percent	ln12																																																		monster_cast_cold				sorceress_frozenarmor							ice_cast_3																					1	0		none												SQ	SQ	SC																										1																								1																		30	% AC base	5	% AC per level	3600	Duration	300	Duration per level	30	Freeze Frames	3	Freeze Frames per level					1								8																																					0
MonBoneArmor	210				18																	bonearmor				bonearmor	ln12*256	bonearmormax	ln12*256																																																necromancer_bonearmor																																1	0		none												SQ	SQ	S1																										1																								1																		20	damage absorbed	10	additional absorbed/level	0	?	0	?	0	?	0	?					1								8																																					0
MonBoneSpirit	211				10												monbonespirit	monbonespirit																																																											monster_cast_fire															18					monbonespirit	monbonespirit											1	0		none												SQ	SQ	S1																										1																								1																		15	Search range	0	?	0	?	0	?	0	?	0	?					1								8																																					0
MonCurseCast	212				112																			ln34	ln12																																																																		18	30					curseeffectred		cursecast										1	5		none												SQ	SQ	S2																										1																								1																		3	radius	1	radius per level	300	duration	60	additional duration/level	25	min % resist lower	70	max % resist lower	-50	speed			1								8																																					0
HellMeteor	213				28												hellmeteordown																																																																										44																		1	4		none												SQ	SQ	A1																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
RegurgitatorEat	214				108																																																																								regurgitator_eat_1															63					corpseexplosion	bigblood1											1	2		none												SQ	SQ	S1									1		1															1																								1										33	heal% of target hp							0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
MonFrenzy	215			64	109																	monfrenzy		ln12		velocitypercent	dm34	attackrate	dm34	other_animrate	dm34																																																																														1	3		none												SQ	SQ	A2				1		1	1																			1																								1																		200	duration	25	duration/level	30	min % speed increase	110	max % speed increase	0	?	0	?					1	10	10						8	128																																				0
QueenDeath	216																																																																																											64																	1	0		none												SQ	SQ	xx	41																									1																																										0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Scroll of Identify	217		scroll of identify		113																																																																																																									0		none												SC	SC	xx																										1									1							5									1								1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Book of Identify	218		book of identify		113																																																																																																									0		none												SC	SC	xx																										1									1							5									1								1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Scroll of Townportal	219		scroll of townportal		113																																																																																																									0		none												SC	SC	xx																										1									1							5																	1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Book of Townportal	220		book of townportal		113																																																																																																									0		none												SC	SC	xx																										1									1							5																	1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Raven	221	dru	raven		114																																											attackrate	par7+(skill('Summon Spirit Wolf'.blvl)+skill('Summon Fenris'.blvl))/7	damagepercent	stat('passive_summ_mastery'.accr)									druidhawk	raven	min(1+(lvl-1)/2,par2)	S1														druid_summon																																1	0		none												SC	SC	xx				1	4												1									1	30								1											1	8	6	0	1	1										hp %	ulvl + par1 + lvl	raven lvl					-1	monster level = your level + this + SkillLevel	7	Max ravens	0	?	0	?	12	Attacks	1	Attacks per level	5	CB	10	ltng damage synergy	1	100	15						8		3	3	6	9	12	12	6	3	6	9	12	12		ltng	3	3	6	9	12	12	6	3	6	9	12	12	skill('Cow Balloon'.blvl)*(par8*(1+stat('ltng_multi'.accr)))-100									100
Plague Poppy	222	dru	plague poppy		115																	vine_beast				fireresist	min(65,10+lvl)	coldresist	min(65,10+lvl)	lightresist	min(65,10+lvl)	poisonresist	min(65,10+lvl)	armorclass	par4*lvl													item_armor_percent	par2*lvl											plaguepoppy	plaguevine	1+blvl/5	S1	Vine Attack	lvl+stat('item_summskills'.accr)	Cycle of Life	skill('Cycle of Life'.blvl)	Vines	skill('Vines'.blvl)	Armageddon	skill('Armageddon'.blvl)	Rabies	skill('Rabies'.blvl)				druid_summon																																1	0		none												SC	SC	xx				1	4												1									1	30								1											1	8	8	1	1	1									par1*(lvl+skill('Cow Balloon'.blvl))	hp %	ulvl	pet lvl	(par3+ast5)*(100+pst1)/100	Def calc for display			20	hp% per level	5	def% per level	60	base def for display	7	def per level							8	damage synergy	1								3		128	128	256	384	512	512	256	128	256	384	512	512	(skill('Armageddon'.blvl)+skill('Rabies'.blvl)+skill('Cycle of Life'.blvl)+skill('Vines'.blvl))*(par8*(1+stat('phys_multi'.accr)))	pois	3	3	6	9	12	12	6	3	6	9	12	12	(skill('Armageddon'.blvl)+skill('Rabies'.blvl)+skill('Cycle of Life'.blvl)+skill('Vines'.blvl))*(par8*(1+stat('poison_multi'.accr)))	100								100
Wearwolf	223	dru	wearwolf		116																	wolf		1000+skill('Shape Shifting'.ln12)		damagepercent	(skill('Wearbear'.blvl)+skill('Shape Shifting'.blvl))*par7	skill_armor_percent	skill('Wearbear'.blvl)*par8	attackrate	min(90,ln34)	item_absorblight	1+(lvl-1)/3	item_maxhp_percent	ln56+skill('Shape Shifting'.blvl)*3	item_tohit_percent	toht																																																				wolf_into	wolf_undo	45																		1	0		none												SC	SC	xx	22			1													1									1	30								1				20-((stat('cooldownrate'.accr)*2)/10)				1			1	8	15	0		1																					32	% speed increase	2	% speed increase per level	50	% Base bonus hitpoints	2	% Base bonus hitpoints/lvl	8	damage synergy	7	ac synergy	1	50	15						8	128																																				100
Shape Shifting	224	dru	shape shifting																																											ssmastery		item_maxhp_percent	par4*blvl																																																												1	1		none														xx																										6	30																			0	8	0	0	1						1												1000	Base duration of all forms	500	Bonus duration per level	5	% base hitpoint bonus	5	% hitpoints per level	0	?	0	?					1								8																																					100
Firestorm	225	dru	firestorm		117												firestormmaker																																																												druid_firecast_b											druid_fire_cast_1				67					firestormmaker												1	0		none												SC	SC	xx				1													1						druid_firecast_b	druid_fire_cast_1		24	20								1					1						1	7	26	1	1										ln12+skill('Molten Boulder'.blvl)/5	# missiles							5	Number of missiles	0	Number of missiles per level	0	?	0	?	0	?	0	?			5	damage synergy	1								4															fire	9	9	12	15	18	18	18	9	12	15	18	18	(skill('Molten Boulder'.blvl)+skill('Volcano'.blvl)+skill('Fire Claws'.blvl)+skill('Cycle of Life'.blvl))*(par8*(1+stat('fire_multi'.accr)))									100
