"Echo Chamber"	"Perfect Cell's Memorial"
"Devilish"	"Devilish"
"Horrifying"	"Horrifying"
"Callous"	"Callous"
"Soulless"	"Soulless"
"Lifeless"	"Lifeless"
"Aquamarine"	"Aquamarine"
"Turquoise"	"Turquoise"
"Larimar"	"Larimar"
"Carnelian"	"Carnelian"
"Cuprite"	"Cuprite"
"Sunstone"	"Sunstone"
"Moonstone"	"Moonstone"
"Celestite"	"Celestite"
"Angelite"	"Angelite"
"Peridot"	"Peridot"
"Parasolite"	"Parasolite"
"Malachite"	"Malachite"
"Lively"	"Lively"
"Zestful"	"Zestful"
"Effervescent"	"Effervescent"
"Esoteric"	"Esoteric"
"Mystifying"	"Mystifying"
"Ephemeral"	"Ephemeral"
"Spectral"	"Spectral"
"Vibrant"	"Vibrant"
"Iridescent"	"Iridescent"
"Shielded"	"Shielded"
"Ironclad"	"Ironclad"
"Impenetrable"	"Impenetrable"
"Warded"	"Warded"
"Impervious"	"Impervious"
"Spellproof"	"Spellproof"
"Robust"	"Robust"
"Enduring"	"Enduring"
"Resilient"	"Resilient"
"Pointed"	"Pointed"
"Fanged"	"Fanged"
"Bristling"	"Bristling"
"Awful"	"Awful"
"Nippy"	"Nippy"
"Bone-Chilling"	"Bone-Chilling"
"Ice-Cold"	"Ice-Cold"
"Feverish"	"Feverish"
"Sultry"	"Sultry"
"Roasting"	"Roasting"
"Overcast"	"Overcast"
"Ominous"	"Ominous"
"Turbulent"	"Turbulent"
"Viral"	"Viral"
"Pathogenic"	"Pathogenic"
"Lethal"	"Lethal"
"Hasty"	"Hasty"
"Dashing"	"Dashing"
"Racing"	"Racing"
"Inflammable"	"Inflammable"
"Pyrophilic"	"Pyrophilic"
"Crystallized"	"Crystallized"
"Frostbitten"	"Frostbitten"
"Susceptible"	"Susceptible"
"Conductive"	"Conductive"
"Weakening"	"Weakening"
"Infectuous"	"Infectuous"
"Bewitchable"	"Bewitchable"
"Spellbound"	"Spellbound"
"Defenseless"	"Defenseless"
"Vulnerable"	"Vulnerable"
"of Might"	"of Might"
"of the Ox"	"of the Ox"
"of the Giant"	"of the Giant"
"of the Titan"	"of the Titan"
"of Atlas"	"of Atlas"
"of the Phantom"	"of the Phantom"
"of the Wind"	"of the Wind"
"of Precision"	"of Precision"
"of Perfection"	"of Perfection"
"of Nirvana"	"of Nirvana"
"of the Mind"	"of the Mind"
"of Brilliance"	"of Brilliance"
"of Sorcery"	"of Sorcery"
"of Wizardry"	"of Wizardry"
"of Enlightenment"	"of Enlightenment"
"of the Jackal"	"of the Jackal"
"of the Wolf"	"of the Wolf"
"of the Tiger"	"of the Tiger"
"of the Colossus"	"of the Colossus"
"of the Whale"	"of the Whale"
"of the Bear"	"of the Bear"
"of the Gorilla"	"of the Gorilla"
"of the Jaguar"	"of the Jaguar"
"of the Panther"	"of the Panther"
"of the Prodigy"	"of the Prodigy"
"of the Genius"	"of the Genius"
"of the Squid"	"of the Squid"
"of the Mumakil"	"of the Mumakil"
"of Velocity"	"of Velocity"
"of Acceleration"	"of Acceleration"
"of Blocking"	"of Blocking"
"of Deflecting"	"of Deflecting"
"of Balance"	"of Balance"
"of Stability"	"of Stability"
"of Regeneration"	"of Regeneration"
"of Regrowth"	"of Regrowth"
"of the Psyche"	"of the Psyche"
"of Euphoria"	"of Euphoria"
"of Ages"	"of Ages"
"of Eternity"	"of Eternity"
"of Blitz Armor"	"of Blitz Armor"
"of Fire Armor"	"of Fire Armor"
"of Shiver Armor"	"of Shiver Armor"
"of Ease"	"of Ease"
"of Simplicity"	"of Simplicity"
"of Alleviation"	"of Alleviation"
"of Greed"	"of Greed"
"of Plunder"	"of Plunder"
"of Fortune"	"of Fortune"
"of Riches"	"of Riches"
"of the Whelpling"	"of the Whelpling"
"of the Kiln"	"of the Kiln"
"of the Walrus"	"of the Walrus"
"of the Polar Bear"	"of the Polar Bear"
"of the Tempest"	"of the Tempest"
"of the Maelstrom"	"of the Maelstrom"
"of Flames"	"of Flames"
"of Immolation"	"of Immolation"
"of Shock"	"of Shock"
"of Zapping"	"of Zapping"
"of Chilling"	"of Chilling"
"of Freezing"	"of Freezing"
"of Blight"	"of Blight"
"of Venom"	"of Venom"
"of Banishment"	"of Banishment"
"of Exile"	"of Exile"
"of Dazing"	"of Dazing"
"of Impact"	"of Impact"
"of Knowledge"	"of Knowledge"
"of Dogma"	"of Dogma"
"of Archaeology"	"of Archaeology"
"of Excavation"	"of Excavation"
"of Exhuming"	"of Exhuming"
"of the Oiorpata"	"of the Oiorpata"
"of Thorns"	"of Thorns"
"of Spikes"	"of Spikes"
"of Razors"	"of Razors"
"of Swords"	"of Swords"
"of Shade Armor"	"of Shade Armor"
"of Haer Dalis"	"of Haer Dalis"
"of the Apprentice"	"of the Apprentice"
"of the Mage"	"of the Mage"
"of the Arch Mage"	"of the Arch Mage"
"of the Royal Wizard"	"of the Royal Wizard"
"of the Clouds"	"of the Clouds"
"of the Sky"	"of the Sky"
"of the Heavens"	"of the Heavens"
"of Slaying"	"of Slaying"
"of Destruction"	"of Destruction"
"of Carnage"	"of Carnage"
"of Crushing"	"of Crushing"
"of Mighty"	"of Mighty"
"of the Bull"	"of the Bull"
"of the Ogre"	"of the Ogre"
"of the Goliath"	"of the Goliath"
"of Prometheus"	"of Prometheus"
"of the Spectre"	"of the Spectre"
"of the Gale"	"of the Gale"
"of the Falcon"	"of the Falcon"
"of Excellence"	"of Excellence"
"of Oblivion"	"of Oblivion"
"of Lucidity"	"of Lucidity"
"of Luminosity"	"of Luminosity"
"of Incantation"	"of Incantation"
"of Conjuration"	"of Conjuration"
"of Awakening"	"of Awakening"
"of the Ursus"	"of the Ursus"
"of the Chimpanzee"	"of the Chimpanzee"
"of the Leopard"	"of the Leopard"
"of the Cheetah"	"of the Cheetah"
"of the Oracle"	"of the Oracle"
"of Virtuosity"	"of Virtuosity"
"of Readiness"	"of Readiness"
"of Alacrity"	"of Alacrity"
"of Swiftness"	"of Swiftness"
"of Quickness"	"of Quickness"
"of Fervour"	"of Fervour"
"of the Magus"	"of the Magus"
"of the Conjurer"	"of the Conjurer"
"of the Diviner"	"of the Diviner"
"of the Foreseer"	"of the Foreseer"
"of the Visionary"	"of the Visionary"
"of the Leech"	"of the Leech"
"of the Locust"	"of the Locust"
"of the Lamprey"	"of the Lamprey"
"of the Bat"	"of the Bat"
"of the Wraith"	"of the Wraith"
"of the Vampire"	"of the Vampire"
"of the Bloodmad"	"of the Bloodmad"
"of the Bloodsworn"	"of the Bloodsworn"
"of the Bloodlord"	"of the Bloodlord"
"of Mana Leak"	"of Mana Leak"
"of Mana Drain"	"of Mana Drain"
"of Mana Breach"	"of Mana Breach"
"of the Deathless"	"of the Deathless"
"of the Deathbringer"	"of the Deathbringer"
"of the Deathmark"	"of the Deathmark"
"of Mauling"	"of Mauling"
"of the Mauler"	"of the Mauler"
"of the Maulhorn"	"of the Maulhorn"
"of Fire Balls"	"of Fire Balls"
"of Fire Bolts"	"of Fire Bolts"
"of Chain Lightning"	"of Chain Lightning"
"of Plasma Rain"	"of Plasma Rain"
"of Ice Fangs"	"of Ice Fangs"
"of Blizzard"	"of Blizzard"
"of Poison Nova"	"of Poison Nova"
"of Earth Spikes"	"of Earth Spikes"
"of Restoration"	"of Restoration"
"of Regrowth"	"of Regrowth"
"of Rejuvenation"	"of Rejuvenation"
"of Resurgence"	"of Resurgence"
"of Conviction"	"of Conviction"
"of Doctrine"	"of Doctrine"
"of Law"	"of Law"
"of Ideology"	"of Ideology"
"of Aeons"	"of Aeons"
"of the Dullahan"	"of the Dullahan"
"of Callisto"	"of Callisto"
"of Jambavan"	"of Jambavan"
"of Otso"	"of Otso"
"of Ayula"	"of Ayula"
"of the Onikuma"	"of the Onikuma"
"of Orthrus"	"of Orthrus"
"of Asena"	"of Asena"
"of Cerebus"	"of Cerebus"
"of the Chupacabra"	"of the Chupacabra"
"of Fenrir"	"of Fenrir"
"of the Griffin"	"of the Griffin"
"of the Salmon"	"of the Salmon"
"of the Sphinx"	"of the Sphinx"
"of Baize"	"of Baize"
"of Athena"	"of Athena"
"of the Faun"	"of the Faun"
"of the Nymph"	"of the Nymph"
"of the Satyr"	"of the Satyr"
"of the Incubus"	"of the Incubus"
"of the Succubus"	"of the Succubus"
"of Steadiness "	"of Steadiness "
"of Composure"	"of Composure"
"of Speed"	"of Speed"
"of Celerity"	"of Celerity"
"of Intelligence"	"of Intelligence"
"of Perception"	"of Perception"
"of the Carbuncle"	"of the Carbuncle"
"of the Leprechaun"	"of the Leprechaun"
"of the Drawf"	"of the Drawf"
"of the Sarimanok"	"of the Sarimanok"
"of Sengir"	"of Sengir"
"of Falkenrath"	"of Falkenrath"
"of Voldaren"	"of Voldaren"
"of Malakir"	"of Malakir"
"of Markov"	"of Markov"
"of Stormkirk"	"of Stormkirk"
"of the Bloodseeker"	"of the Bloodseeker"
"of the Bloodcrazed"	"of the Bloodcrazed"
"of the Bloodfire"	"of the Bloodfire"
"of Mana Geyser"	"of Mana Geyser"
"of Mana Flare"	"of Mana Flare"
"of Mana Echoes"	"of Mana Echoes"
"of the Simurgh"	"of the Simurgh"
"of the Phoenix"	"of the Phoenix"
"of the Vault"	"of the Vault"
"of the Crypt"	"of the Crypt"
"of Belief"	"of Belief"
"of Faith"	"of Faith"
"of Mettle"	"of Mettle"
"of Fortitude"	"of Fortitude"
"of Determination"	"of Determination"
"of the Mongoose"	"of the Mongoose"
"of the Lynx"	"of the Lynx"
"of the Meerkat"	"of the Meerkat"
"of Divination"	"of Divination"
"of Prediction"	"of Prediction"
"of Augury"	"of Augury"
"of Brio"	"of Brio"
"of Intensity"	"of Intensity"
"of Fervour"	"of Fervour"
"of Eruption"	"of Eruption"
"of Explosion"	"of Explosion"
"of Detonation"	"of Detonation"
"of Frigidity"	"of Frigidity"
"of Frostbite"	"of Frostbite"
"of Glaciation"	"of Glaciation"
"of Thunderstroke"	"of Thunderstroke"
"of Thunderbolt"	"of Thunderbolt"
"of Thunderstorm"	"of Thunderstorm"
"of Bane"	"of Bane"
"of Contagion"	"of Contagion"
"of Sepsis"	"of Sepsis"
"of Profanity"	"of Profanity"
"of Desecration"	"of Desecration"
"of Sacrilege"	"of Sacrilege"
"of Gale"	"of Gale"
"of Typhoon"	"of Typhoon"
"of Hurricane"	"of Hurricane"
"of Coinage"	"of Coinage"
"of Wealth"	"of Wealth"
"of Treasure"	"of Treasure"
"of Alchemy"	"of Alchemy"
"of Allurement"	"of Allurement"
"of Thaumaturgy"	"of Thaumaturgy"
"of Zeal"	"of Zeal"
"of Ardour"	"of Ardour"
"of Evenness"	"of Evenness"
"of Counterpoise"	"of Counterpoise"
"of Nimbleness"	"of Nimbleness"
"of Expertise"	"of Expertise"
"of Blasphemy"	"of Blasphemy"
"of Execration"	"of Execration"
"of Frost Nova"	"of Frost Nova"
"of Firestorm"	"of Firestorm"
"of Charged Bolt"	"of Charged Bolt"
"of Bone Spear"	"of Bone Spear"
"of the Tiger"	"of the Tiger"
"of the Cougar"	"of the Cougar"
"of the Smilodon"	"of the Smilodon"
"of the Ostrich"	"of the Ostrich"
"of the Pronghorns"	"of the Pronghorns"
"of th Eagle"	"of th Eagle"
"of Cultivation"	"of Cultivation"
"of Insight"	"of Insight"
"of Vision"	"of Vision"
"of the Rhinoceros"	"of the Rhinoceros"
"of the Tapir"	"of the Tapir"
"of the Moa"	"of the Moa"
"of Haste"	"of Haste"
"of Fleetness"	"of Fleetness"
"of Puncture"	"of Puncture"
"of Rupture"	"of Rupture"
"of the Mosquito"	"of the Mosquito"
"of the Anopheles"	"of the Anopheles"
"of the Hunter"	"of the Hunter"
"of the Falconer"	"of the Falconer"
"of the Squirrel"	"of the Squirrel"
"of the Gecko"	"of the Gecko"
"of the Gazelle"	"of the Gazelle"
"of the Boar"	"of the Boar"
"of the Elephant"	"of the Elephant"
"of the Bison"	"of the Bison"
"of the Scholar"	"of the Scholar"
"of the Mentor"	"of the Mentor"
"of Radiance"	"of Radiance"
"of the Donkey"	"of the Donkey"
"of the Mule"	"of the Mule"
"of the Centaur"	"of the Centaur"
"of the Weasel"	"of the Weasel"
"of the Cat"	"of the Cat"
"of the Grizzly"	"of the Grizzly"
"of Hyperion"	"of Hyperion"
"of Intuition"	"of Intuition"
"of Wisdom"	"of Wisdom"
"of the Manatee"	"of the Manatee"
"of the Orca"	"of the Orca"
"of Ignition"	"of Ignition"
"of Conflagration"	"of Conflagration"
"of Current"	"of Current"
"of the Stormcloud"	"of the Stormcloud"
"of the Icicle"	"of the Icicle"
"of Permafrost"	"of Permafrost"
"of Malady"	"of Malady"
"of Miasma"	"of Miasma"
"of Obscenety"	"of Obscenety"
"of Vulgarity"	"of Vulgarity"
"of the Breeze"	"of the Breeze"
"of the Cyclone"	"of the Cyclone"
"of Bounty"	"of Bounty"
"of Prosperity"	"of Prosperity"
"of the Hoard"	"of the Hoard"
"of Fate"	"of Fate"
"of the Rabbit's Foot"	"of the Rabbit's Foot"
"of the Treasury"	"of the Treasury"
"of the Incense"	"of the Incense"
"of the Forge"	"of the Forge"
"of the Penguin"	"of the Penguin"
"of the Snow Rabbit"	"of the Snow Rabbit"
"of Nimbus"	"of Nimbus"
"of Discharge"	"of Discharge"
"of Refreshment"	"of Refreshment"
"of Revitalization"	"of Revitalization"
"of Counterbalance"	"of Counterbalance"
"of Equilibrium"	"of Equilibrium"
"of the Yamabushi"	"of the Yamabushi"
"of Sokenzan"	"of Sokenzan"
"of the Moonfolk"	"of the Moonfolk"
"of Otawara"	"of Otawara"
"of the Nezumi"	"of the Nezumi"
"of Shizo"	"of Shizo"
"of the Samurai"	"of the Samurai"
"of Eiganjo"	"of Eiganjo"
"of the Sanzoku"	"of the Sanzoku"
"of Shinka"	"of Shinka"
"of the Monk"	"of the Monk"
"of Okina"	"of Okina"
"of the Ronin"	"of the Ronin"
"of Takenuma"	"of Takenuma"
"Stabbing"	"Stabbing"
"Impaling"	"Impaling"
"Righteous"	"Righteous"
"Devoted"	"Devoted"
"Radiant"	"Radiant"
"Sublime"	"Sublime"
"Exalted"	"Exalted"
"Profane"	"Profane"
"Unhallowed"	"Unhallowed"
"Cherubic"	"Cherubic"
"Untamed"	"Untamed"
"Primordial"	"Primordial"
"Verdant"	"Verdant"
"Burgeoning"	"Burgeoning"
"Adroit"	"Adroit"
"Deft"	"Deft"
"DSNplev"	"Deadly Strike per Level"
"StrSkill300"	"\yellow;0.5% Chance of Crushing Blow per Base Point\grey; "
"Skillname526"	"\orange;Increases Fire Golem Holy Fire Damage by 12% per Level \blue;"
"Skillsd526"	"Placeholder"
"Skillld526"	"Placeholder"
"Skillan526"	"Placeholder"
"Skillname527"	"\orange;1 Additional Skeleton per 5 Level in Raise Skeleton and Raise Skeleton Mage (Sets Golem to 1 Life)\blue;"
"Skillsd527"	"Placeholder"
"Skillld527"	"Placeholder"
"Skillan527"	"Placeholder"
"Skillname528"	"\orange;Gain 1 Additional Bone Spear per Level\blue;"
"Skillsd528"	"Placeholder"
"Skillld528"	"Placeholder"
"Skillan528"	"Placeholder"
"Skillname529"	"\orange;Fire Hawk Fire Damage increased by 15% per Level \blue;"
"Skillsd529"	"Placeholder"
"Skillld529"	"Placeholder"
"Skillan529"	"Placeholder"
"Skillname530"	"\orange;Fire Hawk Crushing Blow Chance increased by 4% per Level \blue;"
"Skillsd530"	"Placeholder"
"Skillld530"	"Placeholder"
"Skillan530"	"Placeholder"
"Skillname531"	"\orange;Raven Lightning Damage increased by 15% per Level \blue;"
"Skillsd531"	"Placeholder"
"Skillld531"	"Placeholder"
"Skillan531"	"Placeholder"
"Skillname532"	"\orange;Raven Crushing Blow Chance increased by 4% per Level \blue;"
"Skillsd532"	"Placeholder"
"Skillld532"	"Placeholder"
"Skillan532"	"Placeholder"
"Skillname533"	"\orange;Twister gains 50% of Cold Skill Damage as extra Physical Damage\blue;"
"Skillsd533"	"Placeholder"
"Skillld533"	"Placeholder"
"Skillan533"	"Placeholder"
"Skillname534"	"\orange;Meteor Shower Frequency is based on Dexterity\blue;"
"Skillsd534"	"Placeholder"
"Skillld534"	"Placeholder"
"Skillan534"	"Placeholder"
"Skillname535"	"\orange;Gain Addtional Holy Bolt Missiles based on Mana\blue;"
"Skillsd535"	"Placeholder"
"Skillld535"	"Placeholder"
"Skillan535"	"Placeholder"
"Skillname536"	"\orange;Increases Holy Aura's Tick Rate by 1 Frame per Level\blue;"
"Skillsd536"	"Placeholder"
"Skillld536"	"Placeholder"
"Skillan536"	"Placeholder"
"Skillname537"	"\orange;Rude Offense Castdelay Reduction is based on Mana\blue;"
"Skillsd537"	"Placeholder"
"Skillld537"	"Placeholder"
"Skillan537"	"Placeholder"
"Skillname538"	"\orange;Barbarian Lightning Skill gain 6% Lightning Skill Damage per Level\blue;"
"Skillsd538"	"Placeholder"
"Skillld538"	"Placeholder"
"Skillan538"	"Placeholder"
"Skillname539"	"\orange;Thunderstorm Frequency increased by 10 Frames per Level\blue;"
"Skillsd539"	"Placeholder"
"Skillld539"	"Placeholder"
"Skillan539"	"Placeholder"
"Skillname540"	"\orange;Frenzy Duration increased by 15 Frames per Level\blue;"
"Skillsd540"	"Placeholder"
"Skillld540"	"Placeholder"
"Skillan540"	"Placeholder"
"Skillname541"	"\orange;Converts additional 6% of Frenzy Physical Damage to Magic Damage per Level\blue;"
"Skillsd541"	"Placeholder"
"Skillld541"	"Placeholder"
"Skillan541"	"Placeholder"
"Skillname542"	"\orange;Molten Boulder Explosion Radius increased by 4 Radius per Level\blue;"
"Skillsd542"	"Placeholder"
"Skillld542"	"Placeholder"
"Skillan542"	"Placeholder"
"Skillname543"	"\orange; Earth Spikes Frequency increased by 1 Frame per Level\n Earth Spikes Radius increased by 1 Radius per Level\blue;"
"Skillsd543"	"Placeholder"
"Skillld543"	"Placeholder"
"Skillan543"	"Placeholder"
"Skillname544"	"\orange;Gain 1 Additional Wolf per Level\blue;"
"Skillsd544"	"Placeholder"
"Skillld544"	"Placeholder"
"Skillan544"	"Placeholder"
"Skillname545"	"\orange;Releases 1 Additional Charged Bolt on Impact with Charged Claws per Level\blue;"
"Skillsd545"	"Placeholder"
"Skillld545"	"Placeholder"
"Skillan545"	"Placeholder"
"Skillname546"	"\orange;Gain Additional Shockwave Missiles based on Mana\blue;"
"Skillsd546"	"Placeholder"
"Skillld546"	"Placeholder"
"Skillan546"	"Placeholder"
"Skillname547"	"\orange;Gain 1 Additional Trap per Level\blue;"
"Skillsd547"	"Placeholder"
"Skillld547"	"Placeholder"
"Skillan547"	"Placeholder"
"Skillname548"	"\orange;Gain Fire and Ice Bolt Missile per 5 Base Points\blue;"
"Skillsd548"	"Placeholder"
"Skillld548"	"Placeholder"
"Skillan548"	"Placeholder"
"Plain"	"Plain"
"Unadorned"	"Unadorned"
"Spartan"	"Spartan"
"Agonizing"	"Agonizing"
"Excruciating"	"Excruciating"
"Harrowing"	"Harrowing"
"Proustite"	"Proustite"
"Sweltering"	"Sweltering"
"Parky"	"Parky"
"of Reinvigorate"	"of Reinvigorate"
"of the Lion"	"of the Lion"
"Sanguine"	"Sanguine"
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
