Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add	sort
Expert's	100	1	1	25	60	24	bar		10	16	118	skilltab	12	1	1	att/lvl	2									phlm												0	0	0	325
Veteran's	100	1	1	45		42	bar		20	12	118	skilltab	12	1	2	att/lvl	3									phlm												0	0	0	326
Master's	100	1	1	60		48	bar		30	8	118	skilltab	12	2	3	att/lvl	4									phlm												0	0	0	327
Fanatic	100	1	1	25	60	24	bar		10	16	118	skilltab	13	1	1	ltngskill	4	7								phlm												0	0	0	328
Raging	100	1	1	45		42	bar		20	12	118	skilltab	13	1	2	ltngskill	8	11								phlm												0	0	0	329
Furious	100	1	1	60		48	bar		30	8	118	skilltab	13	2	3	ltngskill	12	15								phlm												0	0	0	330
Sounding	100	1	1	25	60	24	bar		10	16	118	skilltab	14	1	1	warcry-effect		1	2							phlm												0	0	0	331
Resonant	100	1	1	45		42	bar		20	12	118	skilltab	14	1	2	warcry-effect		3	4							phlm												0	0	0	332
Echoing	100	1	1	60		48	bar		30	8	118	skilltab	14	2	3	warcry-effect		5	6							phlm												0	0	0	333
Champion's	100	1	1	95		66	bar		45	2	118	bar		1	2	skilltab	12	1	2							phlm												0	0	0	334
Champion's	100	1	1	95		66	bar		45	2	118	bar		1	2	skilltab	13	1	2							phlm												0	0	0	335
Champion's	100	1	1	95		66	bar		45	2	118	bar		1	2	skilltab	14	1	2							phlm												0	0	0	336
																																									337
Trainer's	100	1	1	25	60	24	dru		10	16	118	skilltab	15	1	1	sum-skills		0	1							pelt												0	0	0	338
Caretaker's	100	1	1	45		42	dru		20	12	118	skilltab	15	1	2	sum-skills		1	1							pelt												0	0	0	339
Keeper's	100	1	1	60		48	dru		30	8	118	skilltab	15	2	3	sum-skills		1	2							pelt												0	0	0	340
Spiritual	100	1	1	25	60	24	dru		10	16	118	skilltab	16	1	1	openwounds		10	15	slow		6	8			pelt												0	0	0	341
Feral	100	1	1	45		42	dru		20	12	118	skilltab	16	1	2	openwounds		16	20	slow		9	11			pelt												0	0	0	342
Communal	100	1	1	60		48	dru		30	8	118	skilltab	16	2	3	openwounds		21	25	slow		12	14			pelt												0	0	0	343
Nature's	100	1	1	25	60	24	dru		10	16	118	skilltab	17	1	1	abs-all		2	5							pelt												0	0	0	344
Terra's	100	1	1	45		42	dru		20	12	118	skilltab	17	1	2	abs-all		6	10							pelt												0	0	0	345
Gaea's	100	1	1	60		48	dru		30	8	118	skilltab	17	2	3	abs-all		9	15							pelt												0	0	0	346
Haruspex's	100	1	1	95		66	dru		45	2	118	dru		1	2	skilltab	15	1	2							pelt												0	0	0	347
Haruspex's	100	1	1	95		66	dru		45	2	118	dru		1	2	skilltab	16	1	2							pelt												0	0	0	348
Haruspex's	100	1	1	95		66	dru		45	2	118	dru		1	2	skilltab	17	1	2							pelt												0	0	0	349
																																									350
Hexing	100	1	1	25	60	24	nec		10	16	118	skilltab	6	1	1	curse-effect		2	3							head												0	0	0	351
Blighting	100	1	1	45		42	nec		20	12	118	skilltab	6	2	2	curse-effect		3	4							head												0	0	0	352
Accursed	100	1	1	60		48	nec		30	8	118	skilltab	6	3	3	curse-effect		5	6							head												0	0	0	353
Fungal	100	1	1	25	60	24	nec		10	16	118	skilltab	7	1	1	mana-kill		4	6							head												0	0	0	354
Noxious	100	1	1	45		42	nec		20	12	118	skilltab	7	2	2	mana-kill		8	10							head												0	0	0	355
Venomous	100	1	1	60		48	nec		30	8	118	skilltab	7	3	3	mana-kill		12	14							head												0	0	0	356
Graverobber's	100	1	1	25	60	24	nec		10	16	118	skilltab	8	1	1	extra-summ		3	4							head												0	0	0	357
Vodoun	100	1	1	45		42	nec		20	12	118	skilltab	8	2	2	extra-summ		5	6							head												0	0	0	358
Golemlord's	100	1	1	60		48	nec		30	8	118	skilltab	8	3	3	extra-summ		7	8							head												0	0	0	359
Occultist's	100	1	1	95		66	nec		45	2	118	nec		1	2	skilltab	6	1	2							head												0	0	0	360
Occultist's	100	1	1	95		66	nec		45	2	118	nec		1	2	skilltab	7	1	2							head												0	0	0	361
Occultist's	100	1	1	95		66	nec		45	2	118	nec		1	2	skilltab	8	1	2							head												0	0	0	362
																																									363
Lion Branded	100	1	1	20		15	pal		10	16	118	skilltab	9	1	1	heal-kill		4	6							ashd												0	0	0	364
Hawk Branded	100	1	1	40		30	pal		20	12	118	skilltab	9	2	2	heal-kill		8	10							ashd												0	0	0	365
Rose Branded	100	1	1	60		45	pal		30	8	118	skilltab	9	3	3	heal-kill		12	14							ashd												0	0	0	366
Captain's	100	1	1	20		15	pal		10	16	118	skilltab	10	1	1	deadly		3	4							ashd												0	0	0	367
Commander's	100	1	1	40		30	pal		20	12	118	skilltab	10	2	2	deadly		5	6							ashd												0	0	0	368
Marshal's	100	1	1	60		45	pal		30	8	118	skilltab	10	3	3	deadly		7	8							ashd												0	0	0	369
Preserver's	100	1	1	20		15	pal		10	16	118	skilltab	11	1	1	aura-effect		2	3							ashd												0	0	0	370
Warder's	100	1	1	40		30	pal		20	12	118	skilltab	11	2	2	aura-effect		3	4							ashd												0	0	0	371
Guardian's	100	1	1	60		45	pal		30	8	118	skilltab	11	3	3	aura-effect		4	5							ashd												0	0	0	372
Crusader's	100	1	1	95		66	pal		45	2	118	pal		1	2	skilltab	9	1	2							ashd												0	0	0	373
Crusader's	100	1	1	95		66	pal		45	2	118	pal		1	2	skilltab	10	1	2							ashd												0	0	0	374
Crusader's	100	1	1	95		66	pal		45	2	118	pal		1	2	skilltab	11	1	2							ashd												0	0	0	375
																																									376
Jagged	100	1	1	1	10	1				28	150	dmg%		10	20											1hsw	bow											0	0	0	377
Jagged	100	1	1	5	15	3				28	150	dmg%		21	30											1hsw	bow											0	0	0	378
Jagged	100	1	1	10	20	6				28	150	dmg%		31	45											1hsw	bow											0	0	0	379
Massive	100	1	1	15	35	12				28	150	dmg%		46	60											1hsw	bow											0	0	0	380
Massive	100	1	1	20	45	18				28	150	dmg%		61	80											1hsw	bow											0	0	0	381
Massive	100	1	1	25	60	24				28	150	dmg%		81	100											1hsw	bow											0	0	0	382
Savage	100	1	1	35	80	33				28	150	dmg%		101	125											1hsw	bow											0	0	0	383
Savage	100	1	1	45	95	42				28	150	dmg%		126	150											1hsw	bow											0	0	0	384
Savage	100	1	1	60		48				24	150	dmg%		151	180											1hsw	bow											0	0	0	385
Ravening	100	1	1	80		60				20	150	dmg%		181	210											1hsw	bow											0	0	0	386
Ravening	100	1	1	95		66				16	150	dmg%		211	245											1hsw	bow											0	0	0	387
Ferocious	100	1	1	95		66				8	150	dmg%		246	270											1hsw	bow											0	0	0	388
																																									389
Deadly	100	1	1	1	10	1				28	150	dmg%		10	25											2hsw	xbow											0	0	0	390
Deadly	100	1	1	5	15	3				28	150	dmg%		26	40											2hsw	xbow											0	0	0	391
Deadly	100	1	1	10	20	6				28	150	dmg%		41	60											2hsw	xbow											0	0	0	392
Vicious	100	1	1	15	35	12				28	150	dmg%		61	80											2hsw	xbow											0	0	0	393
Vicious	100	1	1	20	45	18				28	150	dmg%		81	105											2hsw	xbow											0	0	0	394
Vicious	100	1	1	25	60	24				28	150	dmg%		106	130											2hsw	xbow											0	0	0	395
Brutal	100	1	1	35	80	33				28	150	dmg%		131	160											2hsw	xbow											0	0	0	396
Brutal	100	1	1	45	95	42				28	150	dmg%		161	190											2hsw	xbow											0	0	0	397
Brutal	100	1	1	60		48				24	150	dmg%		191	225											2hsw	xbow											0	0	0	398
Merciless	100	1	1	80		60				20	150	dmg%		226	260											2hsw	xbow											0	0	0	399
Merciless	100	1	1	95		66				16	150	dmg%		261	300											2hsw	xbow											0	0	0	400
Ruthless	100	1	1	95		66				8	150	dmg%		301	340											2hsw	xbow											0	0	0	401
																																									402
Warrior's	100	1	1	20	60	18				22	151	att		60	80	dmg%	10	30								1hsw	bow											0	0	0	403
Warrior's	100	1	1	60		48				20	151	att		120	160	dmg%	31	50								1hsw	bow											0	0	0	404
Soldier's	100	1	1	80		60				18	151	att		150	200	dmg%	51	70								1hsw	bow											0	0	0	405
Soldier's	100	1	1	95		66				16	151	att		210	280	dmg%	71	90								1hsw	bow											0	0	0	406
																																									407
Knight's	100	1	1	20	60	18				22	151	att		60	80	dmg%	20	40								2hsw	xbow											0	0	0	408
Knight's	100	1	1	60		48				20	151	att		120	160	dmg%	41	60								2hsw	xbow											0	0	0	409
Lord's	100	1	1	80		60				18	151	att		150	200	dmg%	61	80								2hsw	xbow											0	0	0	410
Lord's	100	1	1	95		66				16	151	att		210	280	dmg%	81	100								2hsw	xbow											0	0	0	411
																																									
Stabbing	100	1	1	20	60	18				22	151	pierce		6	12	dmg%	20	40								tkni	taxe	jave										0	0	0	408
Stabbing	100	1	1	60		48				20	151	pierce		8	16	dmg%	41	60								tkni	taxe	jave										0	0	0	409
Impaling	100	1	1	80		60				18	151	pierce		10	20	dmg%	61	80								tkni	taxe	jave										0	0	0	410
Impaling	100	1	1	95		66				16	151	pierce		12	24	dmg%	81	100								tkni	taxe	jave										0	0	0	411
																																									412
Glinting	100	1	1	1	10	1				28	152	dmg-min		1	2											1hsw	bow											0	0	0	413
Glinting	100	1	1	5	15	3				28	152	dmg-min		2	4											1hsw	bow											0	0	0	414
Glinting	100	1	1	10	20	6				28	152	dmg-min		3	6											1hsw	bow											0	0	0	415
Polished	100	1	1	15	35	12				28	152	dmg-min		4	8											1hsw	bow											0	0	0	416
Polished	100	1	1	20	45	18				28	152	dmg-min		6	12											1hsw	bow											0	0	0	417
Polished	100	1	1	25	60	24				28	152	dmg-min		8	16											1hsw	bow											0	0	0	418
Gleaming	100	1	1	35	80	33				28	152	dmg-min		10	20											1hsw	bow											0	0	0	419
Gleaming	100	1	1	45	95	42				28	152	dmg-min		12	24											1hsw	bow											0	0	0	420
Gleaming	100	1	1	60		48				24	152	dmg-min		16	32											1hsw	bow											0	0	0	421
Tempered	100	1	1	80		60				20	152	dmg-min		20	40											1hsw	bow											0	0	0	422
Tempered	100	1	1	95		66				16	152	dmg-min		24	48											1hsw	bow											0	0	0	423
Relentless	100	1	1	95		66				8	152	dmg-min		30	60											1hsw	bow											0	0	0	424
																																									425
Burnished	100	1	1	1	10	1				28	152	dmg-min		3	6											2hsw	xbow											0	0	0	426
Burnished	100	1	1	5	15	3				28	152	dmg-min		4	8											2hsw	xbow											0	0	0	427
Burnished	100	1	1	10	20	6				28	152	dmg-min		5	10											2hsw	xbow											0	0	0	428
Honed	100	1	1	15	35	12				28	152	dmg-min		6	12											2hsw	xbow											0	0	0	429
Honed	100	1	1	20	45	18				28	152	dmg-min		9	18											2hsw	xbow											0	0	0	430
Honed	100	1	1	25	60	24				28	152	dmg-min		12	24											2hsw	xbow											0	0	0	431
Annealed	100	1	1	35	80	33				28	152	dmg-min		15	30											2hsw	xbow											0	0	0	432
Annealed	100	1	1	45	95	42				28	152	dmg-min		19	38											2hsw	xbow											0	0	0	433
Annealed	100	1	1	60		48				24	152	dmg-min		23	46											2hsw	xbow											0	0	0	434
Flaring	100	1	1	80		60				20	152	dmg-min		27	54											2hsw	xbow											0	0	0	435
Flaring	100	1	1	95		66				16	152	dmg-min		31	62											2hsw	xbow											0	0	0	436
Unforgiving	100	1	1	95		66				8	152	dmg-min		37	74											2hsw	xbow											0	0	0	437
																																									438
Squire's	100	1	1	1	10	1				28	153	dmg-max		1	2											1hsw	bow											0	0	0	439
Squire's	100	1	1	5	15	3				28	153	dmg-max		2	4											1hsw	bow											0	0	0	440
Squire's	100	1	1	10	20	6				28	153	dmg-max		4	8											1hsw	bow											0	0	0	441
Reaver's	100	1	1	15	35	12				28	153	dmg-max		8	12											1hsw	bow											0	0	0	442
Reaver's	100	1	1	20	45	18				28	153	dmg-max		12	18											1hsw	bow											0	0	0	443
Reaver's	100	1	1	25	60	24				28	153	dmg-max		18	27											1hsw	bow											0	0	0	444
Conqueror's	100	1	1	35	80	33				28	153	dmg-max		27	40											1hsw	bow											0	0	0	445
Conqueror's	100	1	1	45	95	42				28	153	dmg-max		40	54											1hsw	bow											0	0	0	446
Conqueror's	100	1	1	60		48				24	153	dmg-max		54	72											1hsw	bow											0	0	0	447
Dictator's	100	1	1	80		60				20	153	dmg-max		72	96											1hsw	bow											0	0	0	448
Dictator's	100	1	1	95		66				16	153	dmg-max		96	128											1hsw	bow											0	0	0	449
Tyrant's	100	1	1	95		66				8	153	dmg-max		128	170											1hsw	bow											0	0	0	450
																																									451
Combatant's	100	1	1	1	10	1				28	153	dmg-max		2	4											2hsw	xbow											0	0	0	452
Combatant's	100	1	1	5	15	3				28	153	dmg-max		4	8											2hsw	xbow											0	0	0	453
Combatant's	100	1	1	10	20	6				28	153	dmg-max		8	16											2hsw	xbow											0	0	0	454
Journeyman's	100	1	1	15	35	12				28	153	dmg-max		16	21											2hsw	xbow											0	0	0	455
Journeyman's	100	1	1	20	45	18				28	153	dmg-max		21	28											2hsw	xbow											0	0	0	456
Journeyman's	100	1	1	25	60	24				28	153	dmg-max		28	37											2hsw	xbow											0	0	0	457
Mercenary's	100	1	1	35	80	33				28	153	dmg-max		37	50											2hsw	xbow											0	0	0	458
Mercenary's	100	1	1	45	95	42				28	153	dmg-max		50	66											2hsw	xbow											0	0	0	459
Mercenary's	100	1	1	60		48				24	153	dmg-max		66	88											2hsw	xbow											0	0	0	460
Emperor's	100	1	1	80		60				20	153	dmg-max		88	117											2hsw	xbow											0	0	0	461
Emperor's	100	1	1	95		66				16	153	dmg-max		117	156											2hsw	xbow											0	0	0	462
Imperator's	100	1	1	95		66				8	153	dmg-max		156	208											2hsw	xbow											0	0	0	463
																																									464
Screaming	100	1	1	20	60	18				22	154	dmg-min		2	3	dmg-max		5	10							1hsw	bow											0	0	0	465
Screaming	100	1	1	60	95	48				20	154	dmg-min		4	6	dmg-max		10	20							1hsw	bow											0	0	0	466
Howling	100	1	1	80		60				18	154	dmg-min		8	12	dmg-max		20	40							1hsw	bow											0	0	0	467
Howling	100	1	1	95		66				16	154	dmg-min		16	24	dmg-max		30	60							1hsw	bow											0	0	0	468
																																									469
Wailing	100	1	1	20	60	18				22	154	dmg-min		3	4	dmg-max		7	15							2hsw	xbow											0	0	0	470
Wailing	100	1	1	60	95	48				20	154	dmg-min		6	9	dmg-max		15	30							2hsw	xbow											0	0	0	471
Shrieking	100	1	1	80		60				18	154	dmg-min		11	16	dmg-max		25	50							2hsw	xbow											0	0	0	472
Shrieking	100	1	1	95		66				16	154	dmg-min		20	30	dmg-max		35	70							2hsw	xbow											0	0	0	473
																																									474
Unchained	100	1	1	5	35	3				20	155	dmg%/lvl	4			ease		30	80							1hsw	2hsw	miss										0	0	0	475
Unchained	100	1	1	15	60	12				20	155	dmg%/lvl	8			ease		50	100							1hsw	2hsw	miss										0	0	0	476
Unchained	100	1	1	25	95	24				16	155	dmg%/lvl	12			ease		70	120							1hsw	2hsw	miss										0	0	0	477
Empowering	100	1	1	45		42				12	155	dmg%/lvl	16			ease		90	140							1hsw	2hsw	miss										0	0	0	478
Empowering	100	1	1	80		60				8	155	dmg%/lvl	18			ease		110	160							1hsw	2hsw	miss										0	0	0	479
Empowering	100	1	1	95		66				4	155	dmg%/lvl	20			ease		130	180							1hsw	2hsw	miss										0	0	0	480
Overpowering	100	1	1	95		66				2	155	dmg%/lvl	24			ease		150	200							1hsw	2hsw	miss										0	0	0	481
																																									482
Wounding	100	1	1	5	35	3				20	156	dmg/lvl	4			ease		30	80							1hsw	2hsw	miss										0	0	0	483
Wounding	100	1	1	15	60	12				20	156	dmg/lvl	6			ease		50	100							1hsw	2hsw	miss										0	0	0	484
Wounding	100	1	1	25	95	24				16	156	dmg/lvl	10			ease		70	120							1hsw	2hsw	miss										0	0	0	485
Unleashed	100	1	1	45		42				12	156	dmg/lvl	14			ease		90	140							1hsw	2hsw	miss										0	0	0	486
Unleashed	100	1	1	80		60				8	156	dmg/lvl	16			ease		110	160							1hsw	2hsw	miss										0	0	0	487
Unleashed	100	1	1	95		66				4	156	dmg/lvl	18			ease		130	180							1hsw	2hsw	miss										0	0	0	488
Devastating	100	1	1	95		66				2	156	dmg/lvl	22			ease		150	200							1hsw	2hsw	miss										0	0	0	489
																																									490
Ronald's	100	1	1	20	60	18				12	157	maxdmg%/kill	1			att/lvl	2									1hsw	2hsw	miss										0	0	0	491
Ronald's	100	1	1	60		48				8	157	maxdmg%/kill	1			att/lvl	4									1hsw	2hsw	miss										0	0	0	492
Kron's	100	1	1	80		60				4	157	maxdmg%/kill	1			att/lvl	6									1hsw	2hsw	miss										0	0	0	493
Kron's	100	1	1	95		66				2	157	maxdmg%/kill	2			att/lvl	8									1hsw	2hsw	miss										0	0	0	494
																																									495
Volcazar's	100	1	1	20	60	18				12	158	maxdmg/kill	1			att/lvl	2									1hsw	2hsw	miss										0	0	0	496
Volcazar's	100	1	1	60		48				8	158	maxdmg/kill	1			att/lvl	4									1hsw	2hsw	miss										0	0	0	497
Zaal's	100	1	1	80		60				4	158	maxdmg/kill	1			att/lvl	6									1hsw	2hsw	miss										0	0	0	498
Zaal's	100	1	1	95		66				2	158	maxdmg/kill	2			att/lvl	8									1hsw	2hsw	miss										0	0	0	499
																																									500
Frosted	100	1	1	1	10	1				20	159	cold-len		25	25	cold-min		5	15	cold-max		15	25			1hsw	2hsw	miss					ndgr	npol				0	0	0	501
Frosted	100	1	1	5	15	3				20	159	cold-len		25	25	cold-min		10	25	cold-max		30	50			1hsw	2hsw	miss					ndgr	npol				0	0	0	502
Frosted	100	1	1	10	20	6				20	159	cold-len		25	25	cold-min		15	35	cold-max		45	75			1hsw	2hsw	miss					ndgr	npol				0	0	0	503
Chilled	100	1	1	15	35	12				20	159	cold-len		50	50	cold-min		25	50	cold-max		65	100			1hsw	2hsw	miss					ndgr	npol				0	0	0	504
Chilled	100	1	1	20	45	18				20	159	cold-len		50	50	cold-min		35	65	cold-max		85	150			1hsw	2hsw	miss					ndgr	npol				0	0	0	505
Chilled	100	1	1	25	60	24				20	159	cold-len		50	50	cold-min		50	85	cold-max		110	200			1hsw	2hsw	miss					ndgr	npol				0	0	0	506
Glaciated	100	1	1	35	80	33				20	159	cold-len		75	75	cold-min		65	105	cold-max		135	250			1hsw	2hsw	miss					ndgr	npol				0	0	0	507
Glaciated	100	1	1	45	95	42				20	159	cold-len		75	75	cold-min		85	130	cold-max		165	300			1hsw	2hsw	miss					ndgr	npol				0	0	0	508
Glaciated	100	1	1	60		48				16	159	cold-len		75	75	cold-min		105	155	cold-max		195	400			1hsw	2hsw	miss					ndgr	npol				0	0	0	509
Entombing	100	1	1	80		60				12	159	cold-len		100	100	cold-min		130	185	cold-max		230	500			1hsw	2hsw	miss					ndgr	npol				0	0	0	510
Entombing	100	1	1	95		66				8	159	cold-len		100	100	cold-min		155	215	cold-max		265	600			1hsw	2hsw	miss					ndgr	npol				0	0	0	511
Crystallizing	100	1	1	95		66				4	159	cold-len		100	100	cold-min		185	250	cold-max		305	750			stfm	swor						ndgr	npol				0	0	0	512
																																									513
Heated	100	1	1	1	10	1				20	159	fire-min		10	15	fire-max		20	25							1hsw	2hsw	miss					ndgr	npol				0	0	0	514
Heated	100	1	1	5	15	3				20	159	fire-min		15	20	fire-max		30	50							1hsw	2hsw	miss					ndgr	npol				0	0	0	515
Heated	100	1	1	10	20	6				20	159	fire-min		20	30	fire-max		40	75							1hsw	2hsw	miss					ndgr	npol				0	0	0	516
Smouldering	100	1	1	15	35	12				20	159	fire-min		30	40	fire-max		60	125							1hsw	2hsw	miss					ndgr	npol				0	0	0	517
Smouldering	100	1	1	20	45	18				20	159	fire-min		40	60	fire-max		80	175							1hsw	2hsw	miss					ndgr	npol				0	0	0	518
Smouldering	100	1	1	25	60	24				20	159	fire-min		60	80	fire-max		120	275							1hsw	2hsw	miss					ndgr	npol				0	0	0	519
Flaming	100	1	1	35	80	33				20	159	fire-min		80	120	fire-max		160	375							1hsw	2hsw	miss					ndgr	npol				0	0	0	520
Flaming	100	1	1	45	95	42				20	159	fire-min		120	160	fire-max		240	475							1hsw	2hsw	miss					ndgr	npol				0	0	0	521
Flaming	100	1	1	60		48				16	159	fire-min		160	220	fire-max		320	600							1hsw	2hsw	miss					ndgr	npol				0	0	0	522
Scorching	100	1	1	80		60				12	159	fire-min		220	300	fire-max		420	725							1hsw	2hsw	miss					ndgr	npol				0	0	0	523
Scorching	100	1	1	95		66				8	159	fire-min		300	400	fire-max		520	850							1hsw	2hsw	miss					ndgr	npol				0	0	0	524
Cremating	100	1	1	95		66				4	159	fire-min		300	400	fire-max		520	850	extra-fire		5	15			stfm	swor						ndgr	npol				0	0	0	525
																																									526
Humming	100	1	1	1	10	1				20	159	ltng-min		1	1	ltng-max		20	40							1hsw	2hsw	miss					ndgr	npol				0	0	0	527
Humming	100	1	1	5	15	3				20	159	ltng-min		1	1	ltng-max		40	80							1hsw	2hsw	miss					ndgr	npol				0	0	0	528
Humming	100	1	1	10	20	6				20	159	ltng-min		1	1	ltng-max		60	120							1hsw	2hsw	miss					ndgr	npol				0	0	0	529
Crackling	100	1	1	15	35	12				20	159	ltng-min		1	1	ltng-max		100	200							1hsw	2hsw	miss					ndgr	npol				0	0	0	530
Crackling	100	1	1	20	45	18				20	159	ltng-min		1	1	ltng-max		140	280							1hsw	2hsw	miss					ndgr	npol				0	0	0	531
Crackling	100	1	1	25	60	24				20	159	ltng-min		1	1	ltng-max		200	400							1hsw	2hsw	miss					ndgr	npol				0	0	0	532
Arcing	100	1	1	35	80	33				20	159	ltng-min		1	1	ltng-max		260	520							1hsw	2hsw	miss					ndgr	npol				0	0	0	533
Arcing	100	1	1	45	95	42				20	159	ltng-min		1	1	ltng-max		340	680							1hsw	2hsw	miss					ndgr	npol				0	0	0	534
Arcing	100	1	1	60		48				16	159	ltng-min		1	1	ltng-max		420	840							1hsw	2hsw	miss					ndgr	npol				0	0	0	535
Electrocuting	100	1	1	80		60				12	159	ltng-min		1	1	ltng-max		500	1000							1hsw	2hsw	miss					ndgr	npol				0	0	0	536
Electrocuting	100	1	1	95		66				8	159	ltng-min		1	1	ltng-max		600	1200							1hsw	2hsw	miss					ndgr	npol				0	0	0	537
Vapourising	100	1	1	95		66				4	159	ltng-min		1	1	ltng-max		600	1200	extra-ltng		5	15			stfm	swor						ndgr	npol				0	0	0	538
																																									539
Septic	100	1	1	1	10	1				20	159	dmg-pois	25	15	30											1hsw	2hsw	miss					stfm	scpm	bedg			0	0	0	540
Septic	100	1	1	5	15	3				20	159	dmg-pois	25	30	60											1hsw	2hsw	miss					stfm	scpm	bedg			0	0	0	541
Septic	100	1	1	10	20	6				20	159	dmg-pois	25	45	90											1hsw	2hsw	miss					stfm	scpm	bedg			0	0	0	542
Foul	100	1	1	15	35	12				20	159	dmg-pois	25	75	150											1hsw	2hsw	miss					stfm	scpm	bedg			0	0	0	543
Foul	100	1	1	20	45	18				20	159	dmg-pois	25	105	210											1hsw	2hsw	miss					stfm	scpm	bedg			0	0	0	544
Foul	100	1	1	25	60	24				20	159	dmg-pois	25	165	300											1hsw	2hsw	miss					stfm	scpm	bedg			0	0	0	545
Corrosive	100	1	1	35	80	33				20	159	dmg-pois	25	225	390											1hsw	2hsw	miss					stfm	scpm	bedg			0	0	0	546
Corrosive	100	1	1	45	95	42				20	159	dmg-pois	25	315	530											1hsw	2hsw	miss					stfm	scpm	bedg			0	0	0	547
Corrosive	100	1	1	60		48				16	159	dmg-pois	25	405	650											1hsw	2hsw	miss					stfm	scpm	bedg			0	0	0	548
Toxic	100	1	1	80		60				12	159	dmg-pois	25	525	800											1hsw	2hsw	miss					stfm	scpm	bedg			0	0	0	549
Toxic	100	1	1	95		66				8	159	dmg-pois	25	645	950											1hsw	2hsw	miss					stfm	scpm	bedg			0	0	0	550
Pestilent	100	1	1	95		66				4	159	dmg-pois	25	645	950	extra-pois		5	15							ndgr	npol						stfm	scpm	bedg			0	0	0	551
																																									552
Boreal	100	1	1	20	60	18				12	160	dmg-cold/kill		2	2											1hsw	2hsw	miss					ndgr	npol				0	0	0	553
Boreal	100	1	1	60		48				8	160	dmg-cold/kill		2	2											1hsw	2hsw	miss					ndgr	npol				0	0	0	554
Hibernal	100	1	1	80		60				4	160	dmg-cold/kill		2	2											1hsw	2hsw	miss					ndgr	npol				0	0	0	555
Hibernal	100	1	1	95		66				2	160	dmg-cold/kill		3	3											1hsw	2hsw	miss					ndgr	npol				0	0	0	556
																																									557
Buzzing	100	1	1	20	60	18				12	160	dmg-ltng/kill		2	2											1hsw	2hsw	miss					ndgr	npol				0	0	0	558
Buzzing	100	1	1	60		48				8	160	dmg-ltng/kill		2	2											1hsw	2hsw	miss					ndgr	npol				0	0	0	559
Discharging	100	1	1	80		60				4	160	dmg-ltng/kill		2	2											1hsw	2hsw	miss					ndgr	npol				0	0	0	560
Discharging	100	1	1	95		66				2	160	dmg-ltng/kill		3	3											1hsw	2hsw	miss					ndgr	npol				0	0	0	561
																																									562
Fiery	100	1	1	20	60	18				12	160	dmg-fire/kill		2	2											1hsw	2hsw	miss					ndgr	npol				0	0	0	563
Fiery	100	1	1	60		48				8	160	dmg-fire/kill		2	2											1hsw	2hsw	miss					ndgr	npol				0	0	0	564
Ignited	100	1	1	80		60				4	160	dmg-fire/kill		2	2											1hsw	2hsw	miss					ndgr	npol				0	0	0	565
Ignited	100	1	1	95		66				2	160	dmg-fire/kill		3	3											1hsw	2hsw	miss					ndgr	npol				0	0	0	566
																																									567
Arctic	100	1	1	20	60	18				12	161	dmg-cold/coldres		20	24											1hsw	2hsw	miss					ndgr	npol				0	0	0	568
Arctic	100	1	1	60		48				8	161	dmg-cold/coldres		22	26											1hsw	2hsw	miss					ndgr	npol				0	0	0	569
Frigid	100	1	1	80		60				4	161	dmg-cold/coldres		24	28											1hsw	2hsw	miss					ndgr	npol				0	0	0	570
Frigid	100	1	1	95		66				2	161	dmg-cold/coldres		26	30											1hsw	2hsw	miss					ndgr	npol				0	0	0	571
																																									572
Frizzling	100	1	1	20	60	18				12	161	dmg-ltng/ltngres		10	30											1hsw	2hsw	miss					ndgr	npol				0	0	0	573
Frizzling	100	1	1	60		48				8	161	dmg-ltng/ltngres		13	33											1hsw	2hsw	miss					ndgr	npol				0	0	0	574
Zapping	100	1	1	80		60				4	161	dmg-ltng/ltngres		16	36											1hsw	2hsw	miss					ndgr	npol				0	0	0	575
Zapping	100	1	1	95		66				2	161	dmg-ltng/ltngres		19	39											1hsw	2hsw	miss					ndgr	npol				0	0	0	576
																																									577
Hellish	100	1	1	20	60	18				12	161	dmg-fire/fireres		22	26											1hsw	2hsw	miss					ndgr	npol				0	0	0	578
Hellish	100	1	1	60		48				8	161	dmg-fire/fireres		24	28											1hsw	2hsw	miss					ndgr	npol				0	0	0	579
Infernal	100	1	1	80		60				4	161	dmg-fire/fireres		26	30											1hsw	2hsw	miss					ndgr	npol				0	0	0	580
Infernal	100	1	1	95		66				2	161	dmg-fire/fireres		28	32											1hsw	2hsw	miss					ndgr	npol				0	0	0	581
																																									582
Fuming	100	1	1	1	10	1				28	162	extra-fire		1	6											2hcw	1hcw	mana					scpc	wdnr				0	0	0	583
Fuming	100	1	1	5	15	3				28	162	extra-fire		2	7											2hcw	1hcw	mana					scpc	wdnr				0	0	0	584
Fuming	100	1	1	10	20	6				28	162	extra-fire		3	8											2hcw	1hcw	mana					scpc	wdnr				0	0	0	585
Blistering	100	1	1	15	35	12				28	162	extra-fire		4	9											2hcw	1hcw	mana					scpc	wdnr				0	0	0	586
