name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Serpentskin Armor	0	0	2	1	172	190	0	0	43	0	24	0	31	24	22480	103948	xea	xea		901	lea	lea	lea	xea	yea	0	1	2	3	1	4	2	flplea	invlea					1		1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Demonhide Armor	0	0	3	1	191	211	0	0	50	0	28	0	32	25	24545	123379	xla	xla		901	hla	hla	hla	xla	yla	0	1	2	3	1	4	2	flphla	invhla		invxla	1	1	1		1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Trellised Armor	0	0	4	1	212	234	0	0	61	0	32	0	35	25	28791	157854	xtu	xtu		901	stu	stu	stu	xtu	ytu	0	1	2	3	1	4	2	flpstu	invstu	invxtuu		1			1	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Linked Mail	0	0	4	1	235	259	0	10	74	0	26	0	37	25	33300	201874	xng	xng		901	rng	rng	rng	xng	yng	0	1	2	3	1	5	2	flprng	invrng		invclk			1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Tigulated Mail	0	0	4	1	260	286	0	15	86	0	36	0	39	25	37121	241597	xcl	xcl		901	scl	scl	scl	xcl	ycl	0	1	2	3	1	6	2	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Mesh Armor	0	0	4	1	287	315	0	10	92	0	45	0	40	25	42720	292047	xhn	xhn		901	chn	chn	chn	xhn	yhn	0	1	2	3	1	5	2	flpchn	invchn		invrob	1	1	1	1	2	2	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Cuirass	0	0	4	1	316	346	1	5	65	0	50	0	43	25	42360	311728	xrs	xrs		901	brs	brs	brs	xrs	yrs	0	1	2	3	1	4	2	flpbrs	invbrs		invxrss			2		2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Russet Armor	0	0	4	1	317	351	0	10	97	0	30	0	45	25	51702	399118	xpl	xpl		901	spl	spl	spl	xpl	ypl	0	1	2	3	1	5	2	flpspl	invspl		invgth	1	1	2	1	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Templar Coat	0	0	4	1	369	407	0	15	118	0	60	0	49	25	55128	463068	xlt	xlt		901	plt	plt	plt	xlt	ylt	0	1	2	3	1	6	2	flpplt	invplt		invful	2	2	2	2	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Sharktooth Armor	0	0	4	1	408	448	2	10	103	0	48	0	52	25	55253	501422	xld	xld		901	fld	fld	fld	xld	yld	0	1	2	3	1	5	2	flpfld	invfld		invaaru	1	1	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Embossed Plate	0	0	4	1	449	491	0	10	125	0	55	0	54	25	67018	660872	xth	xth		901	gth	gth	gth	xth	yth	0	1	2	3	1	5	2	flpgth	invgth		invltp	2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Chaos Armor	0	0	4	1	507	553	2	15	140	0	70	0	56	25	78202	854785	xul	xul		901	ful	ful	ful	xul	yul	0	1	2	3	1	6	2	flpful	invful	invfulu	invfulu	2	2	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Ornate Armor	0	0	4	1	563	613	5	10	170	0	60	0	58	25	95048	1083593	xar	xar		901	aar	aar	aar	xar	yar	0	1	2	3	1	5	2	flpaar	invaar	invaaru	invaaru	1	2	2	2	2		0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Mage Plate	0	0	4	1	332	368	1	5	55	0	60	0	55	25	58283	602374	xtp	xtp		901	ltp	ltp	ltp	xtp	ytp	0	1	2	3	1	4	2	flpltp	invltp			2		1	1	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Defender	0	0	2	1	60	75	0	0	38	10	68	0	29	22	11281	43562	xuc	xuc		901	buc	buc	buc	xuc	yuc	0	7	2	2	1	3	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	22	30	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Round Shield	0	0	3	1	75	93	0	0	53	12	64	0	32	25	12726	56868	xml	xml		901	buc	buc	sml	xml	yml	0	7	2	2	1	3	2	flpsml	invsml	invxmlu	invxmlu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	22	38	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Scutum	0	0	4	1	90	111	0	5	71	14	62	0	37	25	14769	79180	xrg	xrg		901	lrg	lrg	lrg	xrg	yrg	0	7	2	3	1	4	2	flplrg	invlrg	invxrgu	invxrgu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	32	40	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Dragon Shield	0	0	4	1	120	147	0	5	91	18	76	0	41	25	16547	99972	xit	xit		901	kit	kit	kit	xit	yit	0	7	2	3	1	4	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	34	54	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Pavise	0	0	4	1	150	183	1	10	133	24	72	0	47	25	19775	144250	xow	xow		901	tow	tow	tow	xow	yow	0	7	2	3	1	4	2	flptow	invtow	invtowu	invtowu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	32	48	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Ancient Shield	0	0	4	1	165	204	0	5	110	16	80	0	53	25	24610	216170	xts	xts		901	kit	kit	gts	xts	yts	0	7	2	4	1	4	2	flpgts	invgts	invgtsu	invgtsu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	38	46	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Demonhide Gloves	0	0	1	1	67	87	0	0	20	0	12	0	31	21	8480	37051	xlg	xlg		901	lgl	lgl	lgl	xlg	ylg	0	16	2	2	1	2	0	flplgl	invlgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sharkskin Gloves	0	0	1	1	76	100	0	0	20	0	14	0	34	25	10710	47532	xvg	xvg		901	vgl	vgl	vgl	xvg	yvg	0	16	2	2	1	2	0	flpvgl	invvgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Heavy Bracers	0	0	2	1	85	113	0	0	58	0	16	0	38	25	12056	62403	xmg	xmg		901	mgl	mgl	mgl	xmg	ymg	0	16	2	2	1	2	0	flpmgl	invmgl		invxgl	1	1					0	0	0	0	0	glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Battle Gauntlets	0	0	3	1	94	126	0	0	88	0	18	0	45	25	13457	85513	xtg	xtg		901	mgl	mgl	tgl	xtg	ytg	0	16	2	2	1	2	0	flptgl	invtgl			1	1					0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
War Gauntlets	0	0	4	1	103	139	0	0	110	0	24	0	51	25	15450	116872	xhg	xhg		901	hgl	hgl	hgl	xhg	yhg	0	16	2	2	1	2	0	flphgl	invhgl			2	2					0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Demonhide Boots	0	0	1	1	65	85	0	0	20	0	12	0	31	24	9230	37051	xlb	xlb		901	lbt	lbt	lbt	xlb	ylb	0	16	2	2	1	2	1	flplbt	invlbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	39	69	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sharkskin Boots	0	0	1	1	76	100	0	0	47	0	14	0	34	25	10697	47430	xvb	xvb		901	vbt	vbt	vbt	xvb	yvb	0	16	2	2	1	2	1	flpvbt	invvbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	42	75	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Mesh Boots	0	0	2	1	87	115	0	0	65	0	16	0	38	25	12052	62371	xmb	xmb		901	mbt	mbt	mbt	xmb	ymb	0	16	2	2	1	2	1	flpmbt	invmbt						1			0	0	0	0	0	boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0	0	6	0	35	78	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Battle Boots	0	0	3	1	98	130	0	0	95	0	18	0	45	25	13453	85475	xtb	xtb		901	mbt	mbt	tbt	xtb	ytb	0	16	2	2	1	2	1	flptbt	invtbt						1			0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	56	96	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
War Boots	0	0	4	1	109	145	0	0	125	0	24	0	51	25	15443	116787	xhb	xhb		901	hbt	hbt	hbt	xhb	yhb	0	16	2	2	1	2	1	flphbt	invhbt						2			0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	59	120	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Demonhide Sash	0	0	1	1	75	95	0	0	20	0	12	0	31	24	9304	37243	zlb	zlb		901	lbl	lbl	lbl	zlb	alb	0	16	2	1	1	2	2	flplbl	invlbl									0	0	0	0	0	belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	6	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Sharkskin Belt	0	0	1	1	84	108	0	0	20	0	14	0	34	25	10350	45405	zvb	zvb		901	vbl	vbl	vbl	zvb	avb	0	16	2	1	1	2	2	flpvbl	invvbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Mesh Belt	0	0	2	1	93	121	0	0	58	0	16	0	38	25	11572	59131	zmb	zmb		901	mbl	mbl	mbl	zmb	bmb	0	16	2	1	1	2	2	flpmbl	invmbl		invmbl							0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Battle Belt	0	0	2	1	102	134	0	0	88	0	18	0	45	25	12857	80593	ztb	ztb		901	mbl	mbl	tbl	ztb	atb	0	16	2	1	1	2	2	flptbl	invtbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
War Belt	0	0	3	1	111	147	0	0	110	0	24	0	51	25	15175	114256	zhb	zhb		901	hbl	hbl	hbl	zhb	ahb	0	16	2	1	1	2	2	flphbl	invhbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Grim Helm	0	0	2	1	97	127	0	0	58	0	40	0	47	25	23842	179474	xh9	xh9		901	bhm	bhm	bhm	xh9	yh9	0	0	2	2	1	3	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	0	0	1
Grim Shield	0	0	2	1	135	165	0	0	58	20	70	0	44	25	24572	173762	xsh	xsh		901	bsh	bsh	bsh	xsh	ysh	0	7	2	3	1	2	2	flpbsh	invbsh	invxshu	invxshu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	40	52	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Barbed Shield	0	0	3	1	105	129	0	0	65	17	55	0	36	25	16578	91162	xpk	xpk		901	spk	spk	spk	xpk	ypk	0	7	2	3	1	3	2	flpspk	invspk	invxpku	invxpku							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	40	76	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	xxx	xxx	0	0	1
Expansion															0	0																																																																																																																																																			
Wolf Head	100	0	1	1	12	18	0	0	16	0	20	0	4	3	364	4868	dr1	dr1		901	dr1	dr1	dr1	dr6	drb	0	0	2	2	1	3	1	flpdr1	invdr1									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	dr6	drb	0	0	1
Hawk Helm	100	0	1	1	18	30	0	0	20	0	20	0	8	6	664	7840	dr2	dr2		901	dr4	dr4	dr2	dr7	drc	0	0	2	2	1	3	1	flpdr4	invdr2									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255	2	4	2	4	20					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	dr7	drc	0	0	1
Antlers	100	0	1	1	24	39	0	0	24	0	20	0	16	12	2832	15926	dr3	dr3		901	dr3	dr3	dr3	dr8	drd	0	0	2	2	1	3	1	flpdr3	invdr3									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255					255			5	8	0	dr8	drd	0	0	1
Falcon Mask	100	0	1	1	30	48	0	0	28	0	20	0	20	15	3332	19600	dr4	dr4		901	dr4	dr4	dr4	dr9	dre	0	0	2	2	1	3	1	flpdr4	invdr4									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255			5	8	0	dr9	dre	0	0	1
Spirit Mask	100	0	1	1	36	57	0	0	30	0	20	0	24	18	5670	29275	dr5	dr5		901	dr1	dr1	dr5	dra	drf	0	0	2	2	1	3	1	flpdr1	invdr5									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255					255					255			5	8	0	dra	drf	0	0	1
Jawbone Cap	100	0	2	1	13	19	0	0	25	0	25	0	4	3	320	4750	ba1	ba1		901	ba1	dr1	ba1	ba6	bab	0	0	2	2	1	3	1	flpba1	invba1									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	ba6	bab	0	0	1
Fanged Helm	100	0	2	1	27	39	0	0	35	0	35	0	8	6	750	8250	ba2	ba2		901	ba1	bhm	ba2	ba7	bac	0	0	2	2	1	3	1	flpba1	invba2									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255	2	4	2	4	20					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	ba7	bac	0	0	1
Horned Helm	100	0	2	1	40	55	0	0	45	0	45	0	16	12	2750	15375	ba3	ba3		901	ba3	bhm	ba3	ba8	bad	0	0	2	2	1	3	1	flpba3	invba3		invghm							0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255					255			5	8	0	ba8	bad	0	0	1
Assault Helmet	100	0	2	1	54	72	0	0	55	0	50	0	20	15	3420	19680	ba4	ba4		901	ba5	bhm	ba4	ba9	bae	0	0	2	2	1	3	1	flpba5	invba4									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255			5	8	0	ba9	bae	0	0	1
Avenger Guard	100	0	2	1	67	88	0	0	65	0	55	0	24	18	5785	29640	ba5	ba5		901	ba5	bhm	ba5	baa	baf	0	0	2	2	1	3	1	flpba5	invba5									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255					255					255			5	8	0	baa	baf	0	0	1
Targe	100	0	2	1	6	12	0	0	16	10	20	0	4	1	384	6317	pa1	pa1		901	pa1	spk	pa1	pa6	pab	0	7	2	2	1	4	2	flppa1	invpa1									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	1	0	0	0	1	0	4	12	100		0	3					255					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	pa6	pab	0	0	1
Rondache	100	0	2	1	13	25	0	0	26	15	30	0	8	6	982	10259	pa2	pa2		901	pa1	spk	pa2	pa7	pac	0	7	2	2	1	4	2	flppa1	invpa2									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	2	0	0	0	1	0	4	16	100		0	3					255					255					255					255	2	4	2	4	20					255					255					255					255					255					255					255					255					255					255					255					255			5	1	0	pa7	pac	0	0	1
Heraldic Shield	100	0	2	1	27	42	0	5	40	20	40	0	16	12	2816	15620	pa3	pa3		901	pa3	spk	pa3	pa8	pad	0	7	2	4	1	4	2	flppa3	invpa3									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	3	0	0	0	1	0	6	18	100		0	3					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255					255			5	1	0	pa8	pad	0	0	1
Aerin Shield	100	0	2	1	43	61	0	5	50	22	50	0	20	15	5158	26779	pa4	pa4		901	pa3	spk	pa4	pa9	pae	0	7	2	4	1	4	2	flppa3	invpa4									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	4	0	0	0	1	0	8	20	100		0	3					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255			5	1	0	pa9	pae	0	0	1
Crown Shield	100	0	2	1	63	84	0	0	65	25	60	0	24	18	6935	46038	pa5	pa5		901	pa5	spk	pa5	paa	paf	0	7	2	2	1	4	2	flppa5	invpa5									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	5	0	0	0	1	0	8	24	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	20					255					255					255			5	1	0	paa	paf	0	0	1
Preserved Head	100	0	1	1	4	10	0	0	12	3	20	0	4	1	128	4628	ne1	ne1		901	ne1	dr1	ne1	ne6	neb	0	10	2	2	1	3	2	flpne1	invne1									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	ne6	neb	0	0	1
Zombie Head	100	0	1	1	9	21	0	0	14	5	20	0	8	6	418	7336	ne2	ne2		901	ne2	bhm	ne2	ne7	neg	0	10	2	2	1	3	2	flpne2	invne2									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255	2	4	2	4	20					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	ne7	nec	0	0	1
Unraveller Head	100	0	1	1	13	28	0	0	18	8	20	0	16	12	1070	12390	ne3	ne3		901	ne3	bhm	ne3	ne8	ned	0	10	2	2	1	3	2	flpne3	invne3									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255					255			1	8	0	ne8	ned	0	0	1
Gargoyle Head	100	0	1	1	18	36	0	0	20	10	20	0	20	15	2164	16660	ne4	ne4		901	ne3	bhm	ne4	ne9	nee	0	10	2	2	1	3	2	flpne3	invne4									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255			1	8	0	ne9	nee	0	0	1
Demon Head	100	0	1	1	22	43	0	0	25	12	20	0	24	18	3475	22675	ne5	ne5		901	ne2	bhm	ne5	nea	nef	0	10	2	2	1	3	2	flpne2	invne5									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255					255					255			5	8	0	nea	nef	0	0	1
Circlet	100	0	1	1	35	45	0	0	25	0	40	0	24	16	9876	47830	ci0	ci0	6	901	lit	lit	ci0	ci1	ci3	0	0	2	2	1	3	1	flpci0	invci0									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255			2	4	20					255					255					255					255					255					255					255					255					255			1	8	0	ci1	ci3	0	0	1
Coronet	100	0	1	1	70	90	0	0	40	0	30	0	53	39	24500	290625	ci1	ci1	12	901	lit	lit	ci0	ci1	ci3	0	0	2	2	1	3	1	flpci1	invci1									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	1	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
Tiara	100	0	1	1	130	160	0	0	45	0	25	0	70	52	32500	455000	ci2	ci2	15	901	lit	lit	cix	ci4	ci2	0	0	2	2	1	4	1	flpci1	invci2									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	0	0	1
