Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add	sort
of Incantation	100	1	1	35	80	33				24	52	enr		20	22											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	323
of Incantation	100	1	1	45	95	42				24	52	enr		23	25											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	324
of Incantation	100	1	1	60	95	48				24	52	enr		20	22											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	325
of Conjuration	100	1	1	80		60				22	52	enr		31	35											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	326
of Conjuration	100	1	1	95		66				20	52	enr		36	40											1hsw	2hsw	1hcw	2hcw	miss						0	0	0	327
of Awakening	100	1	1	95		66				18	52	enr		41	45											2hsw	2hcw	miss								0	0	0	328
																																							329
of the Ursus	100	1	1	5	15	3				9	53	str%		1	2											1hsw	2hsw									0	0	0	330
of the Ursus	100	1	1	15	35	12				9	53	str%		3	5											1hsw	2hsw									0	0	0	331
of the Ursus	100	1	1	25	60	24				8	53	str%		5	8											1hsw	2hsw									0	0	0	332
of the Chimpanzee	100	1	1	45	95	42				7	53	str%		7	11											1hsw	2hsw									0	0	0	333
of the Chimpanzee	100	1	1	80		60				6	53	str%		9	14											1hsw	2hsw									0	0	0	334
of the Chimpanzee	100	1	1	95		66				5	53	str%		11	17											1hsw	2hsw									0	0	0	335
of the Chimpanzee	100	1	1	95		66				4	53	str%		13	20											2hsw										0	0	0	336
																																							337
of the Leopard	100	1	1	5	15	3				9	54	dex%		1	2											1hsw	2hsw	miss								0	0	0	338
of the Leopard	100	1	1	15	35	12				9	54	dex%		3	5											1hsw	2hsw	miss								0	0	0	339
of the Leopard	100	1	1	25	60	24				8	54	dex%		5	8											1hsw	2hsw	miss								0	0	0	340
of the Cheetah	100	1	1	45	95	42				7	54	dex%		7	11											1hsw	2hsw	miss								0	0	0	341
of the Cheetah	100	1	1	80		60				6	54	dex%		9	14											1hsw	2hsw	miss								0	0	0	342
of the Cheetah	100	1	1	95		66				5	54	dex%		11	17											1hsw	2hsw	miss								0	0	0	343
of the Cheetah	100	1	1	95		66				4	54	dex%		13	20											2hsw										0	0	0	344
																																							345
of the Oracle	100	1	1	5	15	3				9	55	enr%		1	2											1hcw	2hcw									0	0	0	346
of the Oracle	100	1	1	15	35	12				9	55	enr%		3	5											1hcw	2hcw									0	0	0	347
of the Oracle	100	1	1	25	60	24				8	55	enr%		5	8											1hcw	2hcw									0	0	0	348
of Virtuosity	100	1	1	45	95	42				7	55	enr%		7	11											1hcw	2hcw									0	0	0	349
of Virtuosity	100	1	1	80		60				6	55	enr%		9	14											1hcw	2hcw									0	0	0	350
of Virtuosity	100	1	1	95		66				5	55	enr%		11	17											1hcw	2hcw									0	0	0	351
of Virtuosity	100	1	1	95		66				4	55	enr%		13	20											2hcw										0	0	0	352
																																							353
of Readiness	100	1	1	1	10	1				28	56	swing1		2	4											1hsw	2hsw	miss								0	0	0	354
of Readiness	100	1	1	5	15	3				28	56	swing1		5	7											1hsw	2hsw	miss								0	0	0	355
of Readiness	100	1	1	10	20	6				28	56	swing1		8	10											1hsw	2hsw	miss								0	0	0	356
of Alacrity	100	1	1	15	35	12				28	56	swing1		11	13											1hsw	2hsw	miss								0	0	0	357
of Alacrity	100	1	1	20	45	18				28	56	swing1		14	16											1hsw	2hsw	miss								0	0	0	358
of Alacrity	100	1	1	25	60	24				28	56	swing1		17	19											1hsw	2hsw	miss								0	0	0	359
of Swiftness	100	1	1	35	80	33				28	56	swing2		20	22											1hsw	2hsw	miss								0	0	0	360
of Swiftness	100	1	1	45	95	42				28	56	swing2		23	25											1hsw	2hsw	miss								0	0	0	361
of Swiftness	100	1	1	60	95	48				28	56	swing2		20	22											1hsw	2hsw	miss								0	0	0	362
of Quickness	100	1	1	80		60				24	56	swing2		31	35											1hsw	2hsw	miss								0	0	0	363
of Quickness	100	1	1	95		66				22	56	swing2		36	40											1hsw	2hsw	miss								0	0	0	364
of Fervour	100	1	1	95		66				20	56	swing3		41	45											2hsw	miss									0	0	0	365
																																							366
of the Magus	100	1	1	1	10	1				28	57	cast1		2	4											1hcw	2hcw									0	0	0	367
of the Magus	100	1	1	5	15	3				28	57	cast1		5	7											1hcw	2hcw									0	0	0	368
of the Magus	100	1	1	10	20	6				28	57	cast1		8	10											1hcw	2hcw									0	0	0	369
of the Conjurer	100	1	1	15	35	12				28	57	cast1		11	13											1hcw	2hcw									0	0	0	370
of the Conjurer	100	1	1	20	45	18				28	57	cast1		14	16											1hcw	2hcw									0	0	0	371
of the Conjurer	100	1	1	25	60	24				28	57	cast1		17	19											1hcw	2hcw									0	0	0	372
of the Diviner	100	1	1	35	80	33				28	57	cast2		20	22											1hcw	2hcw									0	0	0	373
of the Diviner	100	1	1	45	95	42				28	57	cast2		23	25											1hcw	2hcw									0	0	0	374
of the Diviner	100	1	1	60	95	48				28	57	cast2		20	22											1hcw	2hcw									0	0	0	375
of the Foreseer	100	1	1	80		60				24	57	cast2		31	35											1hcw	2hcw									0	0	0	376
of the Foreseer	100	1	1	95		66				22	57	cast2		36	40											1hcw	2hcw									0	0	0	377
of the Visionary	100	1	1	95		66				20	57	cast3		41	45											2hcw										0	0	0	378
																																							379
of the Leech	100	1	1	5	15	3				18	58	lifesteal		1	2	tinkerflag2		2	12							1hsw	2hsw	miss								0	0	0	380
of the Leech	100	1	1	15	35	12				18	58	lifesteal		3	4	tinkerflag2		4	18							1hsw	2hsw	miss								0	0	0	381
of the Locust	100	1	1	25	60	24				18	58	lifesteal		5	6	tinkerflag2		6	24							1hsw	2hsw	miss								0	0	0	382
of the Locust	100	1	1	45	95	42				16	58	lifesteal		7	8	tinkerflag2		8	30							1hsw	2hsw	miss								0	0	0	383
of the Lamprey	100	1	1	80		60				14	58	lifesteal		9	10	tinkerflag2		10	36							1hsw	2hsw	miss								0	0	0	384
of the Lamprey	100	1	1	95		66				12	58	lifesteal		11	12	tinkerflag2		12	42							1hsw	2hsw	miss								0	0	0	385
																																							386
of the Bat	100	1	1	5	15	3				18	59	manasteal		1	2	tinkerflag2		2	12							1hsw	2hsw	miss								0	0	0	387
of the Bat	100	1	1	15	35	12				18	59	manasteal		3	4	tinkerflag2		4	18							1hsw	2hsw	miss								0	0	0	388
of the Wraith	100	1	1	25	60	24				18	59	manasteal		5	6	tinkerflag2		6	24							1hsw	2hsw	miss								0	0	0	389
of the Wraith	100	1	1	45	95	42				16	59	manasteal		7	8	tinkerflag2		8	30							1hsw	2hsw	miss								0	0	0	390
of the Vampire	100	1	1	80		60				14	59	manasteal		9	10	tinkerflag2		10	36							1hsw	2hsw	miss								0	0	0	391
of the Vampire	100	1	1	95		66				12	59	manasteal		11	12	tinkerflag2		12	42							1hsw	2hsw	miss								0	0	0	392
																																							393
of the Bloodmad	100	1	1	5	15	3				18	60	heal-kill		2	4	tinkerflag2		2	12							1hcw	2hcw									0	0	0	394
of the Bloodmad	100	1	1	15	35	12				18	60	heal-kill		6	8	tinkerflag2		4	18							1hcw	2hcw									0	0	0	395
of the Bloodsworn	100	1	1	25	60	24				18	60	heal-kill		10	12	tinkerflag2		6	24							1hcw	2hcw									0	0	0	396
of the Bloodsworn	100	1	1	45	95	42				16	60	heal-kill		14	16	tinkerflag2		8	30							1hcw	2hcw									0	0	0	397
of the Bloodlord	100	1	1	80		60				14	60	heal-kill		18	20	tinkerflag2		10	36							1hcw	2hcw									0	0	0	398
of the Bloodlord	100	1	1	95		66				12	60	heal-kill		22	24	tinkerflag2		12	42							1hcw	2hcw									0	0	0	399
																																							400
of Mana Leak	100	1	1	5	15	3				18	61	mana-kill		2	4	tinkerflag2		2	12							1hcw	2hcw									0	0	0	401
of Mana Leak	100	1	1	15	35	12				18	61	mana-kill		6	8	tinkerflag2		4	18							1hcw	2hcw									0	0	0	402
of Mana Drain	100	1	1	25	60	24				18	61	mana-kill		10	12	tinkerflag2		6	24							1hcw	2hcw									0	0	0	403
of Mana Drain	100	1	1	45	95	42				16	61	mana-kill		14	16	tinkerflag2		8	30							1hcw	2hcw									0	0	0	404
of Mana Breach	100	1	1	80		60				14	61	mana-kill		18	20	tinkerflag2		10	36							1hcw	2hcw									0	0	0	405
of Mana Breach	100	1	1	95		66				12	61	mana-kill		22	24	tinkerflag2		12	42							1hcw	2hcw									0	0	0	406
																																							407
of the Deathless	100	1	1	5	15	3				18	62	deadly		1	4											2hsw	miss									0	0	0	408
of the Deathless	100	1	1	15	35	12				18	62	deadly		4	8											2hsw	miss									0	0	0	409
of the Deathbringer	100	1	1	25	60	24				18	62	deadly		8	12											2hsw	miss									0	0	0	410
of the Deathbringer	100	1	1	45	95	42				16	62	deadly		12	16											2hsw	miss									0	0	0	411
of the Deathmark	100	1	1	80		60				14	62	deadly		16	20											2hsw	miss									0	0	0	412
of the Deathmark	100	1	1	95		66				12	62	deadly		20	24											2hsw	miss									0	0	0	413
																																							414
of Mauling	100	1	1	5	15	3				18	63	crush		1	2											1hsw										0	0	0	415
of Mauling	100	1	1	15	35	12				18	63	crush		3	4											1hsw										0	0	0	416
of the Mauler	100	1	1	25	60	24				18	63	crush		5	6											1hsw										0	0	0	417
of the Mauler	100	1	1	45	95	42				16	63	crush		7	8											1hsw										0	0	0	418
of the Maulhorn	100	1	1	80		60				14	63	crush		9	10											1hsw										0	0	0	419
of the Maulhorn	100	1	1	95		66				12	63	crush		11	12											1hsw										0	0	0	420
																																							421
of Aurora	100	1	1	80		60				4	64	aura	Might	3	6											1hsw	2hsw	miss								0	0	0	422
of Aurora	100	1	1	95		66				2	64	aura	Might	7	10											1hsw	2hsw	miss								0	0	0	423
of Aurora	100	1	1	80		60				4	64	aura	Fanaticism	3	6											1hsw	2hsw	miss								0	0	0	424
of Aurora	100	1	1	95		66				2	64	aura	Fanaticism	7	10											1hsw	2hsw	miss								0	0	0	425
of Aurora	100	1	1	80		60				4	64	aura	Concentration	3	6											1hsw	2hsw	miss								0	0	0	426
of Aurora	100	1	1	95		66				2	64	aura	Concentration	7	10											1hsw	2hsw	miss								0	0	0	427
of Aurora	100	1	1	80		60				4	64	aura	Blessed Aim	3	6											1hsw	2hsw	miss								0	0	0	428
of Aurora	100	1	1	95		66				2	64	aura	Blessed Aim	7	10											1hsw	2hsw	miss								0	0	0	429
																																							430
of Aurora	100	1	1	95		66				4	64	aura	Redemption	1	1											1hcw	2hcw									0	0	0	431
of Aurora	100	1	1	80		60				2	64	aura	Redemption	1	3											1hcw	2hcw									0	0	0	432
of Aurora	100	1	1	95		66				4	64	aura	Salvation	1	1											1hcw	2hcw									0	0	0	433
of Aurora	100	1	1	80		60				2	64	aura	Salvation	1	3											1hcw	2hcw									0	0	0	434
																																							435
of Fire Balls	100	1	1	5	15	3				12	65	hit-skill	Fireballs	5	5	extra-fire		1	1							1hsw	2hsw	miss								0	0	0	436
of Fire Balls	100	1	1	15	35	12				12	65	hit-skill	Fireballs	5	10	extra-fire		1	2							1hsw	2hsw	miss								0	0	0	437
of Fire Balls	100	1	1	25	60	24				10	65	hit-skill	Fireballs	5	15	extra-fire		2	2							1hsw	2hsw	miss								0	0	0	438
of Fire Balls	100	1	1	45	95	42				10	65	hit-skill	Fireballs	5	25	extra-fire		2	3							1hsw	2hsw	miss								0	0	0	439
of Fire Balls	100	1	1	80	95	60				8	65	hit-skill	Fireballs	5	35	extra-fire		3	3							1hsw	2hsw	miss								0	0	0	440
of Fire Balls	100	1	1	95		66				8	65	hit-skill	Fireballs	5	50	extra-fire		3	4							1hsw	2hsw	miss								0	0	0	441
of Fire Balls	100	1	1	95		66				6	65	hit-skill	Fireballs	5	60	extra-fire		4	6							1hsw	2hsw	miss								0	0	0	442
																																							443
of Fire Bolts	100	1	1	5	15	3				12	65	hit-skill	Firebolts	5	5	extra-fire		1	1							1hsw	2hsw	miss								0	0	0	444
of Fire Bolts	100	1	1	15	35	12				12	65	hit-skill	Firebolts	5	10	extra-fire		1	2							1hsw	2hsw	miss								0	0	0	445
of Fire Bolts	100	1	1	25	60	24				10	65	hit-skill	Firebolts	5	15	extra-fire		2	2							1hsw	2hsw	miss								0	0	0	446
of Fire Bolts	100	1	1	45	95	42				10	65	hit-skill	Firebolts	5	25	extra-fire		2	3							1hsw	2hsw	miss								0	0	0	447
of Fire Bolts	100	1	1	80	95	60				8	65	hit-skill	Firebolts	5	35	extra-fire		3	3							1hsw	2hsw	miss								0	0	0	448
of Fire Bolts	100	1	1	95		66				8	65	hit-skill	Firebolts	5	50	extra-fire		3	4							1hsw	2hsw	miss								0	0	0	449
of Fire Bolts	100	1	1	95		66				6	65	hit-skill	Firebolts	5	60	extra-fire		4	6							1hsw	2hsw	miss								0	0	0	450
																																							451
of Chain Lightning	100	1	1	5	15	3				12	65	hit-skill	Chain Lightning	5	5	extra-ltng		1	1							1hsw	2hsw	miss								0	0	0	452
of Chain Lightning	100	1	1	15	35	12				12	65	hit-skill	Chain Lightning	5	10	extra-ltng		1	2							1hsw	2hsw	miss								0	0	0	453
of Chain Lightning	100	1	1	25	60	24				10	65	hit-skill	Chain Lightning	5	15	extra-ltng		2	2							1hsw	2hsw	miss								0	0	0	454
of Chain Lightning	100	1	1	45	95	42				10	65	hit-skill	Chain Lightning	5	25	extra-ltng		2	3							1hsw	2hsw	miss								0	0	0	455
of Chain Lightning	100	1	1	80	95	60				8	65	hit-skill	Chain Lightning	5	35	extra-ltng		3	3							1hsw	2hsw	miss								0	0	0	456
of Chain Lightning	100	1	1	95		66				8	65	hit-skill	Chain Lightning	5	50	extra-ltng		3	4							1hsw	2hsw	miss								0	0	0	457
of Chain Lightning	100	1	1	95		66				6	65	hit-skill	Chain Lightning	5	60	extra-ltng		4	6							1hsw	2hsw	miss								0	0	0	458
																																							459
of Plasma Rain	100	1	1	5	15	3				12	65	hit-skill	Pole Arm Mastery	5	5	extra-ltng		1	1							1hsw	2hsw	miss								0	0	0	460
of Plasma Rain	100	1	1	15	35	12				12	65	hit-skill	Pole Arm Mastery	5	10	extra-ltng		1	2							1hsw	2hsw	miss								0	0	0	461
of Plasma Rain	100	1	1	25	60	24				10	65	hit-skill	Pole Arm Mastery	5	15	extra-ltng		2	2							1hsw	2hsw	miss								0	0	0	462
of Plasma Rain	100	1	1	45	95	42				10	65	hit-skill	Pole Arm Mastery	5	25	extra-ltng		2	3							1hsw	2hsw	miss								0	0	0	463
of Plasma Rain	100	1	1	80	95	60				8	65	hit-skill	Pole Arm Mastery	5	35	extra-ltng		3	3							1hsw	2hsw	miss								0	0	0	464
of Plasma Rain	100	1	1	95		66				8	65	hit-skill	Pole Arm Mastery	5	50	extra-ltng		3	4							1hsw	2hsw	miss								0	0	0	465
of Plasma Rain	100	1	1	95		66				6	65	hit-skill	Pole Arm Mastery	5	60	extra-ltng		4	6							1hsw	2hsw	miss								0	0	0	466
																																							467
of Ice Fangs	100	1	1	5	15	3				12	65	hit-skill	STeeth	5	5	extra-cold		1	1							1hsw	2hsw	miss								0	0	0	468
of Ice Fangs	100	1	1	15	35	12				12	65	hit-skill	STeeth	5	10	extra-cold		1	2							1hsw	2hsw	miss								0	0	0	469
of Ice Fangs	100	1	1	25	60	24				10	65	hit-skill	STeeth	5	15	extra-cold		2	2							1hsw	2hsw	miss								0	0	0	470
of Ice Fangs	100	1	1	45	95	42				10	65	hit-skill	STeeth	5	25	extra-cold		2	3							1hsw	2hsw	miss								0	0	0	471
of Ice Fangs	100	1	1	80	95	60				8	65	hit-skill	STeeth	5	35	extra-cold		3	3							1hsw	2hsw	miss								0	0	0	472
of Ice Fangs	100	1	1	95		66				8	65	hit-skill	STeeth	5	50	extra-cold		3	4							1hsw	2hsw	miss								0	0	0	473
of Ice Fangs	100	1	1	95		66				6	65	hit-skill	STeeth	5	60	extra-cold		4	6							1hsw	2hsw	miss								0	0	0	474
																																							475
of Blizzard	100	1	1	5	15	3				12	65	hit-skill	ctcBlizzard	5	5	extra-cold		1	1							1hsw	2hsw	miss								0	0	0	476
of Blizzard	100	1	1	15	35	12				12	65	hit-skill	ctcBlizzard	5	10	extra-cold		1	2							1hsw	2hsw	miss								0	0	0	477
of Blizzard	100	1	1	25	60	24				10	65	hit-skill	ctcBlizzard	5	15	extra-cold		2	2							1hsw	2hsw	miss								0	0	0	478
of Blizzard	100	1	1	45	95	42				10	65	hit-skill	ctcBlizzard	5	25	extra-cold		2	3							1hsw	2hsw	miss								0	0	0	479
of Blizzard	100	1	1	80	95	60				8	65	hit-skill	ctcBlizzard	5	35	extra-cold		3	3							1hsw	2hsw	miss								0	0	0	480
of Blizzard	100	1	1	95		66				8	65	hit-skill	ctcBlizzard	5	50	extra-cold		3	4							1hsw	2hsw	miss								0	0	0	481
of Blizzard	100	1	1	95		66				6	65	hit-skill	ctcBlizzard	5	60	extra-cold		4	6							1hsw	2hsw	miss								0	0	0	482
																																							483
of Poison Nova	100	1	1	5	15	3				12	65	hit-skill	Poison Nova	5	5	extra-pois		1	1							1hsw	2hsw	miss								0	0	0	484
of Poison Nova	100	1	1	15	35	12				12	65	hit-skill	Poison Nova	5	10	extra-pois		1	2							1hsw	2hsw	miss								0	0	0	485
of Poison Nova	100	1	1	25	60	24				10	65	hit-skill	Poison Nova	5	15	extra-pois		2	2							1hsw	2hsw	miss								0	0	0	486
of Poison Nova	100	1	1	45	95	42				10	65	hit-skill	Poison Nova	5	25	extra-pois		2	3							1hsw	2hsw	miss								0	0	0	487
of Poison Nova	100	1	1	80	95	60				8	65	hit-skill	Poison Nova	5	35	extra-pois		3	3							1hsw	2hsw	miss								0	0	0	488
of Poison Nova	100	1	1	95		66				8	65	hit-skill	Poison Nova	5	50	extra-pois		3	4							1hsw	2hsw	miss								0	0	0	489
of Poison Nova	100	1	1	95		66				6	65	hit-skill	Poison Nova	5	60	extra-pois		4	6							1hsw	2hsw	miss								0	0	0	490
																																							491
of Earth Spikes	100	1	1	5	15	3				12	65	hit-skill	Eruption	5	5	extra-mag2		1	1							1hsw	2hsw	miss								0	0	0	492
of Earth Spikes	100	1	1	15	35	12				12	65	hit-skill	Eruption	5	10	extra-mag2		1	2							1hsw	2hsw	miss								0	0	0	493
of Earth Spikes	100	1	1	25	60	24				10	65	hit-skill	Eruption	5	15	extra-mag2		2	2							1hsw	2hsw	miss								0	0	0	494
of Earth Spikes	100	1	1	45	95	42				10	65	hit-skill	Eruption	5	25	extra-mag2		2	3							1hsw	2hsw	miss								0	0	0	495
of Earth Spikes	100	1	1	80	95	60				8	65	hit-skill	Eruption	5	35	extra-mag2		3	3							1hsw	2hsw	miss								0	0	0	496
of Earth Spikes	100	1	1	95		66				8	65	hit-skill	Eruption	5	50	extra-mag2		3	4							1hsw	2hsw	miss								0	0	0	497
of Earth Spikes	100	1	1	95		66				6	65	hit-skill	Eruption	5	60	extra-mag2		4	6							1hsw	2hsw	miss								0	0	0	498
																																							499
of Restoration	100	1	1	5	15	3				28	66	regen		10	15	hp/lvl	2									1hcw	2hcw									0	0	0	500
of Restoration	100	1	1	15	35	12				28	66	regen		16	20	hp/lvl	2									1hcw	2hcw									0	0	0	501
of Restoration	100	1	1	25	60	24				26	66	regen		21	25	hp/lvl	2									1hcw	2hcw									0	0	0	502
of Restoration	100	1	1	25		24				26	66	regen		21	25	hp/lvl	2									1hcw										0	0	0	503
of Reinvigorate	100	1	1	45		42				24	66	regen		26	30	hp/lvl	2									1hcw										0	0	0	504
of Reinvigorate	100	1	1	45	95	42				24	66	regen		26	30	hp/lvl	2									2hcw										0	0	0	505
of Reinvigorate	100	1	1	80		60				22	66	regen		31	35	hp/lvl	3									2hcw										0	0	0	506
of Reinvigorate	100	1	1	95		66				20	66	regen		36	40	hp/lvl	3									2hcw										0	0	0	507
																																							508
of Rejuvenation	100	1	1	5	15	3				28	67	regen-mana		10	15	mana/lvl	3									1hcw	2hcw									0	0	0	509
of Rejuvenation	100	1	1	15	35	12				28	67	regen-mana		16	20	mana/lvl	3									1hcw	2hcw									0	0	0	510
of Rejuvenation	100	1	1	25	60	24				26	67	regen-mana		21	25	mana/lvl	3									1hcw	2hcw									0	0	0	511
of Rejuvenation	100	1	1	25		24				26	67	regen-mana		21	25	mana/lvl	3									1hcw										0	0	0	512
of Resurgence	100	1	1	45		42				24	67	regen-mana		26	30	mana/lvl	3									1hcw										0	0	0	513
of Resurgence	100	1	1	45	95	42				24	67	regen-mana		26	30	mana/lvl	3									2hcw										0	0	0	514
of Resurgence	100	1	1	80		60				22	67	regen-mana		31	35	mana/lvl	4									2hcw										0	0	0	515
of Resurgence	100	1	1	95		66				20	67	regen-mana		36	40	mana/lvl	4									2hcw										0	0	0	516
																																							517
of Conviction	100	1	1	20	60	18				15	68	allskills		1	1											knfc										0	0	0	518
of Conviction	100	1	1	60	95	48				13	68	allskills		1	1											knfc										0	0	0	519
of Doctrine	100	1	1	80		60				13	68	allskills		1	2											knfc										0	0	0	520
of Doctrine	100	1	1	95		66				11	68	allskills		2	2											knfc										0	0	0	521
																																							522
of Law	100	1	1	20	60	18				15	68	allskills		1	1											stfc										0	0	0	523
of Law	100	1	1	60	95	48				13	68	allskills		1	2											stfc										0	0	0	524
of Ideology	100	1	1	80		60				13	68	allskills		2	2											stfc										0	0	0	525
of Ideology	100	1	1	95		66				11	68	allskills		2	3											stfc										0	0	0	526
																																							527
of Aeons	100	1	1	20	60	18				2	69	indestruct				ease		5	10	dmg%		10	20			1hsw	2hsw									0	0	0	528
of Aeons	100	1	1	60	95	48				2	69	indestruct				ease		11	15	dmg%		20	30			1hsw	2hsw									0	0	0	529
of the Dullahan	100	1	1	80		60				2	69	indestruct				ease		16	20	dmg%		30	40			1hsw	2hsw									0	0	0	530
of the Dullahan	100	1	1	95		66				2	69	indestruct				ease		21	25	dmg%		40	50			1hsw	2hsw									0	0	0	531
																																							532
of Callisto	100	1	1	1	10	1				20	300	str		1	3											amul	ring									0	0	0	533
of Callisto	100	1	1	5	15	3				20	300	str		2	5											amul	ring									0	0	0	534
of Callisto	100	1	1	10	20	6				20	300	str		3	7											amul	ring									0	0	0	535
of Jambavan	100	1	1	15	35	12				20	300	str		4	9											amul	ring									0	0	0	536
of Jambavan	100	1	1	20	45	18				20	300	str		5	11											amul	ring									0	0	0	537
of Jambavan	100	1	1	25	60	24				20	300	str		6	13											amul	ring									0	0	0	538
of Otso	100	1	1	35	80	33				20	300	str		7	15											amul	ring									0	0	0	539
of Otso	100	1	1	45	95	42				20	300	str		8	17											amul	ring									0	0	0	541
of Otso	100	1	1	60		48				18	300	str		9	19											ring										0	0	0	543
of Otso	100	1	1	60	95	48				18	300	str		9	19											amul										0	0	0	543
of Ayula	100	1	1	80		60				16	300	str		10	21											ring										0	0	0	544
of Ayula	100	1	1	80	95	60				16	300	str		10	21											amul										0	0	0	544
of Ayula	100	1	1	95		66				14	300	str		11	23											amul										0	0	0	545
of the Onikuma	100	1	1	95		66				12	300	str		12	25											amul										0	0	0	546
																																							547
of Orthrus	100	1	1	1	10	1				20	301	dex		1	3											amul	ring									0	0	0	548
of Orthrus	100	1	1	5	15	3				20	301	dex		2	5											amul	ring									0	0	0	549
of Orthrus	100	1	1	10	20	6				20	301	dex		3	7											amul	ring									0	0	0	550
of Asena	100	1	1	15	35	12				20	301	dex		4	9											amul	ring									0	0	0	551
of Asena	100	1	1	20	45	18				20	301	dex		5	11											amul	ring									0	0	0	552
of Asena	100	1	1	25	60	24				20	301	dex		6	13											amul	ring									0	0	0	553
of Cerebus	100	1	1	35	80	33				20	301	dex		7	15											amul	ring									0	0	0	554
of Cerebus	100	1	1	35	95	33				20	301	dex		8	17											amul	ring									0	0	0	555
of Cerebus	100	1	1	45		42				20	301	dex		9	19											ring										0	0	0	556
of Cerebus	100	1	1	45	95	42				20	301	dex		9	19											amul										0	0	0	557
of the Chupacabra	100	1	1	80		60				16	301	dex		10	21											ring										0	0	0	559
of the Chupacabra	100	1	1	80	95	60				16	301	dex		10	21											amul										0	0	0	559
of the Chupacabra	100	1	1	95		66				14	301	dex		11	23											amul										0	0	0	560
of Fenrir	100	1	1	95		66				12	301	dex		12	25											amul										0	0	0	561
																																							562
of the Griffin	100	1	1	1	10	1				20	302	enr		1	3											amul	ring									0	0	0	563
of the Griffin	100	1	1	5	15	3				20	302	enr		2	5											amul	ring									0	0	0	564
of the Griffin	100	1	1	10	20	6				20	302	enr		3	7											amul	ring									0	0	0	565
of the Salmon	100	1	1	15	35	12				20	302	enr		4	9											amul	ring									0	0	0	566
of the Salmon	100	1	1	20	45	18				20	302	enr		5	11											amul	ring									0	0	0	567
of the Salmon	100	1	1	25	60	24				20	302	enr		6	13											amul	ring									0	0	0	568
of the Sphinx	100	1	1	35	80	33				20	302	enr		7	15											amul	ring									0	0	0	569
of the Sphinx	100	1	1	35	95	33				20	302	enr		8	17											amul	ring									0	0	0	570
of the Sphinx	100	1	1	45		42				20	302	enr		9	19											ring										0	0	0	571
of the Sphinx	100	1	1	45	95	42				20	302	enr		9	19											amul										0	0	0	572
of Baize	100	1	1	80		60				16	302	enr		10	21											ring										0	0	0	574
of Baize	100	1	1	80	95	60				16	302	enr		10	21											amul										0	0	0	574
of Baize	100	1	1	95		66				14	302	enr		11	23											amul										0	0	0	575
of Athena	100	1	1	95		66				12	302	enr		12	25											amul										0	0	0	576
																																							577
of the Faun	100	1	1	1	10	1				20	303	vit		1	3											amul	ring									0	0	0	578
of the Faun	100	1	1	5	15	3				20	303	vit		2	5											amul	ring									0	0	0	579
of the Faun	100	1	1	10	20	6				20	303	vit		3	7											amul	ring									0	0	0	580
of the Nymph	100	1	1	15	35	12				20	303	vit		4	9											amul	ring									0	0	0	581
of the Nymph	100	1	1	20	45	18				20	303	vit		5	11											amul	ring									0	0	0	582
of the Nymph	100	1	1	25	60	24				20	303	vit		6	13											amul	ring									0	0	0	583
of the Satyr	100	1	1	35	80	33				20	303	vit		7	15											amul	ring									0	0	0	584
of the Satyr	100	1	1	35	95	33				20	303	vit		8	17											amul	ring									0	0	0	585
of the Satyr	100	1	1	45		42				20	303	vit		9	19											ring										0	0	0	586
of the Satyr	100	1	1	45	95	42				20	303	vit		9	19											amul										0	0	0	587
of the Incubus	100	1	1	80		60				16	303	vit		10	21											ring										0	0	0	589
of the Incubus	100	1	1	80	95	60				16	303	vit		10	21											amul										0	0	0	589
of the Incubus	100	1	1	95		66				14	303	vit		11	23											amul										0	0	0	590
of the Succubus	100	1	1	95		66				12	303	vit		12	25											amul										0	0	0	591
																																							592
of Steadiness 	100	1	1	5	15	3				28	304	balance1		6	10											amul	ring									0	0	0	593
of Steadiness	100	1	1	15	35	12				28	304	balance1		8	12											amul	ring									0	0	0	594
of Steadiness	100	1	1	25	60	24				26	304	balance2		10	14											amul	ring									0	0	0	595
of Composure	100	1	1	45	95	42				24	304	balance2		12	16											amul	ring									0	0	0	596
of Composure	100	1	1	80		60				22	304	balance3		14	18											amul	ring									0	0	0	597
of Composure	100	1	1	95		66				20	304	balance3		16	20											amul	ring									0	0	0	598
																																							599
of Speed	100	1	1	5	15	3				28	305	swing1		6	10											amul	ring									0	0	0	600
of Speed	100	1	1	15	35	12				28	305	swing1		8	12											amul	ring									0	0	0	601
of Speed	100	1	1	25	60	24				26	305	swing2		10	14											amul	ring									0	0	0	602
of Celerity	100	1	1	45	95	42				24	305	swing2		12	16											amul	ring									0	0	0	603
of Celerity	100	1	1	80		60				22	305	swing2		14	18											amul	ring									0	0	0	604
of Celerity	100	1	1	95		66				20	305	swing2		16	20											amul	ring									0	0	0	605
																																							606
of Intelligence	100	1	1	5	15	3				28	305	cast1		6	10											amul	ring									0	0	0	607
