skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	item proc text	item proc descline count	*eol
raise skeleton	3	1	3	3	8		skillname70	skillsd70	raiseskeleton3	skillan70																	36	StrSkill3		usmc	256	36	StrSkill94	StrSkill44	pets		5	StrSkill208		clc4		74	physdamagemin		pnma*(100+ast1)/100		74	StrSkillDefense		clc3		13	StrSkill42		clc1																											40	Sksyn	skillname70	2		76	Hpplev	StrSkill203	skill('Skeleton Mastery'.par1)		76	Defplev	StrSkill203	skill('Skeleton Mastery'.par5)		76	Damplev	StrSkill203	skill('Skeleton Mastery'.par2)		76	AttRateplev	StrSkill203	skill('Skeleton Mastery'.par6)		18	skillname69				18	skillname89						0
dim vision	1	2	2	1	10		skillname71	skillsd71	dimvision3	skillan71																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	3	poisonMasteryMag	StrSkill23	ast1																	36	StrSkill3		usmc	256						74	StrAttackRating		ast1												40	Sksyn	skillname71	2		76	Secplev2	skillname72	par8/25		76	Secplev2	skillname87	par8/25		76	Secplev2	skillname91	par8/25																			0
weaken	1	1	1	1	12		skillname72	weaken3	weaken3	skillan72																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill38		ast1		74	StrSkill37		ast2												36	StrSkill3		usmc	256																					40	Sksyn	skillname72	2		76	Secplev2	skillname71	par8/25		76	Damplev	skillname71	-par7																								0
poison dagger	2	1	2	2	14		poisonDagger1	poisonDagger2	poisonDagger2	poisonDagger1	5												1				36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht																																										40	Sksyn	skillname73	2		76	Poisdplev	skillname83	par8		76	Poisdplev	skillname92	par8																			0
corpse explosion	2	4	2	2	16		skillname74	skillld74	skillld74	skillan74																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln34	3	75	StrSkill46		clc1	clc2																74	phystomagicdesc		min(100,skill('Poison Mastery'.blvl))*5)																						40	Sksyn	skillname74	2		76	phystomagic	Skillname372	5		76	corpseexplosionmagicsynergy	frozenspear1	par8		76	corpseexplosionmagicsynergy	skillname93	par8		76	corpseexplosionmagicsynergy	Skillname374	par8														0
clay golem	3	2	2	3	18		skillname75	claygolem23	claygolem23	skillan75																	36	StrSkill3		usmc	256	74	maxgolems		pets		5	StrSkill208		(100+pst2)*(100+pst6)/100		74	physdamagemin		pnma*(100+pst4)/100		74	StrSkillDefense		(150+pst3)*(100+pst7)/100		13	StrSkill42		clc1		74	Cgslow		ast1		18	maxgolemsdesc																			40	Sksyn	skillname75	2		76	Hpplev	skillname85	skill('BloodGolem'.par8)		76	Defplev	skillname90	skill('IronGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)		18	skillname79				18	skillname89											0
iron maiden	1	3	1	1	20		skillname76	skillsd76	skillld76	skillan76																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill55		clc1		36	StrSkillRadiusSingular	StrSkill18	rng*2	3																36	StrSkill3		usmc	256																					40	Sksyn	skillname76	2		76	Secplev2	skillname66	par8/25		76	Secplev2	skillname87	par8/25		76	Secplev2	skillname82	par8/25		76	Damplev	skillname66	par7		76	Damplev	skillname87	par7		76	Damplev	skillname82	par7				0
terror	1	1	3	1	22		skillname77	skillsd77	terror3	skillan77																	36	StrSkillDurationSingular	StrSkill20	len	25	3	StrSkill180	StrSkill23	ast2																						36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill151		ast1												40	Sksyn	skillname77	2		76	Secplev2	skillname81	par8/25		76	Secplev2	skillname86	par8/25		76	Secplev2	skillname87	par8/25																			0
bone wall	2	2	3	2	24		skillname78	skillld78	skillld78	skillan78																	13	StrSkill42		(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Prison'.blvl)+skill('Bone Spirit'.blvl)+skill('Teeth'.blvl))*par8)																											36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	par2	25																40	Sksyn	skillname78	2		76	Hpplev	skillname68	par8		76	Hpplev	skillname88	par8		76	Hpplev	skillname93	par8		76	Hpplev	bonewave1	par8														0
golem mastery	3	3	1	3	26		skillname79	skillld79	skillld79	skillan79																	74	StrSkill106		ln34/2		74	StrSkill89		ln34		74	StrSkillAttackRating		ln56		74	StrSkillLifePercent		ln12																																																																										0
raise skeletal mage	3	3	3	3	28		skillname80	skillsd80	raiseskeletalmage3	skillan80																	36	StrSkill3		usmc	256	36	StrSkill43a	StrSkill44a	pets		5	StrSkill202		clc2		74	StrSkillDefense		clc3		13	StrSkill42		clc1																																40	Sksyn	skillname80	2		76	Hpplev	StrSkill251	skill('Skeleton Mastery'.par1)		76	Defplev	StrSkill251	skill('Skeleton Mastery'.par5)		76	Damplev	StrSkill251	skill('Skeleton Mastery'.par2)		18	skillname69				18	skillname89											0
confuse	1	2	3	1	30		skillname81	skillsd81	confuse3	skillan81																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	3	poisonMasteryPois	StrSkill23	ast1																	36	StrSkill3		usmc	256																					40	Sksyn	skillname81	2		76	Secplev2	skillname77	par8/25		76	Secplev2	skillname86	par8/25		76	Secplev2	skillname87	par8/25																			0
life tap	1	5	1	1	32		skillname82	skillsd82	skillld82	skillan82																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill79		ln56																	36	StrSkill3		usmc	256																					40	Sksyn	skillname82	2		76	Secplev2	skillname66	par8/25		76	Secplev2	skillname76	par8/25		76	Secplev2	skillname87	par8/25		63	StrEach	Stplev	par7		63	skillname85	Stplev	par7									0
poison explosion	2	2	2	2	34		skillname83	skillld83	skillld83	skillan83	5																36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256																					36	StrSkill3		usmc	256																										40	Sksyn	skillname83	2		76	Poisdplev	skillname73	par8		76	Poisdplev	skillname92	par8		76	Poisdplev	skillname74	par8														0
frozenspear	2	3	1	2	36		frozenspear1	frozenspear2	frozenspear3	frozenspear1	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																																														40	Sksyn	frozenspear1	2		76	Magdplev	skillname93	par8		76	Magdplev	skillname68	par8		76	Magdplev	Skillname374	par8																			0
bloodgolem	3	3	2	3	38		skillname85	bloodgolem23	bloodgolem23	skillan85																	36	StrSkill3		usmc	256	74	maxgolems		pets		5	StrSkill208		(100+pst2)*(100+pst6)/100		74	physdamagemin		pnma*(100+pst4)/100		74	StrSkillDefense		(150+pst3)*(100+pst7)/100		13	StrSkill42		clc1		36	lifetapgolemduration	lifetapgolemduration	100+lvl*5	25	36	lifetapgolemsteal	lifetapgolemsteal	(75+lvl*25/8)	25	18	maxgolemsdesc														40	Sksyn	skillname85	2		76	AttRateplev	skillname75	skill('Clay Golem'.par8)		76	Defplev	skillname90	skill('IronGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)		18	skillname79				18	skillname89											0
attract	1	3	3	1	40		skillname86	skillsd86	skillxld86	skillan86																	36	StrSkillDurationSingular	StrSkill20	len	25																										36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																40	Sksyn	skillname86	2		76	Secplev2	skillname77	par8/25		76	Secplev2	skillname81	par8/25		76	Secplev2	skillname87	par8/25																			0
decrepify	1	4	2	1	42		skillname87	skillsd87	skillld87	skillan87																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill37		ast4																	36	StrSkill3		usmc	256	74	StrSkill38		ast3		36	Cgslow		-ast1												40	Sksyn	skillname87	2		76	Secplev2	skillname66	par8/25		76	Secplev2	skillname72	par8/25		76	Secplev2	skillname91	par8/25																			0
bone prison	2	4	3	2	44		skillname88	skillld88	skillld88	skillan88																	36	StrSkill3		"max(usmc, 1)"	256	13	StrSkill42		(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl)+skill('Bone Spirit'.blvl)+skill('Teeth'.blvl))*par8)																						36	StrSkillDurationSingular	StrSkill20	par2	25																					40	Sksyn	skillname88	2		76	Hpplev	skillname68	par8		76	Hpplev	skillname78	par8		76	Hpplev	skillname93	par8		76	Hpplev	bonewave1	par8														0
summon resist	3	5	1	3	46		skillname89	skillld89	skillld89	skillan89																	74	StrSkill54		pst1																																																																																									0
irongolem	3	4	2	3	48		skillname90	irongolem23	irongolem23	skillan90																	36	StrSkill3		usmc	256	74	maxgolems		pets		74	magicandphysicalresist		pst3		5	StrSkill208		(100+pst2)*(100+pst6)/100		74	physdamagemin		pnma*(100+pst4)/100		13	StrSkill42		clc1		74	physicaldamagereturnedflat		pst7		74	lightningdamagereturnedflat		pst8		18	maxgolemsdesc														40	Sksyn	skillname90	2		76	AttRateplev	skillname75	skill('Clay Golem'.par8)		76	Hpplev	skillname85	skill('BloodGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)		18	skillname79				18	skillname89											0
lower resist	1	6	2	1	50		skillname91	skillsd91	skillld91	skillan91																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	3	StrSkill180	StrSkill23	ast1		3	poisonMasteryPois	StrSkill23	ast4		3	poisonMasteryMag	StrSkill23	ast5							36	StrSkill3		usmc	256																					40	Sksyn	skillname91	2		76	Secplev2	skillname71	par8/25		76	Secplev2	skillname87	par8/25		63	skillname89	ResFCLplev	-par7		63	Skillname372	Respmplev	-3														0
poison nova	2	6	2	2	52		skillname92	skillld92	skillld92	skillan92	5																36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256																					36	StrSkill3		usmc	256																										40	Sksyn	skillname92	2		76	Poisdplev	skillname73	par8		76	Poisdplev	skillname83	par8																			0
bone spirit	2	5	1	2	54	52	skillname93	skillld93	skillld93	skillan93	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																																														40	Sksyn	skillname93	2		76	Magdplev	skillname78	par8		76	Magdplev	frozenspear1	par8		76	Magdplev	bonewave1	par8		76	Magdplev	skillname88	par8		76	Magdplev	Skillname374	par8		76	Magdplev	skillname68	par8				0
firegolem	3	5	2	3	56		skillname94	firegolem23	firegolem23	skillan94																	36	StrSkill3		usmc	256	74	maxgolems		pets		5	StrSkill208		(100+pst2)*(100+pst6)/100		74	physdamagemin		pnma*(100+pst4)/100		74	StrSkillDefense		(150+pst3)*(100+pst7)/100		13	StrSkill42		clc1		18	maxgolemsdescfire																								40	Sksyn	skillname94	2		76	AttRateplev	skillname75	skill('Clay Golem'.par8)		76	Hpplev	skillname85	skill('BloodGolem'.par8)		76	Defplev	skillname90	skill('IronGolem'.par8)		18	skillname69				18	skillname89											0
summon skeleton king	3	6	3	3	58		summonskeletonking1	summonskeletonking2	summonskeletonking3	summonskeletonking1																	36	StrSkill3		usmc	256	5	StrSkill208		clc4		74	physdamagemin		pnma*(100+ast1)/100		74	StrSkillDefense		clc3		13	StrSkill42		clc1							36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25										25											40	Sksyn	summonskeletonking1	2		18	skillname69				18	skillname89																										0
sacrifice	1	5	1	1	0		skillname96	skillld96	skillld96	skillan96	7	clc1											1				74	StrSkillDamagePercent		ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7		74	StrSkill22		toht																						74	StrSkill47		par3																						40	Sksyn	skillname96	2		76	Damplev	skillname106	par7		76	Damplev	skillname111	par7		76	Damplev	crucify1	par7		76	Damplev	skillname124	par8														0
smite	1	1	3	1	2		skillname97	skillld97	skillld97	skillan97	10																36	StrSkillStunLengthSingular	StrSkill48	"min(250,ln12)"	25	74	StrSkillDamagePercent		clc1																						36	StrSkill3		usmc	256																					40	Sksyn	skillname97	2		76	Damplev	skillname106	par8		76	Damplev	crucify1	par8		76	Damplev	skillname111	par8		76	Damplev	judgement1	par8														0
might	2	4	1	2	4	11	skillname98	skillld98	skillld98	skillan98																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkillDamagePercent		ln34																																															40	Sksyn	skillname98	2		76	Damplev	judgement1	par8		76	Damplev	crucify1	par8																								0
prayer	3	1	1	3	6	6	skillname99	skillld99	skillld99	skillan99																	36	StrSkill34		usmc	256	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkillHealFlat		ast1/256																																										40	Sksyn	skillname99	2		76	Healplev2	skillname101	par8		76	Healplev2	skillname121	par8		76	Healplev2	skillname124	par8																			0
resist fire	3	1	3	3	8	58	skillname100	skillld100	skillld100	skillan100																	74	ModStr2uPercent		ast3		74	StrSkill188		ast1		74	ModitemdamFiresk		ast4		36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	ModStr1j		ast5							74	ModStr5ub		pst1		74	ModStr5u		ast2																	40	Sksyn	skillname100	2		63	skillname125	Fabsplev	par8																													0
holy bolt	1	2	2	1	10		skillname101	skillld101	skillld101	skillan101	5																36	StrSkill3		usmc	256	75	StrSkill50		clc1	clc2	75	StrSkill39		enma	exma																7	StrSkill205		clc1		18	StrSkill291																			40	Sksyn	skillname101	2		76	Magdplev	skillname112	par8		76	Magdplev	skillname121	par8		76	Magdplev	skillname119	par8																			0
holy fire	2	3	3	2	12	37	skillname102	skillld102	skillld102	skillan102	5																36	StrSkillRadiusSingular	StrSkill18	rng*2	3	75	StrSkill5		enma	exma	75	StrSkillFireDamageToYourAttack		pst1	pst2																																									40	Sksyn	skillname102	2		76	Firedplev	skillname100	par8*2		76	Firedplev	skillname125	par8		76	Firedplev	skillname111	par8																			0
thorns	2	2	1	2	14	9	skillname103	thorns23	thorns23	skillan103																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill55		ast1		74	thornsdamage		ast2																																										40	Sksyn	skillname103	2		76	thornsdamagereturnsynergy	skillname115	par8		76	thornsdamagereturnsynergy	skillname123	par8		76	thornsdamagereturnsynergy	crucify1	par8																			0
defiance	3	2	2	3	16	7	skillname104	skillld104	skillld104	skillan104																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill21		ast1																																															40	Sksyn	skillname104	2		76	Defplev	skillname100	par8		76	Defplev	skillname105	par8		76	Defplev	skillname110	par8		76	Defplev	holyArmor1	par7														0
resist cold	3	2	3	3	18	59	skillname105	skillld105	skillld105	skillan105																	74	ModStr2uPercent		ast3		74	StrSkill189		ast1		74	ModitemdamColdsk		ast4		36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	ModStr1k		ast6							74	ModStr5vb		pst1		74	ModStr5v		ast2																	40	Sksyn	skillname105	2		63	skillname125	Cabsplev	par8																													0
zeal	1	1	1	1	20		skillname106	skillld106	skillld106	skillan106	7	clc2											2				36	StrSkill3		usmc	256	74	StrSkill11		clc1		74	StrSkill22		toht																	74	WeapDamsk		75		74	furyenemieshit		4		74	additionalhitsperleveldesc		20												40	Sksyn	skillname106	2		76	AttRateplev	judgement1	par8		76	AttRateplev	skillname111	par8		76	AttRateplev	crucify1	par8																			0
charge	1	3	3	1	22		skillname107	skillld107	skillld107	skillan107	7	clc1											2				74	StrSkillDamagePercent		clc1		74	StrSkill22		toht																						36	StrSkill3		usmc	256																					40	Sksyn	skillname107	2		76	Damplev	skillname108	par8		76	Damplev	skillname98	par8		76	Damplev	skillname115	par8																			0
blessed aim	2	1	2	2	24	8	skillname108	blessedaim23	blessedaim23	skillan108																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill106		ast2		74	StrSkill154		ast1																																										40	Sksyn	skillname108	2		63	skillname98	CBplev	par8																													0
cleansing	3	3	1	3	38		skillname109	skillld109	skillld109	skillan109																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill184		ast2		74	StrSkill183		ast1																																																																															0
resist lightning	3	3	3	3	28	60	skillname110	skillld110	skillld110	skillan110																	74	ModStr2uPercent		ast3		74	StrSkill190		ast1		74	ModitemdamLtngsk		ast4		36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	ModStr1l		ast5							74	ModStr5wb		pst1		74	ModStr5w		ast2																	40	Sksyn	skillname110	2		63	skillname125	Labsplev	par8																													0
vengeance	1	4	1	1	40	36	skillname111	vengeance2	vengeance3	skillname111	5												1				36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	74	phystoelemdesc		min(90,49+lvl)		74	StrSkill22		toht		75	StrSkill6		enma	exma						74	weapondamagevengeance		50		18	vengeancecold																			40	Sksyn	skillname111	2		76	Colddplev	skillname106	par8		76	Colddplev	crucify1	par8		76	Colddplev	judgement1	par8																			0
blessed hammer	1	4	2	1	32		skillname112	skillld112	skillld112	skillan112	12																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																					74	StrSkillDamageToUndead		100		74	StrSkillDamageToDemons		100																	40	Sksyn	skillname112	2		76	Magdplev	skillname101	par8		76	Magdplev	skillname119	par8		76	Magdplev	skillname121	par8																			0
concentration	2	4	2	2	34	42	skillname113	skillld113	skillld113	skillan113																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkillDamagePercent		ast1		74	StrSkill76		ast2																																										40	Sksyn	skillname113	2		76	Damplev	skillname108	par8		76	Damplev	skillname107	par8		76	Damplev	skillname98	par8																			0
holy freeze	2	4	3	2	36	10	skillname114	skillld114	skillld114	skillan114	5																36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill77		dm34		75	StrSkill6		enma	exma	75	StrSkillColdDamageToYourAttack		pst1	pst2																																				40	Sksyn	skillname114	2		76	Colddplev	skillname105	par8*2		76	Colddplev	skillname111	par8		76	Colddplev	skillname125	par8																			0
vigor	3	4	2	3	26		skillname115	skillld115	vigorlong3	skillan115																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3						74	StrSkill102		ln34		74	StrSkill89		dm56		74	StrSkill100		ast4		74	vigormf		ast5																											40	Sksyn	skillname115	2		76	Hpplev	skillname99	1		76	Hpplev	skillname109	1																								0
conversion	1	5	1	1	30		hypnoblast1	hypnoblast2	hypnoblast3	hypnoblast1	5																74	StrSkill99		dm34																											36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	ln12	25																40	Sksyn	hypnoblast1	2		76	Damplev	skillname119	par8		76	Damplev	skillname109	par8		76	Damplev	skillname121	par8																			0
holy shield	1	4	3	1	42		holyArmor1	holyArmor2	holyArmor3	holyArmor1																	36	StrSkillDurationSingular	StrSkill20	ln12	25	74	StrSkill110		dm56		74	holyarmordefense		pst1		75	StrSkillSmiteDamage		pnma	pxma											36	StrSkill3		usmc	256																					40	Sksyn	holyArmor1	2		76	holyArmorDefianceSynergy	skillname104	2		76	holyArmorSanctuarySy	skillname119	1		76	allelementalresistances	skillname125	3		76	smitedamagesynergy	skillname97	par7														0
holy shock	2	5	3	2	44		skillname118	skillxld118	skillxld118	skillan118	5																36	StrSkillRadiusSingular	StrSkill18	rng*2	3	75	StrSkill7		enma	exma	75	strEskilllighttoattack		pst1	pst2																																									40	Sksyn	skillname118	2		76	Ltngdplev	skillname110	par8*2		76	Ltngdplev	skillname111	par8		76	Ltngdplev	skillname125	par8																			0
sanctuary	2	1	1	2	46		skillname119	sanctuary23	sanctuary23	skillan119	5																36	StrSkillRadiusSingular	StrSkill18	rng*2	3	75	StrSkill39		enma	exma	74	sanctuaryphysicaldamagebonus		pst1																																										40	Sksyn	skillname119	2		63	skillname98	DamDUplev	par7		63	skillname122	DamDUplev	par7		76	Magdplev	skillname109	par8		76	Magdplev	skillname101	par8		76	Magdplev	skillname112	par8		76	Magdplev	skillname121	par8				0
meditation	3	5	1	3	48	38	skillname120	skillld120	skillld120	skillan120																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	fcrskill		ast2		74	StrSkill88		ast1																																										40	Sksyn	skillname120	2		63	skillname124	Regplev	par7																													0
fist of the heavens	1	6	2	1	50		skillname121	skillld121	skillld121	skillan121	5													fistoftheheavensbolt			75	holyBoltLightningDamage		m1en	m1ex	75	StrSkill7		enma	exma																					36	StrSkill3		usmc	256	36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																40	Sksyn	skillname121	2		76	Hbdplev	skillname101	par8		76	Hbdplev	skillname112	par8		76	Hbdplev	skillname118	par8		76	Ltngdplev	skillname101	par8		76	Ltngdplev	skillname112	par8		76	Ltngdplev	skillname118	par8				0
fanaticism	2	6	1	2	52	39	skillname122	skillxld122	skillxld122	skillan122																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill106		dm34		74	PartDam		ln56/2		74	FanYDam		ln56		74	StrSkill22		toht																																40	Sksyn	skillname122	2		76	Damplev	skillname106	par8		76	Damplev	judgement1	par8		76	Damplev	Skillname378	par8		76	Damplev	Skillname379	par8														0
conviction	2	6	3	2	56	40	skillname123	skillld123	skillld123	skillan123																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	resistfire		ast2		74	resistcold		ast3		74	resistlightning		ast4		74	StrSkill21		-dm56																																40	Sksyn	skillname123	2		76	holyFireSynergy	skillname102	-1		76	holyFreezeSynergy	skillname114	-1		76	holyShockSynergy	skillname118	-1																			0
redemption	3	6	2	3	54		skillname124	skillxld124	skillxld124	skillan124																	74	liferecovered		clc2		74	manarecovered		clc3		74	StrSkill109		dm34																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3																					40	Sksyn	skillname124	2		76	liferecoveredsynergy	skillname99	par8		76	manarecoveredsynergy	skillname120	par7																								0
salvation	3	6	3	3	58	41	skillname125	skillld125	skillld125	skillan125																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	2	StrSkill54l	StrSkill23	ast3		2	StrSkill54c	StrSkill23	ast2		2	StrSkill54f	StrSkill23	ast1																																					40	Sksyn	skillname125	2		63	skillname100	Resfplev	par8		63	skillname105	Rescplev	par8		63	skillname110	Reslplev	par8																			0
bash	1	4	3	1	0	22	overwhelm1	overwhelm2	overwhelm3	overwhelm1	7	clc1											1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	StrSkillDamageFlat		ln34		74	overwhelmrocks		par5+lvl/par6												74	WeapDamsk		25																						40	Sksyn	overwhelm1	2		76	AttRateplev	skillname139	par7		76	AttRateplev	skillname144	par7																								0
sword mastery	2	1	1	2	2		ccmastery1	ccmastery2	ccmastery2	ccmastery1													1				74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																												ccmastery1																																			0
axe mastery	2	1	3	2	4		tstrike1	tstrike2	tstrike3	tstrike1	5												1				36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																					74	WeapDamsk		20		74	thunderstrikeconversion		75		18	thunderstrikeprojectiles														40	Sksyn	tstrike1	2		76	Ltngdplev	twave1	par8		76	Ltngdplev	Skillname385	par8		76	Ltngdplev	plasmarain1	par8		76	Ltngdplev	Skillname386	par8														0
mace mastery	2	4	3	2	6		twave1	twave2	twave3	twave1	5													thunder wave maker			36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																																														40	Sksyn	twave1	2		76	Ltngdplev	ccmastery1	par8		76	Ltngdplev	tstrike1	par8		76	Ltngdplev	Skillname385	par8		76	Ltngdplev	plasmarain1	par8		76	Ltngdplev	Skillname386	par8									0
howl	3	1	2	3	8		skillname130	skillld130	skillld130	skillan130																	36	StrSkillDurationSingular	StrSkill20	ln56	25	36	StrSkill58		ln34*2	3																					36	StrSkill3		usmc	256																																																										0
find potion	3	4	3	3	32		findtreasure1	findtreasure2	findtreasure3	findtreasure1																	74	StrSkill24		clc1																											36	StrSkill3		usmc	256																																																										0
leap	3	1	3	3	12		skillname132	skillld132	skillld132	skillan132																	36	StrSkillKnockbackRadius	StrSkillKnockbackRadius	ln34*2	3	36	StrSkillRangeRadius	StrSkillRangeRadius	dm12*2	3																					36	StrSkill3		usmc	256																																																										0
double swing	1	1	1	1	14		skillname133	skillld133	skillld133	skillan133	19	clc1											2				74	StrSkill22		toht		74	StrSkillDamagePercent		clc1																						36	StrSkill3		usmc	256	74	StrSkill106		par5		74	WeapDamsk		150												40	Sksyn	skillname133	2		76	Damplev	skillname147	par8		76	Damplev	overwhelm1	par8		76	Damplev	skillname151	par8		76	AttRateplev	skillname147	par7		76	AttRateplev	overwhelm1	par7		76	AttRateplev	skillname151	par7				0
pole arm mastery	2	5	3	2	16		plasmarain1	plasmarain2	plasmarain3	plasmarain1	5													angeldustcenter			36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																					36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																					40	Sksyn	plasmarain1	2		76	Ltngdplev	ccmastery1	par8		76	Ltngdplev	tstrike1	par8		76	Ltngdplev	twave1	par8		76	Ltngdplev	Skillname385	par8		76	Ltngdplev	Skillname386	par8									0
throwing mastery	2	1	2	2	18		skillname135	skillld135	skillld135	skillan135																	74	StrSkillNoConsumeChance		manc		74	StrSkillPiercingChance		mapi		74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math		18	replenishoncrit																																																																		0
spear mastery	3	5	3	3	20		ghostdecoy1	ghostdecoy2	ghostdecoy3	ghostdecoy1																	36	StrSkill3		usmc	256	5	StrSkill193		clc4		5	StrSkill192		clc3		5	StrSkill209		pst2		74	StrSkill21		pst1		13	StrSkill42		clc1		18	StrSkill229				5	StrSkill156		"min(ln56-par6,99)"		18	StrSkill157				5	ESkillDecoy		pets							40	Sksyn	ghostdecoy1	2		76	healthperlevelsynergy	skillname145	par8		76	healthperlevelsynergy	skillname153	par8																								0
taunt	3	1	1	3	22	28	skillname137	skillld137	skillld137	skillan137																	74	StrSkill38		ast2		74	StrSkill57		ast1																						36	StrSkill3		usmc	256																																																										0
