Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Meteor	100	1	1	48		40				1	48	hit-skill	Rain of Fire	1	30									1	cred	weap							staf	wand	orb	0	0	0
of Meteor	100	1	1	60		50				1	48	hit-skill	Rain of Fire	1	40									1	cred	weap							staf	wand	orb	0	0	0
of Blizzard	100	1	1	12	36	10				2	48	hit-skill	Blizzard	4	15									1	dblu	weap							staf	wand	orb	0	0	0
of Blizzard	100	1	1	24	48	20				2	48	hit-skill	Blizzard	4	25									1	dblu	weap							staf	wand	orb	0	0	0
of Blizzard	100	1	1	36	60	30				2	48	hit-skill	Blizzard	4	30									1	dblu	weap							staf	wand	orb	0	0	0
of Blizzard	100	1	1	48		40				2	48	hit-skill	Blizzard	4	40									1	cblu	weap							staf	wand	orb	0	0	0
of Blizzard	100	1	1	60		50				2	48	hit-skill	Blizzard	4	55									1	cblu	weap							staf	wand	orb	0	0	0
of Damage Amplification	100	1	1	12	36	10				2	48	hit-skill	Amplify Damage	4	5									1	dred	weap	amul	ring					staf	wand	orb	0	0	0
of Damage Amplification	100	1	1	24	48	20				2	48	hit-skill	Amplify Damage	4	15									1	dred	weap	amul	ring					staf	wand	orb	0	0	0
of Damage Amplification	100	1	1	36	60	30				2	48	hit-skill	Amplify Damage	4	25									1	dred	weap	amul	ring					staf	wand	orb	0	0	0
of Damage Amplification	100	1	1	48		40				2	48	hit-skill	Amplify Damage	4	35									1	cred	weap	amul						staf	wand	orb	0	0	0
of Damage Amplification	100	1	1	60		50				2	48	hit-skill	Amplify Damage	4	45									1	cred	mele							staf	wand	orb	0	0	0
of Judgement	100	1	1	12	36	10				2	48	kill-skill	Judgement	7	15									1	dyel	weap							staf	wand	orb	0	0	0
of Judgement	100	1	1	24	48	20				2	48	kill-skill	Judgement	7	25									1	dyel	weap							staf	wand	orb	0	0	0
of Judgement	100	1	1	36	60	30				2	48	kill-skill	Judgement	7	30									1	dyel	weap							staf	wand	orb	0	0	0
of Judgement	100	1	1	48		40				2	48	kill-skill	Judgement	7	40									1	dyel	weap							staf	wand	orb	0	0	0
of Judgement	100	1	1	60		50				2	48	kill-skill	Judgement	7	55									1	dyel	weap							staf	wand	orb	0	0	0
of Crucify	100	1	1	12	36	10				2	48	kill-skill	Crucify	15	15									1	cred	weap							staf	wand	orb	0	0	0
of Crucify	100	1	1	24	48	20				2	48	kill-skill	Crucify	15	25									1	cred	weap							staf	wand	orb	0	0	0
of Crucify	100	1	1	36	60	30				2	48	kill-skill	Crucify	15	30									1	cred	weap							staf	wand	orb	0	0	0
of Crucify	100	1	1	48		40				2	48	kill-skill	Crucify	15	40									1	cred	weap							staf	wand	orb	0	0	0
of Crucify	100	1	1	60		50				2	48	kill-skill	Crucify	15	55									1	cred	weap							staf	wand	orb	0	0	0
of Arrows	100	1	1	12	36	10				2	48	hit-skill	Arrow Hit Skill	4	5									1	cgrn	miss										0	0	0
of Arrows	100	1	1	24	48	20				2	48	hit-skill	Arrow Hit Skill	8	10									1	cgrn	miss										0	0	0
of Arrows	100	1	1	36	60	30				2	48	hit-skill	Arrow Hit Skill	12	15									1	cgrn	miss										0	0	0
of Arrows	100	1	1	48		40				2	48	hit-skill	Arrow Hit Skill	16	20									1	cgrn	miss										0	0	0
of Arrows	100	1	1	60		50				2	48	hit-skill	Arrow Hit Skill	20	25									1	cgrn	miss										0	0	0
of Whirlwind	100	1	1	12	36	10				2	48	kill-skill	Whirlwind	10	15									1	blac	mele							staf	wand	orb	0	0	0
of Whirlwind	100	1	1	24	48	20				2	48	kill-skill	Whirlwind	10	25									1	blac	mele							staf	wand	orb	0	0	0
of Whirlwind	100	1	1	36	60	30				2	48	kill-skill	Whirlwind	10	30									1	blac	mele							staf	wand	orb	0	0	0
of Whirlwind	100	1	1	48		40				2	48	kill-skill	Whirlwind	10	40									1	blac	mele							staf	wand	orb	0	0	0
of Whirlwind	100	1	1	60		50				2	48	kill-skill	Whirlwind	10	55									1	blac	mele							staf	wand	orb	0	0	0
of Overwhelm	100	1	1	12	36	10				2	48	kill-skill	Bash	10	15									1	blac	weap							staf	wand	orb	0	0	0
of Overwhelm	100	1	1	24	48	20				2	48	kill-skill	Bash	10	25									1	blac	weap							staf	wand	orb	0	0	0
of Overwhelm	100	1	1	36	60	30				2	48	kill-skill	Bash	10	30									1	blac	weap							staf	wand	orb	0	0	0
of Overwhelm	100	1	1	48		40				2	48	kill-skill	Bash	10	40									1	blac	weap							staf	wand	orb	0	0	0
of Overwhelm	100	1	1	60		50				2	48	kill-skill	Bash	10	55									1	blac	weap							staf	wand	orb	0	0	0
of Monsoon	100	1	1	12	36	10				1	48	hit-skill	Monsoon	1	15									1	dblu	mele							staf	wand	orb	0	0	0
of Monsoon	100	1	1	24	48	20				1	48	hit-skill	Monsoon	1	20									1	dblu	mele							staf	wand	orb	0	0	0
of Monsoon	100	1	1	36	60	30				1	48	hit-skill	Monsoon	1	25									1	dblu	mele							staf	wand	orb	0	0	0
of Monsoon	100	1	1	48		40				1	48	hit-skill	Monsoon	1	30									1	cblu	mele							staf	wand	orb	0	0	0
of Monsoon	100	1	1	60		50				1	48	hit-skill	Monsoon	1	40									1	cblu	mele							staf	wand	orb	0	0	0
of Volcano	100	1	1	12	36	10				1	48	hit-skill	Volcano	1	15									1	cred	mele							staf	wand	orb	0	0	0
of Volcano	100	1	1	24	48	20				1	48	hit-skill	Volcano	1	20									1	cred	mele							staf	wand	orb	0	0	0
of Volcano	100	1	1	36	60	30				1	48	hit-skill	Volcano	1	25									1	cred	mele							staf	wand	orb	0	0	0
of Volcano	100	1	1	48		40				1	48	hit-skill	Volcano	1	30									1	cred	mele							staf	wand	orb	0	0	0
of Volcano	100	1	1	60		50				1	48	hit-skill	Volcano	1	40									1	cred	mele							staf	wand	orb	0	0	0
of Cataclysm	100	1	1	12	36	10				1	48	hit-skill	Cataclysm	1	15									1	blac	mele							staf	wand	orb	0	0	0
of Cataclysm	100	1	1	24	48	20				1	48	hit-skill	Cataclysm	1	20									1	blac	mele							staf	wand	orb	0	0	0
of Cataclysm	100	1	1	36	60	30				1	48	hit-skill	Cataclysm	1	25									1	blac	mele							staf	wand	orb	0	0	0
of Cataclysm	100	1	1	48		40				1	48	hit-skill	Cataclysm	1	30									1	blac	mele							staf	wand	orb	0	0	0
of Cataclysm	100	1	1	60		50				1	48	hit-skill	Cataclysm	1	40									1	blac	mele							staf	wand	orb	0	0	0
of Ice Nova	100	1	1	12	36	10				2	48	hit-skill	Frost Nova	4	15									1	dred	weap							staf	wand	orb	0	0	0
of Ice Nova	100	1	1	24	48	20				2	48	hit-skill	Frost Nova	4	25									1	dred	weap							staf	wand	orb	0	0	0
of Ice Nova	100	1	1	36	60	30				2	48	hit-skill	Frost Nova	4	30									1	dred	weap							staf	wand	orb	0	0	0
of Ice Nova	100	1	1	48		40				2	48	hit-skill	Frost Nova	4	40									1	cred	weap							staf	wand	orb	0	0	0
of Ice Nova	100	1	1	60		50				2	48	hit-skill	Frost Nova	4	55									1	cred	weap							staf	wand	orb	0	0	0
of Frozen Armor	100	1	1	12	36	10				2	50	gethit-skill	Frozen Armor	4	5									1	dblu	armo	staf	wand	orb							0	0	0
of Frozen Armor	100	1	1	24	48	20				2	50	gethit-skill	Frozen Armor	4	15									1	dblu	armo	staf	wand	orb							0	0	0
of Frozen Armor	100	1	1	36	60	30				2	50	gethit-skill	Frozen Armor	4	25									1	dblu	armo	staf	wand	orb							0	0	0
of Frozen Armor	100	1	1	48		40				2	50	gethit-skill	Frozen Armor	4	35									1	cblu	armo	staf	wand	orb							0	0	0
of Frozen Armor	100	1	1	60		50				2	50	gethit-skill	Frozen Armor	4	50									1	cblu	armo	staf	wand	orb							0	0	0
of Static Field	100	1	1	12	36	10				2	50	gethit-skill	Static Field	10	5									1	dyel	armo	staf	wand	orb							0	0	0
of Static Field	100	1	1	24	48	20				2	50	gethit-skill	Static Field	15	15									1	dyel	armo	staf	wand	orb							0	0	0
of Static Field	100	1	1	36	60	30				2	50	gethit-skill	Static Field	20	25									1	dyel	armo	staf	wand	orb							0	0	0
of Static Field	100	1	1	48		40				2	50	gethit-skill	Static Field	25	35									1	lyel	armo	staf	wand	orb							0	0	0
of Static Field	100	1	1	60		50				2	50	gethit-skill	Static Field	33	50									1	lyel	armo	staf	wand	orb							0	0	0
of Meteor Shower	100	1	1	12	36	10				2	50	gethit-skill	Shiver Armor	4	5									1	dred	armo	staf	wand	orb							0	0	0
of Meteor Shower	100	1	1	24	48	20				2	50	gethit-skill	Shiver Armor	4	15									1	dred	armo	staf	wand	orb							0	0	0
of Meteor Shower	100	1	1	36	60	30				2	50	gethit-skill	Shiver Armor	4	25									1	dred	armo	staf	wand	orb							0	0	0
of Meteor Shower	100	1	1	48		40				2	50	gethit-skill	Shiver Armor	4	35									1	cred	armo	staf	wand	orb							0	0	0
of Meteor Shower	100	1	1	60		50				2	50	gethit-skill	Shiver Armor	4	50									1	cred	armo	staf	wand	orb							0	0	0
of Shiver Armor	100	1	1	12	36	10				2	50	gethit-skill	Chilling Armor	4	5									1	dblu	armo	staf	wand	orb							0	0	0
of Shiver Armor	100	1	1	24	48	20				2	50	gethit-skill	Chilling Armor	4	15									1	dblu	armo	staf	wand	orb							0	0	0
of Shiver Armor	100	1	1	36	60	30				2	50	gethit-skill	Chilling Armor	4	25									1	dblu	armo	staf	wand	orb							0	0	0
of Shiver Armor	100	1	1	48		40				2	50	gethit-skill	Chilling Armor	4	35									1	cblu	armo	staf	wand	orb							0	0	0
of Shiver Armor	100	1	1	60		50				2	50	gethit-skill	Chilling Armor	4	50									1	cblu	armo	staf	wand	orb							0	0	0
of Hydra Shield	100	1	1	12	36	10				2	50	gethit-skill	Hydra	10	5									1	dyel	armo	staf	wand	orb							0	0	0
of Hydra Shield	100	1	1	24	48	20				2	50	gethit-skill	Hydra	15	15									1	dyel	armo	staf	wand	orb							0	0	0
of Hydra Shield	100	1	1	36	60	30				2	50	gethit-skill	Hydra	20	25									1	dyel	armo	staf	wand	orb							0	0	0
of Hydra Shield	100	1	1	48		40				2	50	gethit-skill	Hydra	25	35									1	lyel	armo	staf	wand	orb							0	0	0
of Hydra Shield	100	1	1	60		50				2	50	gethit-skill	Hydra	33	50									1	lyel	armo	staf	wand	orb							0	0	0
of Enchantment	100	1	1	24	48	24		sor	6	2	51	charged	Enchant	30	10									1	dred	amul	ring	circ	staf				sorc			0	0	0
of Enchantment	100	1	1	48		48		sor	6	2	51	charged	Enchant	45	30									1	dred	amul	ring	circ	staf				sorc			0	0	0
of Teleportation	100	1	1	24	48	24		sor	1	8	51	charged	Teleport	40	6									1	dyel	amul	ring	circ	staf				sorc			0	0	0
of Teleportation	100	1	1	48		48		sor	1	8	51	charged	Teleport	60	25									1	dyel	amul	ring	circ	staf				sorc			0	0	0
of Shiver Armor	100	1	1	24	48	24		sor	18	2	51	charged	Chilling Armor	30	10									1	cblu	amul	ring	circ	staf				sorc			0	0	0
of Shiver Armor	100	1	1	48		48		sor	18	2	51	charged	Chilling Armor	45	15									1	cblu	amul	ring	circ	staf				sorc			0	0	0
of Amplify Damage	100	1	1	24	48	24		nec	1	2	51	charged	Amplify Damage	40	6									1	dred	amul	ring	circ	wand				necr			0	0	0
of Amplify Damage	100	1	1	48		48		nec	1	2	51	charged	Amplify Damage	60	25									1	dred	amul	ring	circ	wand				necr			0	0	0
of Dim Vision	100	1	1	24	48	24		nec	6	4	51	charged	Dim Vision	40	6									1	blac	amul	ring	circ	wand				necr			0	0	0
of Dim Vision	100	1	1	48		48		nec	6	4	51	charged	Dim Vision	60	9									1	blac	amul	ring	circ	wand				necr			0	0	0
of Clay Golem Summoning	100	1	1	24	48	24		nec	6	2	51	charged	Clay Golem	30	16									1	cgrn	amul	ring	circ	wand				necr			0	0	0
of Clay Golem Summoning	100	1	1	48		48		nec	6	2	51	charged	Clay Golem	45	35									1	cgrn	amul	ring	circ	wand				necr			0	0	0
of Lower Resistance	100	1	1	36	60	36		nec	30	4	51	charged	Lower Resist	40	6									1	dpur	amul	ring	circ	wand				necr			0	0	0
of Lower Resistance	100	1	1	60		60		nec	30	4	51	charged	Lower Resist	60	25									1	dpur	amul	ring	circ	wand				necr			0	0	0
of Battle Orders	100	1	1	24	48	24		bar	18	2	51	charged	Battle Orders	30	10									1	cred	amul	ring	circ	belt				barb			0	0	0
of Battle Orders	100	1	1	48		48		bar	18	2	51	charged	Battle Orders	45	25									1	cred	amul	ring	circ	belt				barb			0	0	0
of Fade	100	1	1	24	48	24		ass	18	2	51	charged	Fade	30	10									1	dgry	amul	ring	circ	boot				assn			0		
of Fade	100	1	1	48		48		ass	18	2	51	charged	Fade	45	25									1	dgry	amul	ring	circ	boot				assn			0		
of Venom	100	1	1	36	60	36		ass	30	2	51	charged	Venom	30	10									1	dblu	amul	ring	circ	glov				assn			0		
of Venom	100	1	1	60		60		ass	30	2	51	charged	Venom	45	30									1	dblu	amul	ring	circ	glov				assn			0		
of the Tank	100	1	1	60		48				16	52	red-dmg%		8	10	thorns/lvl	16			ac%		150	200	1	dgry	tors	shld	belt								0	0	0
of the Tank	100	1	1	70		55				4	52	red-dmg%		11	17	thorns/lvl	48			ac%		201	250	1	dgry	tors	shld									0	0	0
of the Tank	100	1	1	85		63				1	52	red-dmg%		18	25	thorns/lvl	192			ac%		251	325	1	dgry	tors	shld									0	0	0
of Mastery	100	1	1	50		30				16	53	dmg-ac		-10	-10	swing2		10	10	dmg%		75	75	1	dgld	weap							staf	wand	orb	0	0	0
of Grand Mastery	100	1	1	60		45				16	53	dmg-ac		-15	-15	swing2		20	20	dmg%		100	100	1	dgld	weap							staf	wand	orb	0	0	0
of Grand Mastery	100	1	1	80		60				4	53	reduce-ac		50	50	swing2		20	20	dmg%		125	125	1	dgld	weap							staf	wand	orb	0	0	0
of Grand Mastery	100	1	1	90		65				1	53	reduce-ac		75	75	swing2		30	30	dmg%		150	175	1	dgld	weap							staf	wand	orb	0	0	0
of the Rainbow	100	1	1	30	45	25				10	54	cold-max		75	125	fire-max		75	125	ltng-max		75	125	1	oran	amul	ring	glov					staf	wand	orb	0	0	0
of the Rainbow	100	1	1	45		40				10	54	cold-max		126	200	fire-max		126	200	ltng-max		126	200	1	oran	amul	ring	glov					staf	wand	orb	0	0	0
of the Rainbow	100	1	1	70		60				10	54	cold-max		201	275	fire-max		201	275	ltng-max		201	275	1	oran	amul	ring	glov					staf	wand	orb	0	0	0
of the Rainbow	100	1	1	40	60	30				10	54	cold-max		100	200	fire-max		100	200	ltng-max		100	200	1	oran	weap							staf	wand	orb	0	0	0
of the Rainbow	100	1	1	50	70	40				10	54	cold-max		201	300	fire-max		201	300	ltng-max		201	300	1	oran	weap							staf	wand	orb	0	0	0
of the Rainbow	100	1	1	60	85	50				10	54	cold-max		301	400	fire-max		301	400	ltng-max		301	400	1	oran	weap							staf	wand	orb	0	0	0
of the Rainbow	100	1	1	70		55				5	54	cold-max		401	500	fire-max		401	500	ltng-max		401	500	1	oran	weap							staf	wand	orb	0	0	0
of the Rainbow	100	1	1	85		63				2	54	cold-max		501	1000	fire-max		501	1000	ltng-max		501	1000	1	oran	weap							staf	wand	orb	0	0	0
of Replenishment	100	1	1	75		40				1	55	regen		150	200	regen-stam		25	25					1	cred	staf	wand	amul	belt	ring						0	0	0
of Replenishment	100	1	1	85		40				1	55	regen		201	250	regen-stam		25	25					1	cred	staf	wand	amul	belt							0	0	0
of Targeting	100	1	1	35	45	28				8	56	deadly		15	20									1	cred	weap	amul	ring					staf	wand	orb	0	0	0
of Targeting	100	1	1	35		28				8	56	deadly		15	20									1	cred	amul	ring						staf	wand	orb	0	0	0
of Targeting	100	1	1	45		37				8	56	deadly		21	25									1	cred	weap							staf	wand	orb	0	0	0
of Targeting	100	1	1	60		48				6	56	deadly		26	30									1	cred	weap							staf	wand	orb	0	0	0
of Targeting	100	1	1	75		61				4	56	deadly		31	40									1	cred	weap							staf	wand	orb	0	0	0
of Mauling	100	1	1	35	45	28				8	56	crush		15	20									1	cred	weap	amul	ring					staf	wand	orb	0	0	0
of Mauling	100	1	1	35		28				8	56	crush		15	20									1	cred	amul	ring						staf	wand	orb	0	0	0
of Mauling	100	1	1	45		37				8	56	crush		21	25									1	cred	weap							staf	wand	orb	0	0	0
of Mauling	100	1	1	60		48				6	56	crush		26	30									1	cred	weap							staf	wand	orb	0	0	0
of Mauling	100	1	1	75		61				4	56	crush		31	40									1	cred	weap							staf	wand	orb	0	0	0
of Wounding	100		1	35	45	28				8	56	openwounds		20	40									1	cred	weap	amul	ring					staf	wand	orb	0	0	0
of Wounding	100		1	35		28				8	56	openwounds		20	40									1	cred	amul	ring						staf	wand	orb	0	0	0
of Wounding	100		1	45		37				8	56	openwounds		41	55									1	cred	weap							staf	wand	orb	0	0	0
of Wounding	100		1	60		48				6	56	openwounds		56	70									1	cred	weap							staf	wand	orb	0	0	0
of Wounding	100		1	75		61				4	56	openwounds		71	100									1	cred	weap							staf	wand	orb	0	0	0
of the Psyche	100	1	1	40	60	25				16	57	regen-mana		10	20									1	cblu	amul	ring	scep	staf	wand						0	0	0
of Sorcery	100	1	1	60		35				16	57	regen-mana		20	50									1	cblu	amul	ring	scep	staf	wand						0	0	0
of Sorcery	100	1	1	70		50				16	57	regen-mana		51	100									1	cblu	amul	ring	scep	staf	wand						0	0	0
of Sorcery	100	1	1	85		63				4	57	regen-mana		101	150									1	cblu	amul	scep	staf	wand							0	0	0
of Skill Master	100	1	1	40		30		ama	6	2	58	oskill	Multiple Shot	1	4											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	72		54		nec	18	1	58	oskill	Killer Scythe	1	12											pole	knif						necr			0	0	0
of Skill Master	100	1	1	40		30		ama	6	4	58	oskill	Dodge	1	8											amul	ring	helm	tors				amaz			0	0	0
of Skill Master	100	1	1	48		36		ama	12	2	58	oskill	Slow Missiles	1	8	oskill	Inner Sight	1	8							amul	ring	helm	tors	shld	belt	boot	amaz			0	0	0
of Skill Master	100	1	1	72		54		ama	18	1	58	oskill	Tornado Shot	1	12											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	56		42		ama	18	1	58	oskill	Exploding Arrow	1	12											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	56		42		ama	18	1	58	oskill	Cold Arrow	1	12											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	56		42		ama	18	1	58	oskill	Magic Arrow	1	12											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	56		42		ama	18	1	58	oskill	Lightning Strike	1	12											spea							amaz			0	0	0
of Skill Master	100	1	1	72		54		ama	30	1	58	oskill	Strafe	1	12											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	72		54		ama	30	2	58	oskill	Pierce	1	8											glov	miss	thro					amaz			0	0	0
of Skill Master	100	1	1	32		24		sor	1	2	58	oskill	Frozen Armor	1	15											amul	ring						sorc			0	0	0
of Skill Master	100	1	1	32		24		sor	1	2	58	oskill	Chilling Armor	1	15											amul	ring						sorc			0	0	0
of Skill Master	100	1	1	32		24		sor	1	2	58	oskill	Shiver Armor	1	15											amul	ring						sorc			0	0	0
of Skill Master	100	1	1	48		36		sor	1	1	58	oskill	Teleport	1	4											amul	ring	helm	tors	staf	wand		sorc			0	0	0
of Skill Master	100	1	1	40		30		sor	6	2	58	oskill	Enchant	1	15											amul	ring	glov					sorc			0	0	0
of Skill Master	100	1	1	40		30		sor	6	2	58	oskill	Cold Enchant	1	15											amul	ring	glov					sorc			0	0	0
of Skill Master	100	1	1	72		54		sor	30	1	58	oskill	Fire Mastery	1	4											amul	ring	helm	tors				sorc			0	0	0
of Skill Master	100	1	1	72		54		sor	30	1	58	oskill	Lightning Mastery	1	4											amul	ring	helm	tors				sorc			0	0	0
of Skill Master	100	1	1	72		54		sor	30	1	58	oskill	Cold Mastery	1	4											amul	ring	helm	tors				sorc			0	0	0
of Skill Master	100	1	1	72		54		sor	30	1	58	oskill	Poison Mastery Passive	1	4											amul	ring	helm	tors				sorc			0	0	0
of Skill Master	100	1	1	32		24		nec	1	4	58	oskill	Bone Armor	1	16											amul	ring	armo	pole				necr			0	0	0
of Skill Master	100	1	1	48		36		nec	1	1	58	oskill	Amplify Damage	1	8											amul	ring	helm	tors	dclb			necr			0	0	0
of Skill Master	100	1	1	40		30		nec	6	2	58	oskill	Clay Golem	8	12	oskill	Golem Mastery	6	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	1	1	40		30		nec	6	2	58	oskill	Confuse	1	12											amul	ring	helm	tors				necr			0	0	0
of Skill Master	100	1	1	40		30		nec	6	2	58	oskill	Dim Vision	1	12											amul	ring	helm	tors				necr			0	0	0
of Skill Master	100	1	1	40		30		nec	6	2	58	oskill	Terror	1	12											amul	ring	helm	tors				necr			0	0	0
of Skill Master	100	1	1	48		36		nec	12	2	58	oskill	Raise Skeleton	8	12	oskill	Skeleton Mastery	6	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	1	1	48		36		nec	12	2	58	oskill	BloodGolem	8	12	oskill	Golem Mastery	6	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	1	1	72		54		nec	18	1	58	oskill	Decrepify	1	4											amul	ring	helm	tors				necr			0	0	0
of Skill Master	100	1	1	64		48		nec	24	2	58	oskill	Bone Spirit	1	16											amul	ring	armo					necr			0	0	0
of Skill Master	100	1	1	64		48		nec	24	2	58	oskill	FireGolem	8	12	oskill	Golem Mastery	6	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	1	1	72		54		nec	30	2	58	oskill	Raise Skeletal Mage	8	12	oskill	Skeleton Mastery	6	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	1	1	72		54		nec	30	1	58	oskill	Lower Resist	1	8											amul	ring	helm	tors	pole			necr			0	0	0
of Skill Master	100	1	1	72		54		nec	30	1	58	oskill	Poison Mastery	1	8											amul	ring	helm	tors	pole						0	0	0
of Skill Master	100	1	1	32		24		pal	1	2	58	oskill	Blessed Aim	1	12											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	1	1	32		24		pal	1	2	58	oskill	Sanctuary	1	12											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	1	1	40		30		pal	6	2	58	oskill	Defiance	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	48		36		pal	12	2	58	oskill	Zeal	1	10											glov	mele						pala			0	0	0
of Skill Master	100	1	1	48		36		pal	12	2	58	oskill	Cleansing	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	48		36		pal	12	2	58	oskill	Holy Fire	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	56		42		pal	18	2	58	oskill	Vengeance	1	10											glov	mele						pala			0	0	0
of Skill Master	100	1	1	56		42		pal	18	2	58	oskill	Holy Freeze	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	56		42		pal	18	2	58	oskill	Vigor	1	12											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	56		42		pal	18	2	58	oskill	Might	1	16											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	1	1	64		48		pal	24	2	58	oskill	Meditation	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	64		48		pal	24	2	58	oskill	Holy Shock	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	72		54		pal	30	2	58	oskill	Salvation	1	12											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	72		54		pal	30	1	58	oskill	Fanaticism	1	12											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	1	1	72		54		pal	30	2	58	oskill	SSummon Grizzly	1	8											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	1	1	32		24		bar	1	2	58	oskill	Sword Mastery	1	4											glov	mele						barb			0	0	0
of Skill Master	100	1	1	32		24		bar	1	2	58	oskill	Axe Mastery	1	10											glov	mele						barb			0	0	0
of Skill Master	100	1	1	32		24		bar	1	3	58	oskill	Throwing Mastery	1	4											glov	thro						barb			0	0	0
of Skill Master	100	1	1	40		30		bar	6	2	58	oskill	Shout	1	12											amul	ring	helm	tors				barb			0	0	0
of Skill Master	100	1	1	56		42		bar	18	2	58	oskill	Battle Orders	1	12											amul	ring	helm	tors				barb			0	0	0
of Skill Master	100	1	1	72		54		bar	30	1	58	oskill	Berserk	1	10											glov	mele						barb			0	0	0
of Skill Master	100	1	1	72		54		bar	30	1	58	oskill	Natural Resistance	1	4											amul	ring	helm	tors				barb			0	0	0
of Skill Master	100	1	1	32		24		dru	1	2	58	oskill	Raven	8	12	oskill	Feral Mastery	1	4	oskill	Thunderclaws	1	4			amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	32		24		dru	1	2	58	oskill	Summon Spirit Wolf	8	12	oskill	Feral Mastery	1	4	oskill	Twin Fangs	1	4			amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	32		24		dru	1	2	58	oskill	Summon Spirit Wolf	8	12	oskill	Feral Mastery	1	4	oskill	Contagion	1	4			amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	32		24		dru	1	2	58	oskill	Summon Fenris	8	12	oskill	Feral Mastery	1	4	oskill	Ferocious Bite	1	4			amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	56		42		dru	18	4	58	oskill	Spirit of Nature	1	8											amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	48		36		ass	1	1	58	oskill	Cloak of Shadows	1	8											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100	1	1	40		30		ass	6	2	58	oskill	Tiger Strike	1	4	oskill	Dragon Tail	1	4							glov	mele						assn			0	0	0
of Skill Master	100	1	1	56		42		ass	6	1	58	oskill	Quickness	1	4											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100	1	1	48		36		ass	12	2	58	oskill	Claw Mastery	1	4											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100	1	1	72		54		ass	18	1	58	oskill	Fade	1	4											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100	1	1	64		48		ass	24	1	58	oskill	Royal Strike	1	12											glov	mana						assn			0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Defiance	5	10											helm	tors									0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Cleansing	6	12											helm	tors									0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Prayer	6	12											helm	tors									0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Resist Fire	3	10											helm	tors									0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Resist Cold	3	10											helm	tors									0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Resist Lightning	3	10											helm	tors									0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Vigor	5	10											helm	tors									0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Meditation	5	10											helm	tors									0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Salvation	1	2											helm	tors									0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Sanctuary	5	10											helm	tors									0	0	0
of Aurora	100	1	1	70		60				3	59	aura	Holy Fire	5	10											helm	tors									0	0	0
