index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Scourge of the Twin Seas	286	0	1			1	1	32	31	9sm	Cutlass		9	25000	dblu	dblu		invscmu				tinkerflag2		25	35	dmg%		150	200	lifesteal		4	8	swing2		30	30	mag%		50	100	gold%		50	100	hit-skill	Fire Ball	10	35	hit-skill	Glacial Spike	10	35																		0
Soulforge	287	0	1			1	1	37	33	9sb	Shamshir		9	25000	cblu	cblu		inv9sbu				tinkerflag2		25	35	hit-skill	Poison Mastery	5	15	swing1		20	20	mana-kill		15	20	dmg-mag		100	250	dmg-mag/lvl	64			hit-skill	Hells Gate	3	40																						0
The Desert Wind	288	0	1			1	1	42	35	9fc	Tulwar		10	30000	dgld	dgld		invflcu				tinkerflag2		25	35	dmg%		50	200	dmg/lvl	8			swing3		75	75	deadly		25	25	crush		10	10	ignore-ac		1	1	ac		100	200	lifesteal		15	15														0
Frost Shard	289	0	1			1	1	45	37	9cr	Dimensional Blade		10	30000	cblu	cblu		invcrsu				tinkerflag2		25	35	pierce-cold		25	25	swing2		50	50	dmg-cold	200	200	250	dmg-cold/lvl	80			hit-skill	Frost Nova	5	40	res-cold-max		1	3	res-cold		40	80																		0
Zakarum Blade	290	0	1			1	1	47	39	9bs	Battle Sword		10	30000	lgry	lgry		invbsdu				tinkerflag2		25	35	pal		1	2	dmg/lvl	12			dmg-norm		20	30	dmg-undead		150	200	att-undead		100	200	dmg-demon		150	200	att-demon		150	200	hp%		5	15	light		5	10	item-skill-cooldown		15	25						0
Celestial Avenger	291	0	1			1	1	49	41	9ls	Rune Sword		10	30000	whit	whit		invlsdu				tinkerflag2		25	35	allskills		1	1	dmg%		250	250	swing1		30	30	light		15	15	sock		2	2	res-all		40	40	hp		100	100	mana		100	100														0
Mithril Sword	292	0	1			1	1	50	42	9wd	Ancient Sword		11	35000	whit	whit						tinkerflag2		25	35	dmg%		80	120	dmg/lvl	10			swing2		40	40	deadly		75	75	att%		200	200	ease		-40	-40																						0
The Vampire	293	0	1			1	1	30	42	92h	Espadon		9	25000	blac	blac		inv2hsu				tinkerflag2		25	35	dmg%		150	300	lifesteal		15	25	manasteal		15	25	regen		250	250	hit-skill	Decrepify	10	30	str/lvl	4			hp/lvl	16																				0
Black Death	294	0	1			1	1	36	43	9cm	Dacian Falx		9	25000	blac	blac						tinkerflag2		25	35	hit-skill	Poison Mastery	5	30	oskill	Poison Mastery	5	10	swing2		30	30	dmg-pois	75	2048	3416	dmg-pois/lvl	80			res-pois-len		100	100	reduce-ac		75	75	hit-skill	Poison Nova	3	40														0
Stone Brenner	295	0	1			1	1	43	44	9gs	Tusk Sword		10	30000	dgry	dgry		invgisu				tinkerflag2		25	35	dmg/lvl	16			ignore-ac		1	1	lifesteal		6	8	manasteal		6	8	ac		250	500	ac/lvl	64			skill	Iron Skin	10	15	hit-skill	Stun	1	20														0
Jeldaria's Focus	296	0	1			1	1	49	45	9b9	Gothic Sword		10	30000	lred	lred		invbswu				tinkerflag2		25	35	dmg%		200	200	dmg-mag/lvl	64			swing2		40	40	magicskill		3	3	dmg-mag		200	200	hit-skill	Psychic Hammer	1	1	oskill	Berserk	20	20	res-all-max		5	5														0
Inarius' Fall	297	0	1			1	1	54	46	9fb	Zweihander		11	35000	cred	cred						tinkerflag2		25	35	dmg%		100	200	aura	Conviction	5	10	str		50	50	dex		50	50	vit		50	50	strpercent		15	15	dexpercent		15	15	vitpercent		15	15														0
Terminus Est	298	0	1			1	1	55	48	9gd	Executioner Sword		11	35000	blac	blac		invgsdu				tinkerflag2		25	35	dmg%		200	200	dmg/lvl	10			ignore-ac		1	1	deadly/lvl	6			swing		40	50	oskill	Sword Mastery	1	3	crush		50	50																		0
Slave Warrior's Edge	299	0	1			1	1	52	58	0ss	Gladiator Blade		11	35000	oran	oran						tinkerflag2		25	35	dmg%		100	200	dmg/lvl	8			swing2		30	30	crush		35	35	deadly		35	35	skilltab	9	1	7	skilltab	12	1	7	dmg-ac		-100	-100	cast2		50	50										0
Twinkle	300	0	1			1	1	57	59	0sm	Desert Sword		11	35000	bwht	bwht		invscmu				tinkerflag2		25	35	dmg-ltng		1	1000	dmg-ltng/lvl	80			swing2		50	50	att%		50	50	hit-skill	Mace Mastery	2	40	pierce-ltng		20	30	hit-skill	Pole Arm Mastery	2	40	att%		100	100														0
Icing Death	301	0	1			1	1	62	61	0sb	Rapier		12	40000	whit	whit		inv9sbu				tinkerflag2		25	35	allskills		1	3	freeze		2	3	hit-skill	Frozen Blast	2	50	hit-skill	Monsoon	1	50	skill	Freezing Claws	10	20	pierce-cold		20	30	hp		100	200	nofreeze		1	1	dmg-cold	500	400	500										0
The Executioner's Blade	302	0	1			1	1	67	62	0fc	Okrist		12	40000	blac	blac		invflcu				tinkerflag2		25	35	dmg%		150	200	dmg%/lvl	32			swing2		30	40	hp		100	200	sock		1	3	red-dmg%		1	30																						0
Diamondedge	303	0	1			1	1	72	64	0cr	Jeweled Edge		13	45000	bwht	bwht		invcrsu				tinkerflag2		25	35	sock		3	6	dmg-norm		20	50	swing-2		-30	-30	ease		150	150	dmg/lvl	16			red-dmg		50	50	red-mag		50	50	mana%		50	50														0
Glacial Form	304	0	1			1	1	76	66	0bs	Viking Sword		13	45000	dblu	dblu		invbsdu				tinkerflag2		25	35	coldskill		1	4	dmg-cold	500	200	800	hit-skill	Glacial Spike	10	50	kill-skill	Frost Nova	25	50	oskill	370	1	1	abs-cold%		1	3	pierce-cold		20	30																		0
Soul Singer	305	0	1			1	1	77	69	0ls	Arcane Sword		13	45000	blac	blac		invlsdu				tinkerflag2		25	35	hit-skill	Lower Resist	2	56	hit-skill	Poison Mastery	2	56	hit-skill	Amplify Damage	2	56	dmg-norm		23	75	hit-skill	Hells Gate	2	60	hit-skill	Bone Spear	2	60	dmg-mag		400	500	swing		40	40	manasteal		10	10	lifesteal		10	10						0
Rome's Victory	306	0	1			1	1	78	70	0wd	Trojan Sword		13	45000	cgrn	cgrn						tinkerflag2		25	35	dmg%		300	400	dmg-norm		40	70	swing2		40	40	kill-skill	Bash	15	30	ease		125	125	mag%		100	150	gold%		100	150	heal-kill		50	100	mana-kill		20	50										0
Blade of Righteousness	307	0	1			1	1	55	64	02h	Judgement Blade		11	35000	bwht	bwht		inv2hsu				tinkerflag2		25	35	allskills		1	5	dmg%		250	300	swing2		20	20	res-pois-len		100	100	slow		20	40	lifesteal		5	15	crush		100	100	sock		2	3														0
Reins of Power	308	0	1			1	1	61	67	0cm	Titan's Dagger		12	40000	dblu	dblu						tinkerflag2		25	35	allskills		1	1	dmg%		300	500	swing2		40	40	res-all-max		3	5	abs-fire%		3	5	abs-cold%		3	5	abs-ltng%		3	5	res-all		30	50														0
Mitsurugi's Aide	309	0	1			1	1	68	74	0gs	Lithe Blade		12	40000	dgrn	dgrn		invgisu				tinkerflag2		25	35	bar		2	3	dmg%		250	320	dmg-norm		20	30	swing3		30	30	aura	Blessed Aim	10	10	block		3	5																						0
Blackened Blade of Arkanon	310	0	1			1	1	74	70	0b0	Dark Sword		13	45000	blac	blac		invbswu				tinkerflag2		25	35	dmg%		250	300	dmg/lvl	12			deadly		40	40	crush		25	25	slow		30	30	oskill	Venom	40	50	pierce-pois		30	40	att		150	200	att/lvl	6												0
The Fires of Sunlight	311	0	1			1	1	81	73	0fb	Hellfire Sword		13	45000	cred			invflb				tinkerflag2		25	35	dmg-fire/lvl	80			dmg-fire		600	1000	fireskill		3	4	res-fire		75	75	light		15	25	hp		150	250	kill-skill	Nova	25	60	sock		2	4	ease		50	50	oskill	Fire Mastery	1	5						0
The Grandfather	312	0	1			1	1	84	80	0gd	Death Blade		13	45000	dgry	dgry		invgsdu				tinkerflag2		25	35	allskills		1	1	dmg%/lvl	40			aura	Vigor	5	10	hp		200	200	str		50	50	strpercent		10	30	ease		100	100	kill-skill	Judgement	20	50														0
The Trainee's Shuriken	313	0	1			1	1	2	3	tkf	Throwing Knife		6	10000	dgry	dgry						tinkerflag2		25	35	rep-quant	33			pierce		10	10	dmg%		100	150	dmg-min		6	6	manasteal		8	12	swing1		15	15	ass		1	1	skilltab	18	1	1	dmg/lvl	8												0
The Lumberjack's Toy	314	0	1			1	1	7	5	tax	Throwing Axe		6	10000	dgld	dgld						tinkerflag2		25	35	rep-quant	33			pierce		50	50	dmg-fire		30	100	dex		15	15	str		15	15	hp		40	40	swing3		30	30	dmg-fire/lvl	40																0
The Surgeon	315	0	1			1	1	13	9	bkf	Balanced Knife		7	15000	lgry	lgry						tinkerflag2		25	35	rep-quant	33			pierce		25	60	res-all		20	20	regen		10	10	deadly		33	33	hp/lvl	24			dmg-min		15	15	dmg-max		15	15	dmg/lvl	6			allskills		1	1						0
The Miner	316	0	1			1	1	16	12	bal	Balanced Axe		7	15000	blac	blac						tinkerflag2		25	35	rep-quant	33			pierce		20	20	hit-skill	Amplify Damage	2	10	dmg-norm		10	20	skill	Throwing Mastery	3	6	dmg%		50	100	hp		50	50	dmg/lvl	8																0
Morgue	317	0	1			1	1	29	24	9tk	Battle Dart		8	20000	blac	blac						tinkerflag2		25	35	rep-quant	33			pierce		15	15	dmg%		100	150	allskills		2	2	kill-skill	Shuriken	10	25	manasteal		5	10	balance1		30	30	cast1		30	30	res-fire		30	40	res-pois		30	40	dmg%/lvl	12				0
Battle Hymn	318	0	1			1	1	34	27	9ta	Francisca		9	25000	lyel	lyel						tinkerflag2		25	35	rep-quant	33			pierce		50	50	skilltab	13	2	5	dmg/lvl	12			swing1		20	20	att%		50	150	att		200	300	dexpercent		10	20	kill-skill	Battle Command	1	40										0
The Hurricane	319	0	1			1	1	39	30	9bk	War Dart		9	25000	whit	whit						tinkerflag2		25	35	rep-quant	33			pierce		40	40	move2		20	30	hit-skill	STwister	5	35	ease		-50	-50	dmg%		140	180	dmg-norm		20	30	swing2		30	30	ac/lvl	32												0
Minotaur's Sidearm	320	0	1			1	1	41	32	9b8	Hurlbat		10	30000	dgry	dgry						tinkerflag2		25	35	rep-quant	33			pierce		-25	-25	dmg%		200	300	dmg-norm		20	40	str		50	50	vit		50	50	skill	Increased Stamina	5	12	swing2		-10	-10	kill-skill	Bash	5	20										0
The Assassin's Stiletto	321	0	1			1	1	54	54	0tk	Throwing Dagger		11	35000	blac	blac						tinkerflag2		25	35	rep-quant	33			pierce		33	33	allskills		1	1	skilltab	18	2	2	heal-kill		25	50	mana-kill		15	30	res-all		20	20	kill-skill	Shuriken Trap	20	50	item-skill-cooldown		15	35	dmg%/lvl	12			dmg%		100	300		0
Dark Knight's Dread	322	0	1			1	1	56	57	0ta	Throwing Hatchet		11	35000	blac	blac						tinkerflag2		25	35	rep-quant	33			pierce		20	20	dmg%		180	300	skill	Throwing Mastery	2	6	skill	Double Throw	2	6	res-all		20	20	swing2		20	20	reduce-ac		75	75	oskill	Phantom Hatchets	12	12	dmg/lvl	12								0
Unicorn's Horn	323	0	1			1	1	75	64	0bk	Balanced Dagger		13	45000	bwht	bwht						tinkerflag2		25	35	rep-quant	33			pierce		20	20	hit-skill	Lower Resist	4	56	dmg-ltng		1	1000	dmg-cold	250	400	600	dmg-fire		400	600	res-mag		30	30	mag%/lvl	16			oskill	Throwing Mastery	1	3	kill-skill	Vengeance	25	45						0
Hephasto's Last Project	324	0	1			1	1	80	67	0b6	Balanced Hatchet		13	45000	blac	blac						tinkerflag2		25	35	rep-quant	33			pierce		100	100	hit-skill	Poison Mastery	5	36	freeze		2	3	dmg-mag		750	1500	vitpercent		10	20	enepercent		20	40	skill	Grim Ward	10	15	skill	Berserk Fury	10	15	allskills		1	1	hit-skill	Blessed Hammer	10	50		0
The Green Lantern	325	0	1			1	1	4	5	wnd	Wand		6	10000	cred	cred		inv9wnu				tinkerflag2		25	35	nec		1	1	res-pois-len		50	50	str		10	20	ac		30	60	skill	Amplify Damage	2	4	skilltab	7	1	1	ac/lvl	12			red-dmg		5	10	red-mag		5	10	regen		10	10	pierce-pois		5	10		0
Necromonic Tool	326	0	1			1	1	17	14	ywn	Yew Wand		7	15000	dblu	dblu						tinkerflag2		25	35	nec		1	1	mana		30	60	dmg-to-mana		35	50	cast2		20	20	balance2		30	30	skilltab	8	1	2	skill	Skeleton Mastery	2	4	passive-summ-life		10	20														0
Lucrecius Power	327	0	1			1	1	24	20	bwn	Bone Wand		8	20000	cgrn	cgrn		inv9bwu				tinkerflag2		25	35	allskills		1	1	mana		40	80	dmg-to-mana		50	75	cast3		30	30	extra-mag2		10	20	nofreeze		1	1	mana/lvl	8			hp/lvl	8																0
Wand of Spirits	328	0	1			1	1	31	28	gwn	Grim Wand		9	25000	lblu	lblu		inv9gwu				tinkerflag2		25	35	dru		1	1	str		20	30	dex		20	30	res-all		15	30	regen-mana		50	50	oskill	Spirit of Nature	1	1	skilltab	15	1	1	cast2		20	20	nec		1	1	skilltab	8	1	1	extra-summ		5	15		0
Cinderspark	329	0	1			1	1	29	33	9wn	Burnt Wand		8	20000	lred			inv9wnu				tinkerflag2		25	35	allskills		1	1	fireskill		3	3	cast3		50	50	pierce-fire		15	20	ease		50	50	hit-skill	Rain of Fire	3	40	swing2		50	50	mana-kill		20	30														0
Rusalka's Femur	330	0	1			1	1	42	35	9yw	Petrified Wand		10	30000	lblu	lblu						tinkerflag2		25	35	allskills		2	2	mana		150	200	sock		2	2	hp		50	100	cast1		25	25	oskill	Whirlpool	30	40	vitpercent		10	20	nofreeze		1	1														0
Wand of Rathma	331	0	1			1	1	44	36	9bw	Tomb Wand		10	30000	dgry	dgry		inv9bwu				tinkerflag2		25	35	allskills		1	3	mana/lvl	8			cast2		30	30	oskill	Undead Frenzy	1	1	extra-summ		20	40	regen-mana		30	50																						0
Skull of Horazon	332	0	1			1	1	49	43	9gw	Grave Wand		10	30000	dgry	dgry		inv9gwu				tinkerflag2		25	35	nec		3	3	mana%		50	50	regen		-150	-150	oskill	Summon Fenris	15	35	oskill	Ferocious Bite	10	20	oskill	Feral Mastery	1	1	passive-summ-life		20	40																		0
Arm of the Skeleton	333	0	1			1	1	54	73	0wn	Sacred Wand		11	35000	whit	whit		inv9wnu				tinkerflag2		25	35	allskills		1	3	skill	Raise Skeletal Mage	1	25	skill	Skeleton Mastery	1	25	skill	Raise Skeleton	1	25	red-dmg%		1	20	res-all		10	30	res-mag		10	30	cast2		50	50														0
Secret of the Ooze	334	0	1			1	1	67	75	0yw	Sepulcher Wand		12	40000	lyel	lyel						tinkerflag2		25	35	allskills		3	3	extra-pois		15	20	pierce-pois		15	20	kill-skill	Poison Nova	25	50	gold%		50	150	mag%		50	150	move2		30	40	balance2		30	40														0
Essence of Trang Oul	335	0	1			1	1	74	77	0bw	Callous Wand		13	45000	dgry	dgry		inv9bwu				tinkerflag2		25	35	allskills		2	4	mana		50	50	extra-mag2		20	40	kill-skill	Poison Mastery	25	56	ac		500	1000	cast2		20	40	vitpercent		20	40																		0
Song of the Damned	336	0	1			1	1	81	80	0gw	Demonic Wand		13	45000	blac	blac		inv9gwu				tinkerflag2		25	35	allskills		1	4	kill-skill	Battle Command	1	40	kill-skill	Battle Orders	1	40	kill-skill	Shout	1	40	pierce-fire		1	40	pierce-cold		1	40	pierce-ltng		1	40	pierce-pois		1	40	all-stats		1	40	red-dmg%		1	40	res-all		1	40		0
Fuego	337	100	1			1	1	18	14	am1	Stag Bow		7	15000	lred	lred						tinkerflag2		25	35	dmg-fire		50	100	dmg-fire/lvl	32			swing2		20	40	fireskill		1	1	all-stats		10	20	move2		10	20																						0
Scilla's Nimbleness	338	100	1			1	1	27	22	am2	Reflex Bow		8	20000	oran	oran						tinkerflag2		25	35	dmg%		50	250	swing1		40	40	att%		25	25	move2		20	30	slow		15	30	skill	Dodge	2	4	skill	Avoid	2	4	dexpercent		10	20														0
Kashya's Issue	339	0	1			1	1	37	30	apb	Precision Bow		9	25000	dgld	dgld						tinkerflag2		25	35	ama		2	2	dmg%		60	90	dmg/lvl	8			swing2		20	20	mana		30	30	hp		30	30	ac-miss		100	200	freeze		1	1														0
Fluffy Rabbit's Hare-y Javelin	340	0	1			1	1	23	17	am5	Maiden Javelin		8	20000	cblu	cblu						tinkerflag2		25	35	rep-quant	33			dmg%		110	150	swing2		20	20	dmg-cold/lvl	20			skilltab	1	1	3	deadly		15	15	manasteal		5	7	dmg-cold	150	100	300	pierce-ltng		10	15	extra-fire		10	15						0
Rod of Zerae	341	100	1			1	1	18	14	am3	Maiden Spear		7	15000	lyel	lyel						tinkerflag2		25	35	ama		1	1	dmg%		75	125	dmg-norm		10	25	swing1		40	40	abs-ltng%		1	3	hit-skill	Lightning Strike	5	20	gethit-skill	Static Field	20	15																		0
Lance of Celestia	342	100	1			1	1	27	22	am4	Maiden Pike		8	20000	oran	oran						tinkerflag2		25	35	ama		2	2	dmg%		160	190	swing1		40	40	deadly		20	20	res-all		10	30	str		20	30	dex		20	30	skill	Power of Athulua	5	10														0
Oxhorn	343	100	1			1	1	39	29	am6	Ashwood Bow		9	25000	dgrn	dgrn						tinkerflag2		25	35	dmg%		100	200	dmg/lvl	8			str		10	10	dex		10	10	skill	Critical Strike	1	3	pierce		25	50	hit-skill	Amplify Damage	5	25	ease		-25	-25														0
Lycander's Aim	344	100	1			1	1	50	42	am7	Ceremonial Bow		11	35000	cgrn	cgrn						tinkerflag2		25	35	ama		2	2	skilltab	0	1	2	dmg%		150	200	dmg-norm		25	50	swing2		20	20	manasteal		5	9	ac%		30	30	dex		10	30	enr		10	30										0
Robin Hood's Precision	345	0	1			1	1	59	52	9pb	Tuigan Bow		11	35000	cgrn	cgrn						tinkerflag2		25	35	hit-skill	Poison Mastery	10	15	swing2		60	60	dmg-norm		40	50	pierce		50	50	reduce-ac		75	75	att/lvl	4			gold%		80	120	mag%		80	120														0
Titan's Revenge	346	0	1			1	1	50	42	ama	Ceremonial Javelin		11	35000	dred	dred						tinkerflag2		25	35	rep-quant	33			ama		2	2	skilltab	2	1	1	dmg%		150	200	dmg/lvl	6			swing1		20	20	balance1		20	20	hp		100	100	hit-skill	Hydra	1	45										0
The Dragoon Shaft	347	100	1			1	1	43	32	am8	Ceremonial Spear		10	30000	dpur	dpur						tinkerflag2		25	35	skilltab	2	3	3	dmg-fire		400	600	dmg-fire/lvl	48			move2		20	40	kill-skill	Vengeance	20	30	gethit-skill	Lower Resist	25	26																						0
Lycander's Flank	348	100	1			1	1	50	42	am9	Ceremonial Pike		11	35000	dgrn	dgrn						tinkerflag2		25	35	ama		2	2	skilltab	2	1	1	dmg%		170	220	dmg-norm		25	50	swing2		30	30	ac%		10	30	red-dmg%		10	10	lifesteal		5	9	str		10	30	vit		10	30						0
Goldfinger	349	100	1			1	1	53	56	amb	Matriarchal Bow		11	35000	lgld	lgld						tinkerflag2		25	35	swing2		60	60	dmg-ltng/lvl	80			dmg-ltng		1	1000	skilltab	0	1	3	mag%		100	100	gold%		100	100	hit-skill	Ice Arrow	5	50	pierce-ltng		15	25														0
Artemis' Wrath	350	100	1			1	1	78	62	amc	Grand Matron Bow		13	45000	blac	blac						tinkerflag2		25	35	ama		1	3	dmg%		230	280	swing3		30	30	oskill	Natural Resistance	1	1	kill-skill	Tornado Shot	25	45	manasteal		5	7	ignore-ac		1	1	dmg%/lvl	8																0
Maija's Menace	351	0	1			1	1	84	71	0pb	Elven Bow		13	45000	cgrn	cgrn						tinkerflag2		25	35	dmg%		200	400	lifesteal		5	10	manasteal		5	10	hit-skill	Lower Resist	5	36	oskill	Spirit of Nature	10	20	ease		75	75	pierce-cold		20	30	pierce		100	100														0
Zeus' Bolts	352	0	1			1	1	65	62	amf	MatriarchalJavelin		12	40000	bwht	bwht						tinkerflag2		25	35	rep-quant	33			ama		3	3	dmg%		150	200	extra-ltng		15	30	dmg-ltng/lvl	80			abs-ltng		1	5	skill	Lightning Fury	5	10	aura	Vigor	5	10	pierce-ltng		15	20										0
Lightfoot	353	100	1			1	1	61	60	amd	Matriarchal Spear		12	40000	lblu	lblu						tinkerflag2		25	35	ama		1	1	dmg%		200	350	dmg/lvl	8			swing3		40	40	kill-skill	Spearstorm	15	40	move3		40	40	skilltab	1	1	3	ease		-50	-50														0
Raiden's Staff	354	100	1			1	1	81	70	ame	Matriarchal Pike		13	45000	lyel			invraidenstaff				tinkerflag2		25	35	dmg%		250	375	swing3		30	30	crush		50	50	dmg%/lvl	16			oskill	Fade	15	20	oskill	Shade Armor	15	20	gethit-skill	Static Field	100	20	aura	Might	10	20														0
Ghoul's Touch	355	100	1			1	1	1	5	ktr	Katar		6	10000	dgry	dgry						tinkerflag2		25	35	dmg-cold	250	25	50	hit-skill	Amplify Damage	5	10	sock		1	1	charge-noconsume		5	15	dmg%		50	100	swing2		20	20																						0
Diamond Cuff	356	100	1			1	1	7	9	wrb	Wrist Blade		6	10000	bwht	bwht						tinkerflag2		25	35	dmg-norm		10	20	dmg-ltng/lvl	24			dmg-ltng		1	200	dmg-demon		200	200	dmg-undead		200	200	att		50	150	skill	Claws of Thunder	1	7	deadly		20	20														0
Shadow Slice	357	100	1			1	1	12	12	axf	Hatchet Hands		7	15000	blac	blac						tinkerflag2		25	35	dmg/lvl	8			swing2		20	20	lifesteal		5	10	manasteal		5	10	dmg-ac		-25	-25	allskills		1	1	item-skill-cooldown		10	20																		0
Soulsear	358	100	1			1	1	15	13	ces	Cestus		7	15000	cblu	cblu						tinkerflag2		25	35	dmg%		50	75	swing2		30	30	manasteal		40	50	hit-skill	Glacial Spike	10	15	extra-cold		5	10	kill-skill	Lower Resist	5	6																						0
Scratch of Persia	359	100	1			1	1	18	15	clw	Claws		7	15000	lgld	lgld						tinkerflag2		25	35	dmg-norm		10	20	swing1		10	10	res-all		10	10	skill	Dragon Fury	4	8	skill	Execute	4	8	gold%		50	100	mag%		30	60	dmg%		50	75														0
Threaded Spines	360	100	1			1	1	21	19	btl	Blade Talons		8	20000	dgrn	dgrn						tinkerflag2		25	35	dmg/lvl	8			dmg-pois	125	208	412	dmg-pois/lvl	16			deadly		20	20	hit-skill	Teeth	5	15	gethit-skill	Poison Mastery	15	6	pierce-pois		5	10																		0
Royal Grapple	361	100	1			1	1	24	22	skr	Scissors Katar		8	20000	dgld	dgld						tinkerflag2		25	35	ass		1	1	dmg%		160	210	swing1		25	25	res-all		25	25	deadly		25	25	crush		25	25	ease		-50	-50																		0
Phalzyr's Frenzy	362	100	1			1	1	37	29	njt	Ninja To		9	25000	blac	blac						tinkerflag2		25	35	dmg/lvl	12			swing3		40	80	att		50	200	att/lvl	8			dex		20	20	dex/lvl	4			dmg%		75	125																		0
Ensnare	363	100	1			1	1	32	32	9ar	Quhab		8	20000	lgry	lgry						tinkerflag2		25	35	skilltab	18	3	3	skill	Lightning Sentry	2	3	skill	STeeth	2	3	skill	Inferno Sentry	2	3	mana		60	60	swing1		20	20	slow		25	35	hit-skill	Decrepify	10	16	knock		1	1	dmg-norm		20	35						0
Quill Giant's Spine	364	100	1			1	1	32	29	9wb	Wrist Spike		9	25000	dpur	dpur						tinkerflag2		25	35	dmg%		50	150	dmg-norm		15	35	swing2		30	40	knock		1	1	hp		25	75	kill-skill	Shuriken	15	14	gethit-skill	Blade Nova	20	30																		0
Sparkmonger	365	100	1			1	1	36	32	9xf	Fascia		9	25000	lyel	lyel						tinkerflag2		25	35	dmg%		50	100	dmg-ltng		1	400	dmg-ltng/lvl	32			res-ltng-max		1	3	res-ltng		40	70	skill	Claws of Thunder	2	4	hit-skill	Chain Lightning	10	35	kill-skill	Death Sentry	25	40	pierce-ltng		10	15										0
Doom's Apprentice	366	100	1			1	1	41	35	9cs	Hand Scythe		10	30000	blac	blac						tinkerflag2		25	35	dmg%		100	200	deadly		30	30	crush		15	15	lifesteal		6	12	hit-skill	Amplify Damage	10	20	kill-skill	Corpse Explosion	25	40																						0
Scratch of the Elements	367	100	1			1	1	45	38	9lw	Greater Claws		10	30000	bwht	bwht						tinkerflag2		25	35	swing1		40	40	dmg-fire		250	350	dmg-cold	200	275	325	dmg-ltng		1	600	skill	Royal Strike	1	3	skill	Fists of Fire	2	4	skill	Claws of Thunder	2	4	skill	Blades of Ice	2	4	sock		2	2	allskills		1	1						0
Fangs of the King Cobra	368	100	1			1	1	50	42	9tw	Greater Talons		11	35000	cgrn	cgrn						tinkerflag2		25	35	dmg%		180	240	deadly		33	33	dmg-pois	100	768	2304	dmg-pois/lvl	40			lifesteal		10	10	res-pois		50	50	res-pois-len		50	50	skill	Venom	5	15	pierce-pois		10	15										0
Warpfist	369	100	1			1	1	54	45	9qr	Scissors Quhab		11	35000	lpur	lpur						tinkerflag2		25	35	dmg%		100	200	dmg%/lvl	24			swing3		50	50	slow		25	25	balance2		20	20	kill-skill	Blade Nova	20	40	charged	Teleport	100	1	ac		150	150	rep-dur	15												0
Solistus' Masamune Edge	370	100	1			1	1	62	58	9nj	Wakizashi		12	40000	dblu	dblu						tinkerflag2		25	35	swing1		50	50	att%		50	125	dmg-fire		400	500	dmg-cold	300	400	500	dmg-ltng		1	900	kill-skill	Lower Resist	15	26	cast2		80	80	all-stats		30	30	pierce-fire		10	15	pierce-cold		10	15	pierce-ltng		10	15		0
Clavo Platino	371	100	1			1	1	52	55	7ar	Suwayyah		11	35000	dblu	dblu						tinkerflag2		25	35	dmg%		200	250	dmg-undead		150	300	dmg-demon		150	300	crush		25	25	swing2		25	25	ignore-ac		1	1	skill	Blade Nova	6	10	skilltab	20	1	2	deadly		25	25	dmg-norm		10	25						0
Excalibria	372	100	1			1	1	57	56	7wb	Wrist Sword		11	35000	bwht	bwht						tinkerflag2		25	35	ass		1	3	dmg%		200	300	dmg-norm		25	50	move1		35	35	hp		50	100	mana		50	100	kill-skill	Whirlwind	20	30																		0
Polar Edge	373	100	1			1	1	62	58	7xf	War Fist		12	40000	lblu	lblu						tinkerflag2		25	35	dmg%		150	300	dmg-cold	300	600	1000	freeze		3	3	oskill	370	1	1	skill	Blades of Ice	3	10	hit-skill	Frozen Orb	2	45	oskill	Hurricane	30	40	indestruct		1	1	pierce-cold		15	20	nofreeze		1	1						0
The Freedom of Imprisonment	374	100	1			1	1	67	61	7cs	Battle Cestus		12	40000	dgry	dgry						tinkerflag2		25	35	dmg%		300	350	dmg-norm		40	50	crush		33	33	att		150	200	knock		1	1	ac		500	500	ease		100	100	deadly		33	33	swing2		40	40	lifesteal		15	20						0
Raja's Majesty	375	100	1			1	1	72	65	7lw	Feral Claws		13	45000	oran	oran						tinkerflag2		25	35	dmg%		200	300	dmg-norm		30	45	swing2		40	40	kill-skill	Execute	10	40	lifesteal		5	10	manasteal		5	10	mag%		50	150	skilltab	19	1	3	oskill	Fanatic Swing	1	1	item-skill-cooldown		10	20	extra-mag2		10	30		0
Viz-Jaq'taar's Invention	376	100	1			1	1	77	70	7tw	Runic Talons		13	45000	lgry	lgry						tinkerflag2		25	35	ass		1	2	dmg%		280	330	swing3		40	40	kill-skill	Fists of Fire	5	50	kill-skill	Claws of Thunder	5	50	kill-skill	Blades of Ice	5	50	skill	Quickness	2	4	skill	Fade	2	4	skill	Shade Armor	2	4	sock		2	2	trap-limit		1	1		0
