Id	prop1	chance1	par1	min1	max1	prop2	chance2	par2	min2	max2	prop3	chance3	par3	min3	max3	prop4	chance4	par4	min4	max4	prop5	chance5	par5	min5	max5	prop6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
regenerator	monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	takedmg-skill		653	2	1	takedmg-skill		654	2	1	takedmg-skill		655	2	1	monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	takedmg-skill		653	2	1	takedmg-skill		654	2	1	takedmg-skill		655	2	1	monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	takedmg-skill		653	2	1	takedmg-skill		654	2	1	takedmg-skill		655	2	1	0
cursedabomination	monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	pierce-pois			50	50											monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	pierce-pois			50	50											monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	pierce-pois			50	50											0
netherreaver	monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	pierce-fire			50	50	pierce-cold			50	50	pierce-ltng			50	50	monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	pierce-fire			50	50	pierce-cold			50	50	pierce-ltng			50	50	monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	pierce-fire			50	50	pierce-cold			50	50	pierce-ltng			50	50	0
deathshot	monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	hit-skill		66	100	35	hit-skill		659	75	1						monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	hit-skill		66	100	35	hit-skill		659	75	1						monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	hit-skill		66	100	35	hit-skill		659	75	1						0
doomspine	monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	crush			50	50	deadly			50	50						monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	crush			50	50	deadly			50	50						monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	crush			50	50	deadly			50	50						0
medusahellhound	monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	hit-skill		661	100	1											monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	hit-skill		661	100	1											monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	hit-skill		661	100	1											0
goblintechies	monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	death-skill		546	100	1											monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	death-skill		546	100	1											monrandombonus	20		100	100	monrandomelemdambonus	20		500	500	dmg-mag	20		250	250	death-skill		546	100	1											0
diablohellhound	haste			50	50	att-skill		632	50	1	att-skill		633	50	1	att-skill		664	50	1	att-skill		663	50	1	death-skill		759	100	1	haste			50	50	att-skill		632	50	1	att-skill		633	50	1	att-skill		664	50	1	att-skill		663	50	1	death-skill		759	100	1	haste			50	50	att-skill		632	50	1	att-skill		633	50	1	att-skill		664	50	1	att-skill		663	50	1	death-skill		759	100	1	0
ancientfallenangel	haste			50	50	takedmg-skill		666	2	1	att-skill		666	25	1	takedmg-skill		655	10	1	death-skill		759	100	1						haste			50	50	takedmg-skill		666	2	1	att-skill		666	25	1	takedmg-skill		655	10	1	death-skill		759	100	1						haste			50	50	takedmg-skill		666	2	1	att-skill		666	25	1	takedmg-skill		655	10	1	death-skill		759	100	1						0
lucionwhisper	haste			50	50	takedmg-skill		42	3	20	death-skill		759	100	1																haste			50	50	takedmg-skill		42	3	20	death-skill		759	100	1																haste			50	50	takedmg-skill		42	3	20	death-skill		759	100	1																0
terrorintheshadows	haste			50	50	takedmg-skill		650	5	1	death-skill		759	100	1																haste			50	50	takedmg-skill		650	5	1	death-skill		759	100	1																haste			50	50	takedmg-skill		650	5	1	death-skill		759	100	1																0
spiderling	haste			50	50	death-skill		671	100	1																					haste			50	50	death-skill		671	100	1																					haste			50	50	death-skill		671	100	1																					0
avatarofthenight	haste			100	100	deadly			50	50	crush			50	50	state		blue	1	1	takedmg-skill		675	1	1	death-skill		759	100	1	haste			100	100	deadly			50	50	crush			50	50	state		blue	1	1	takedmg-skill		675	1	1	death-skill		759	100	1	haste			100	100	deadly			50	50	crush			50	50	state		blue	1	1	takedmg-skill		675	1	1	death-skill		759	100	1	0
heraldofdoom	haste			50	50	takedmg-skill		42	1	20	pierce-res-all			100	100	death-skill		759	100	1											haste			50	50	takedmg-skill		42	1	20	pierce-res-all			100	100	death-skill		759	100	1											haste			50	50	takedmg-skill		42	1	20	pierce-res-all			100	100	death-skill		759	100	1											0
glacialbehemoth	takedmg-skill		682	2	1	takedmg-skill		650	3	1	attackrate			200	200	item_fastercastrate			200	200	death-skill		759	100	1						takedmg-skill		682	2	1	takedmg-skill		650	3	1	attackrate			200	200	item_fastercastrate			200	200	death-skill		759	100	1						takedmg-skill		682	2	1	takedmg-skill		650	3	1	attackrate			200	200	item_fastercastrate			200	200	death-skill		759	100	1						0
thetaskmaster	haste			50	50	death-skill		759	100	1																					haste			50	50	death-skill		759	100	1																					haste			50	50	death-skill		759	100	1																					0
bloodthirstyslave	takedmg-skill		650	5	1																										takedmg-skill		650	5	1																										takedmg-skill		650	5	1																										0
suicidalslave	haste			50	50	death-skill		685	100	1	death-skill		686	100	1																haste			50	50	death-skill		685	100	1	death-skill		686	100	1																haste			50	50	death-skill		685	100	1	death-skill		686	100	1																0
baaldisfiguredharbinger	haste			100	100	takedmg-skill		42	1	20	pierce-res-all			100	100	death-skill		759	100	1											haste			100	100	takedmg-skill		42	1	20	pierce-res-all			100	100	death-skill		759	100	1											haste			100	100	takedmg-skill		42	1	20	pierce-res-all			100	100	death-skill		759	100	1											0
instrumentofdestruction	takedmg-skill		650	1	1	death-skill		569	100	1																					takedmg-skill		650	1	1	death-skill		569	100	1																					takedmg-skill		650	1	1	death-skill		569	100	1																					0
treasuregoblin	death-skill		605	100	1	takedmg-skill		42	5	20	takedmg-skill		664	2	1	takedmg-skill		632	2	1	takedmg-skill		647	2	1	takedmg-skill		629	2	1	death-skill		605	100	1	takedmg-skill		42	5	20	takedmg-skill		664	2	1	takedmg-skill		632	2	1	takedmg-skill		647	2	1	takedmg-skill		629	2	1	death-skill		605	100	1	takedmg-skill		42	5	20	takedmg-skill		664	2	1	takedmg-skill		632	2	1	takedmg-skill		647	2	1	takedmg-skill		629	2	1	0
arbiterofsouls	takedmg-skill		637	3	1	haste			50	50	takedmg-skill		42	1	20	death-skill		759	100	1											takedmg-skill		637	3	1	haste			50	50	takedmg-skill		42	1	20	death-skill		759	100	1											takedmg-skill		637	3	1	haste			50	50	takedmg-skill		42	1	20	death-skill		759	100	1											0
weakeningtower	death-skill		697	100	1	state		hidedead	1	1	pierce-res-all			100	100																death-skill		697	100	1	state		hidedead	1	1	pierce-res-all			100	100																death-skill		697	100	1	state		hidedead	1	1	pierce-res-all			100	100																0
baaltheinvincible	pierce-res-all			100	100	takedmg-skill		42	1	20	death-skill		759	100	2																pierce-res-all			100	100	takedmg-skill		42	1	20	death-skill		759	100	2																pierce-res-all			100	100	takedmg-skill		42	1	20	death-skill		759	100	2																0
mephistotheinvincible	pierce-res-all			100	100	takedmg-skill		42	1	20	takedmg-skill		702	1	1	death-skill		759	100	2											pierce-res-all			100	100	takedmg-skill		42	1	20	takedmg-skill		702	1	1	death-skill		759	100	2											pierce-res-all			100	100	takedmg-skill		42	1	20	takedmg-skill		702	1	1	death-skill		759	100	2											0
diablotheinvincible	pierce-res-all			100	100	takedmg-skill		707	1	1	death-skill		759	100	2																pierce-res-all			100	100	takedmg-skill		707	1	1	death-skill		759	100	2																pierce-res-all			100	100	takedmg-skill		707	1	1	death-skill		759	100	2																0
doomsdayangel	death-skill		706	100	1	abs-elem%			40	40																					death-skill		706	100	1	abs-elem%			40	40																					death-skill		706	100	1	abs-elem%			40	40																					0
eternalpendulum	fade			1	1	death-skill		718	100	1																					fade			1	1	death-skill		718	100	1																					fade			1	1	death-skill		718	100	1																					0
korlictheeternal	fade			1	1	takedmg-skill		650	2	1	takedmg-skill		717	1	1	attackrate			50	50	state		fullsetgeneric	1	1	death-skill		759	100	1	fade			1	1	takedmg-skill		650	2	1	takedmg-skill		717	1	1	attackrate			50	50	state		fullsetgeneric	1	1	death-skill		759	100	1	fade			1	1	takedmg-skill		650	2	1	takedmg-skill		717	1	1	attackrate			50	50	state		fullsetgeneric	1	1	death-skill		759	100	1	0
talictheeternal	fade			1	1	attackrate			50	50	state		fullsetgeneric	1	1	death-skill		759	100	1											fade			1	1	attackrate			50	50	state		fullsetgeneric	1	1	death-skill		759	100	1											fade			1	1	attackrate			50	50	state		fullsetgeneric	1	1	death-skill		759	100	1											0
madawctheeternal	fade			1	1	attackrate			50	50	state		fullsetgeneric	1	1	death-skill		759	100	1											fade			1	1	attackrate			50	50	state		fullsetgeneric	1	1	death-skill		759	100	1											fade			1	1	attackrate			50	50	state		fullsetgeneric	1	1	death-skill		759	100	1											0
thelichking	state		bluecolor	1	1	takedmg-skill		723	1	1	takedmg-skill		724	1	1	pierce-res-all			100	100	death-skill		759	100	3						state		bluecolor	1	1	takedmg-skill		723	1	1	takedmg-skill		724	1	1	pierce-res-all			100	100	death-skill		759	100	3						state		bluecolor	1	1	takedmg-skill		723	1	1	takedmg-skill		724	1	1	pierce-res-all			100	100	death-skill		759	100	3						0
lichkingabomination	state		bluecolor	1	1	takedmg-skill		563	5	20	takedmg-skill		562	5	20	takedmg-skill		717	1	1											state		bluecolor	1	1	takedmg-skill		563	5	20	takedmg-skill		562	5	20	takedmg-skill		717	1	1											state		bluecolor	1	1	takedmg-skill		563	5	20	takedmg-skill		562	5	20	takedmg-skill		717	1	1											0
lichkingghoul	state		bluecolor	1	1	takedmg-skill		650	2	1																					state		bluecolor	1	1	takedmg-skill		650	2	1																					state		bluecolor	1	1	takedmg-skill		650	2	1																					0
lichkingvalkyrie	state		bluecolor	1	1	death-skill		718	100	1																					state		bluecolor	1	1	death-skill		718	100	1																					state		bluecolor	1	1	death-skill		718	100	1																					0
monaoebuffondeathgold	monrandombonus	20		20	20	death-skill		566	10	1	death-skill		567	10	1	death-skill		568	10	1	death-skill		569	10	1	state		234	1	1	monrandombonus	20		20	20	death-skill		566	10	1	death-skill		567	10	1	death-skill		568	10	1	death-skill		569	10	1	state		234	1	1	monrandombonus	20		20	20	death-skill		566	10	1	death-skill		567	10	1	death-skill		568	10	1	death-skill		569	10	1	state		234	1	1	0
