skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Dim Vision	71	nec	dim vision		30																		2		dimvision	ln34+(skill('Weaken'.blvl)+skill('Decrepify'.blvl)+skill('Lower Resist'.blvl))*par8	ln12	magicresist	-10-lvl																																																																	necromancer_curse_cast														18	30						cursedimvision		cursecast										1	0		none												SC	SC	xx					4															1							necromancer_curse_cast			6	30								1						0	1					1	8	9	0	1																							4	radius	1	radius per level	175	duration	50	additional duration/level							25	duration synergy									1								8																																					3000	0
Weaken	72	nec	weaken		30																		3		weaken	ln34+skill('Dim Vision'.blvl)*par8	ln12	damagepercent	"-min(80,par5+lvl+(skill('Dim Vision'.blvl)*par7))"	damageresist	"-min(60,par6+lvl)"																																																															necromancer_curse_cast														18	30						curseweaken		cursecast										1	9		none												SC	SC	SC					4															1							necromancer_curse_cast			1	30								1						0	1					1	8	4	0	1																							6	radius	1	radius per level	350	duration	60	additional duration/level	20	% damage target can do base	9	% additional damage taken base	1	weaken synergy	25	duration synergy									1								8																																					3000	0
Poison Dagger	73	nec	poison dagger	57	121													poisondaggernecro							rabies																																																																																																						1	4		h2h	mele	mele										A1	A1	xx				1		1	1								1															1	30														1	1					1	5	12	1	1																																					7	damage synergy									1	50	30		1	2			3	128														pois	5	5	10	15	15	15	10	10	15	25	35	35	(skill('Bone Armor'.blvl)+skill('Poison Explosion'.blvl)+skill('Killer Scythe'.blvl)+skill('Poison Nova'.blvl))*par8	150							256	5000	0
Corpse Explosion	74	nec	corpse explosion	17	55																						ln34/2																																																																		1	necromancer_corpse_cast								necromancer_corpseexp_1						21	32						corpseexplosion	explodingarrowexp	redlightmissile										1	0		none												SC	SC	xx								1		1	1									1			3			1	necromancer_corpse_cast			18	25					Poison Explosion									1	1					1	7	30	5	1											par1	% target hp min damage	par2+lvl*2+skill('Bone Spear'.blvl)+skill('Bone Spirit'.blvl)+skill('Hells Gate'.blvl)	% target hp max damage	skill('Hells Gate'.blvl)*5	% damage to do as elemental							1	% of base monster HP min damage	98	% of base monster HP max damage	16	radius (half squares)	1	additional radius/level (half squares)	50	% damage to do as elemental					1	damage synergy									1								8															fire																						3000	0
Clay Golem	75	nec	clay golem		56																							item_slow	dm56	passive_summ_mastery	stat('passive_summ_mastery'.accr)									damagedinmelee	27								velocitypercent	skill('Golem Mastery'.ln34)	tohit	150+skill('Golem Mastery'.ln56)	armorclass	lvl*15	damagepercent	(100+lvl*par4+skill('FireGolem'.blvl)*skill('FireGolem'.par8))*(100+stat('passive_summ_mastery'.accr))/100-100	item_normaldamage	pnma	item_tohit_percent	lvl*par8	item_armor_percent	skill('IronGolem'.blvl)*skill('IronGolem'.par8)	attackrate	skill('Golem Mastery'.ln34)/2													claygolem	golem	1+lvl/25+skill('BloodGolem'.lvl)/25+skill('IronGolem'.lvl)/25+skill('FireGolem'.lvl)/25	S1	Shower of Rocks	lvl	passive_summ_mastery	stat('passive_summ_mastery'.accr)	FireGolem	skill('FireGolem'.lvl)								necromancer_golem_cast																																	1	5		none												SC	SC	S1					4															1										6	30								1						0	1					1	8	15	3	1	1										skill('Golem Mastery'.ln12)+skill('BloodGolem'.blvl)*skill('BloodGolem'.par8)+5*lvl	hp % adjustment																	10	%additional golem damage per level	0	slow effect min	50	slow effect max	3	base damage synergy	10	clay golem attack synergy									1								8		4	4	8	12	16	16																														3000	0
Iron Maiden	76	nec	iron maiden		30																		3		ironmaiden	ln34+(skill('Amplify Damage'.blvl)+skill('Life Tap'.blvl)+skill('Decrepify'.blvl))*par8	par1+lvl													domeleedamage	4																																																					necromancer_curse_cast														18	30						curseironmaiden		cursecast										1	9		none												SC	SC	S2					4															1										12	25					Amplify Damage			1						0	1					1	8	5	0	1											ln56+(skill('Amplify Damage'.blvl)+skill('Life Tap'.blvl)+skill('Decrepify'.blvl))*par7	% damage to return	20	% damage to return vs. players	0	% damage to return other							7	radius	60	% additional damage taken	300	duration	60	additional duration/level	500	% damage returned to accursed	125	% additional returned/level	75	damage synergy	25	duration synergy									1				16385		141		8																																					8000	0
Terror	77	nec	terror		30																		2		terror	ln34+(skill('Confuse'.blvl)+skill('Attract'.blvl)+skill('Decrepify'.blvl))*par8	ln12	fireresist	-5-lvl*2/3	lightresist	-5-lvl*2/3	coldresist	-5-lvl*2/3																																																													necromancer_curse_cast														18	30						curseterror		cursecast										1	0		none												SC	SC	xx					4															1							necromancer_curse_cast			1	30								1						0	1					1	8	7	0	1																							4	radius	1	radius per level	200	duration	25	additional duration/level	24	Distance to run	2	Distance per level	40	% additional damage taken	25	duration synergy									1								8																																					8000	0
Bone Wall	78	nec	bone wall		60													bonewallmaker																																																											bonewall	none		S1	Bone Armor	skill('Bone Armor'.blvl)	Bone Prison	skill('Bone Prison'.blvl)	Bone Spirit	skill('Bone Spirit'.blvl)	Teeth	skill('Teeth'.blvl)						necromancer_bone_cast														22																			1	0		none												SC	SC	xx					4															1							necromancer_bone_cast			6	30								1						0	1					1	8	17	0	1											(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Prison'.blvl)+skill('Bone Spirit'.blvl)+skill('Teeth'.blvl))*par8)	hp % adjustment	par34	# of walls - 1									35	% additional HP per level	100	MAX duration	8	Max Monsters per wall	0	"Level, max monsters per wall"							10	life synergy									1								8																																					8000	0
Golem Mastery	79	nec	golem mastery																																											golem_mastery																																																																																	1	0		none												SC	SC	xx																														12	25					Clay Golem									0	0					0	8	0	0	1								1															20	% HP bonus per level	10	% HP bonus per level	10	min velocity increase	1	max velocity increase	25	to hit	25	to hit/lvl	3	base damage											1								8																																					8000	0
Raise Skeletal Mage	80	nec	raise skeletal mage	15	31																							passive_summ_mastery	stat('passive_summ_mastery'.accr)	armorclass	lvl*3	item_armor_percent	(skill('Summon Skeleton King'.blvl)+skill('Raise Skeleton'.blvl)+skill('Skeleton Mastery'.lvl))*par5																passive_fire_pierce	stat('passive_fire_pierce'.accr)	passive_cold_pierce	stat('passive_cold_pierce'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)	passive_pois_pierce	stat('passive_pois_pierce'.accr)																					necromage	skeletonmage	(lvl<3)?lvl:(2+lvl/4)	NU	Skeleton Mastery	skill('Skeleton Mastery'.lvl)	NecromageMissile	1+lvl/2+skill('Skeleton Mastery'.lvl)/2	Summon Skeleton King	skill('Summon Skeleton King'.blvl)	Raise Skeleton	skill('Raise Skeleton'.blvl)					1	necromancer_golem_cast														20	31						corpseexplosion												1	0		none												SC	SC	xx								1		2	1																			12	25					Raise Skeleton									0	1					1	7	32	3	1											(skill('Skeleton Mastery'.lvl)+skill('Raise Skeleton'.blvl)+skill('Summon Skeleton King'.blvl)+lvl)*par2	hp % adjustment	1+lvl/2+skill('Skeleton Mastery'.lvl)/2	spell level for desc	(25+ast3)*(100+ast5)/100	Def calc for display									10	hp%/lvl	7	dmg%/lvl	15	to hit/lvl	15	ac/lvl			5	ac synergy	3	hp synergy									1								8																																					8000	0
Confuse	81	nec	confuse		61																		2		confuse	ln34+(skill('Terror'.blvl)+skill('Attract'.blvl)+skill('Decrepify'.blvl))*par8	ln12	poisonresist	-10-lvl																																																																	necromancer_curse_cast														18	30						curseconfuse		cursecast										1	0		none												SC	SC	xx					4															1							necromancer_curse_cast			6	30								1						0	1					1	8	13	0	1																							6	radius	1	radius per level	250	duration	50	additional duration/level							25	duration synergy									1								8																																					16000	0
Life Tap	82	nec	life tap		30																		3		lifetap	ln34+(skill('Amplify Damage'.blvl)+skill('Iron Maiden'.blvl)+skill('Decrepify'.blvl))*par8	ln12													damagedinmelee	5	damagedbymissile	5																																																			necromancer_curse_cast									steallife					18	30						cursereversevampire		cursecast										1	4		none												SC	SC	S2					4															1							necromancer_curse_cast			24	20					Iron Maiden			1						0	1					1	8	9	0	1											ln56+(skill('Amplify Damage'.blvl)+skill('Iron Maiden'.blvl)+skill('Decrepify'.blvl)+skill('BloodGolem'.blvl))*par7	hp % returned											4	radius	1	radius per level	400	duration	60	additional duration/level	20	% damage healed	2	% additional heal/level	2	heal synergy	25	duration synergy									1								8																																					16000	0
Poison Explosion	83	nec	poison explosion	17	63													poisonexplosioncloud									par3																																																																		1	necromancer_corpse_cast								necromancer_corpseexp_1						21	33						poisoncorpseexplosion	poisonexplosioncloud	greenlightmissile										1	0		none												SC	SC	xx								1		1	1									1			3			1	necromancer_corpse_cast			6	30					Poison Dagger									1	1					1	8	8	0	1																											24	radius (dummy / see missile.txt)							5	duration synergy	7	damage synergy									1								5															pois	18	18	27	38	47	56	18	18	27	38	47	56	(skill('Poison Dagger'.blvl)+skill('Poison Nova'.blvl)+skill('Corpse Explosion'.blvl))*par8	25								16000	0
Bone Spear	84	nec	frozenspear												bonespearnecro																																																																															necromancer_bone_cast															27					bonespearnecro													1	6		none												SC	SC	xx																	1			1							necromancer_bone_cast			12	25					Bone Armor									1	1					1	6	28	1	1											2+lvl/15																										6	damage synergy									1								8															mag	9	9	17	26	33	33	17	9	17	26	33	33	(100+(skill('Bone Spirit'.blvl)+skill('Hells Gate'.blvl)+skill('Bone Armor'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100									16000	0
BloodGolem	85	nec	bloodgolem		56																							passive_summ_mastery	stat('passive_summ_mastery'.accr)											domeleedamage	23	damagedinmelee	26	damagedbymissile	26				velocitypercent	skill('Golem Mastery'.ln34)	tohit	150+skill('Golem Mastery'.ln56)	armorclass	lvl*15+skill('IronGolem'.blvl)*skill('IronGolem'.par8)	damagepercent	(100+lvl*par4+skill('FireGolem'.blvl)*skill('FireGolem'.par8))*(100+stat('passive_summ_mastery'.accr))/100-100	item_normaldamage	pnma	item_tohit_percent	skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	item_armor_percent	skill('IronGolem'.blvl)*skill('IronGolem'.par8)	attackrate	skill('Golem Mastery'.ln34)/2													bloodgolem	golem	1+lvl/25+skill('Clay Golem'.lvl)/25+skill('IronGolem'.lvl)/25+skill('FireGolem'.lvl)/25	S1	Life Tap Golem	lvl												necromancer_golem_cast																																	1	5		none												SC	SC	xx					4																									12	25					Clay Golem			1						0	1					1	8	15	3	1	1										skill('Golem Mastery'.ln12)+lvl*par8+5*lvl	hp % adjustment											30	min % life stolen	30	max % life stolen	10	% stolen life xfer to caster	10	%additional golem damage per level	0	% damage on golem xfered to caster	50	% caster healing xfered to golem	3	base damage synergy	10	blood golem life synergy									1								8		4	4	8	12	16	16																														16000	0
Attract	86	nec	attract	18	59																		2		attract	ln34+(skill('Confuse'.blvl)+skill('Terror'.blvl)+skill('Decrepify'.blvl))*par8	ln12																																																																			necromancer_curse_cast														18	30						curseattract		cursecast										1	0		none												SC	SC	xx					4			1												1										12	25								1						0	1					1	8	17	0	1																							9	radius	0	radius per level	300	duration	90	additional duration/level					1	radius synergy	25	duration synergy									1								8																																					32000	0
Decrepify	87	nec	decrepify		30																		3		decrepify	ln34+(skill('Amplify Damage'.blvl)+skill('Weaken'.blvl)+skill('Lower Resist'.blvl))*par8	ln12	velocitypercent	par5	attackrate	par5	damagepercent	par5	damageresist	"-min(par6+lvl,80)"																																																											necromancer_curse_cast														18	30						cursedecrepify		cursecast										1	9		none												SC	SC	S2					4															1							necromancer_curse_cast			18	25					Dim Vision	Iron Maiden		1						0	1					1	8	11	0	1																							6	radius	0	radius per level	100	duration	15	additional duration/level	-40	"% slowed, -dam, -dam"	39	% additional damage taken	1	radius synergy	25	duration synergy									1								8																																					32000	0
Bone Prison	88	nec	bone prison	19	62																																																																								bonewall	none		NU	Bone Armor	skill('Bone Armor'.blvl)	Bone Wall	skill('Bone Wall'.blvl)	Bone Spirit	skill('Bone Spirit'.blvl)	Teeth	skill('Teeth'.blvl)						necromancer_bone_cast														22																			1	10		none												SC	SC	xx					4			1												1					1		necromancer_bone_cast			18	25					Bone Wall			1						0	1					1	8	27	-1	1											(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl)+skill('Bone Spirit'.blvl)+skill('Teeth'.blvl))*par8)	hp % adjustment											35	% additional HP per level	100	MAX duration											8	life synergy									1								8																																					32000	0
Summon Resist	89	nec	summon resist																																											summonresist			passive_summon_resist	dm12																																																																													1	6		none												SC	SC	xx																														24	20					Golem Mastery									0	0					1	8	44	-3	1								1															20	min % resist	75	max % resist									1	min% resist synergy	2	max% resist synergy									1								8																																					32000	0
IronGolem	90	nec	irongolem		56																							passive_summ_mastery	stat('passive_summ_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)																		velocitypercent	skill('Golem Mastery'.ln34)	tohit	150+skill('Golem Mastery'.ln56)	damageresist	10+lvl/2	damagepercent	(100+lvl*par4+skill('FireGolem'.blvl)*skill('FireGolem'.par8))*(100+stat('passive_summ_mastery'.accr))/100-100	item_normaldamage	pnma	item_tohit_percent	skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	item_attackertakesdamage	pnma*pst4/48	item_attackertakeslightdamage	pnma*pst4/48	magicresist	10+lvl/2	attackrate	skill('Golem Mastery'.ln34)/2									irongolem	golem	1+lvl/25+skill('Clay Golem'.lvl)/25+skill('BloodGolem'.lvl)/25+skill('FireGolem'.lvl)/25	S1													1	necromancer_golem_cast																																	1	5		none												SC	SC	xx					4			1						1																18	25					BloodGolem			1						0	1					1	8	15	3	1	1										skill('Golem Mastery'.ln12)+skill('BloodGolem'.blvl)*skill('BloodGolem'.par8)+5*lvl	hp % adjustment											150	% thorns damage back (level 2)	30	% thorns damage back per level			10	%additional golem damage per level					3	base damage synergy	10	iron golem armor synergy									1								8		4	4	8	12	16	16																														32000	0
Lower Resist	91	nec	lower resist		30																		3		lowerresist	ln34+((skill('Dim Vision'.blvl)+skill('Decrepify'.blvl)+skill('Weaken'.blvl))*par8)	ln12	fireresist	"-min(ln56,90)-skill('Summon Resist'.blvl)*par7"	lightresist	"-min(ln56,90)-skill('Summon Resist'.blvl)*par7"	coldresist	"-min(ln56,90)-skill('Summon Resist'.blvl)*par7"	poisonresist	-skill('Poison Mastery'.blvl)*3	magicresist	-skill('Poison Mastery'.blvl)*3																																																									necromancer_curse_cast														18	30						curselowerresist		cursecast										1	8		none												SC	SC	S2					4															1							necromancer_curse_cast			30	20					Decrepify			1						0	1					1	8	22	0	1																							6	radius	1	radius per level	500	duration	50	additional duration/level	30	% resist lower	1	% resist lower/lvl	1	resist synergy	25	duration synergy									1								8																																					64000	0
Poison Nova	92	nec	poison nova		22													poisonnovanecro																																																																												necromancer_poison_cast															25						poisonnovanecro				0	Missile Velocity Adder							1	3		none												SC	SC	xx																				36	10						necromancer_poison_cast			30	20					Corpse Explosion									1	1					1	8	14	1	1																																					7	damage synergy									1								3															pois	30	30	40	50	60	60	30	30	40	50	60	60	(skill('Poison Dagger'.blvl)+skill('Poison Explosion'.blvl)+skill('Hells Gate'.blvl))*par8	35								64000	0
Bone Spirit	93	nec	bone spirit		10													bonespirit	bonespirit																											pierce			skill_pierce	100																																												necromancer_bone_cast															18						bonespirit												1	7		none												SC	SC	SC																				1			4				necromancer_bone_cast			24	20					Corpse Explosion	Bone Spear								1	1					1	8	16	1	1											0	dmg%																									5	damage synergy									1								8															mag	45	45	60	75	90	90	90	45	60	75	90	90	(100+((skill('Bone Wall'.blvl)+skill('Bone Prison'.blvl)+skill('Teeth'.blvl)+skill('Bone Spear'.blvl)+skill('Hells Gate'.blvl)+skill('Bone Armor'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100									64000	0
FireGolem	94	nec	firegolem		56																							passive_summ_mastery	stat('passive_summ_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)																		velocitypercent	skill('Golem Mastery'.ln34)	tohit	150+skill('Golem Mastery'.ln56)	armorclass	lvl*15+skill('IronGolem'.blvl)*skill('IronGolem'.par8)	damagepercent	(100+lvl*par4+lvl*par8)*(100+stat('passive_summ_mastery'.accr))/100-100	item_normaldamage	pnma	item_tohit_percent	skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	item_armor_percent	skill('IronGolem'.blvl)*skill('IronGolem'.par8)	attackrate	skill('Golem Mastery'.ln34)/2													firegolem	golem	1+lvl/25+skill('Clay Golem'.lvl)/25+skill('BloodGolem'.lvl)/25+skill('IronGolem'.lvl)/25	S1	Fire Nova Golem	lvl												necromancer_golem_cast																																	1	6		none												SC	SC	xx					4															1										24	20					IronGolem			1						0	1					1	8	15	3	1	1										skill('Golem Mastery'.ln12)+skill('BloodGolem'.blvl)*skill('BloodGolem'.par8)+5*lvl	hp % adjustment											25	min % fire absorbtion	100	max % fire absorbtion	5	fire damage syergy	10	%additional golem damage per level	1	Holy Fire Aura level	1	Plus Holy Fire Aura level	3	base damage synergy	10	fire golem damage synergy									1								8		4	4	8	12	16	16																					(100+lvl*par4+lvl*par8)*(100+stat('passive_summ_mastery'.accr))/100-100									64000	0
Raise Skeleton	70	nec	raise skeleton	15	31																							damagepercent	(100+(lvl+skill('Skeleton Mastery'.lvl)+(skill('Summon Skeleton King'.blvl)+skill('Raise Skeletal Mage'.blvl))*par3)*(100+stat('passive_summ_mastery'.accr))/100-100	tohit	lvl*6	armorclass	lvl*3	item_tohit_percent	(skill('Summon Skeleton King'.blvl)+skill('Raise Skeletal Mage'.blvl)+skill('Skeleton Mastery'.lvl))*par4	item_armor_percent	(skill('Summon Skeleton King'.blvl)+skill('Raise Skeletal Mage'.blvl)+skill('Skeleton Mastery'.lvl))*par5	passive_summ_mastery	stat('passive_summ_mastery'.accr)										item_normaldamage	pnma	swing2	30																									necroskeleton	skeleton	(lvl<3)?lvl:(2+lvl*2/7)	S1	Skeleton Bite	lvl	Raise Skeletal Mage	skill('Raise Skeletal Mage'.blvl)	Summon Skeleton King	skill('Summon Skeleton King'.blvl)	Skeleton Mastery	skill('Skeleton Mastery'.lvl)					1	necromancer_golem_cast														20	31						corpseexplosion												1	0		none												SC	SC	xx								1		2	1																			1	30								1						0	1					1	7	24	3	1											(skill('Skeleton Mastery'.lvl)+skill('Raise Skeletal Mage'.blvl)+skill('Summon Skeleton King'.blvl)+lvl)*10	hp % adjustment			(50+ast3)*(100+ast5)/100	Def calc for display	(50+ast2)*(100+ast4)/100	ar calc for display					5	% chance of shield			4	dmg%/lvl	15	to hit/lvl	15	ac/lvl	10	to hit synergy	8	ac synergy	10	hp% bonus									1								8		4	4	8	12	16	16																														1000	0
Zeal	96	pal	zeal	37	13																																																																																								1	paladin_zeal														53	21																		1	2		h2h		mele										A1	A1	xx				1		1	1								1															1	30														1	1					1	7	4	1												5	max targets	ln34+(skill('Judgement'.blvl)+skill('Vengeance'.blvl)+skill('Crucify'.blvl))*par8	damage %												% frame rollback	0	% damage percent	15	damage % per level	2	Targets	5	Max targets			10	damage synergy									1	10	10						8	128																																				8000	0
Smite	97	pal	smite		150																																																																																									weapon_2hs_large_1		1																															1	9		h2h	4	shld										S1	S1	xx				1		1	1								1															1	30														1	1					1	8	2	0												ln34+(skill('Zeal'.blvl)+skill('Crucify'.blvl)+skill('Vengeance'.blvl)+skill('Judgement'.blvl))*par8	damage %	"min(250,ln12)"	stunlen									25	Stun Length	5	additional frames/level	50	Percent bonus damage	30	percent damage per level							15	damage synergy									1				8				8																																					1000	0
Might	98	pal	might		65																		73731	might	might		"min(ln12,30)"	damagepercent	ln34+(skill('Crucify'.blvl)+skill('Judgement'.blvl))*par8																																																																																																	1	1	9		none														xx																														18	25					Thorns			1						0	1					1	8	0	0	1	1	1		50																			16	radius	2	additional radius per level	50	% additional damage	15	% additional damage/level							5	damage synergy									1								8																																					1000	0
Prayer	99	pal	prayer		65																		73731	prayer	prayer		"min(ln12,30)"	hitpoints	edns+(skill('Holy Bolt'.blvl)+skill('Fist of the Heavens'.blvl)+skill('Redemption'.blvl))*par8*51																																																																																																		1	7		none														xx																														1	30								1						0	1					1	7	1	0	1	1	1		10																			16	radius	2	additional radius per level											5	heal synergy									1								8																4	1	2	3	6	6																1000	0
Resist Fire	100	pal	resist fire		65																		73731	resistfire	resistfire		"min(ln12,30)"	item_absorbfire_percent	"min(ln34+skill('Salvation'.blvl)*par8,40)"	maxfireresist	skill('Resist Fire'.blvl)	damageresist	ln34-5	passive_fire_mastery	ln56											passive_resistfire			maxfireresist	skill('Resist Fire'.blvl)/2																																																																												1	1	8		none														xx																														1	30								1						0	1					0	8	0	0	1	1	1		50																			16	radius	2	additional radius per level	10	abs% and DR%(-5)	1	abs% and DR%/lvl	3	elem dmg bonus	3	elem dmg bonus / lvl			1	absorb synergy									1								8																																					1000	0
Holy Bolt	101	pal	holy bolt		117										holybolt			holybolt																																																																												paladin_holybolt_cast											cast_undead				67						holybolt												1	0		none												SC	SC	SC												1	1							1							paladin_holybolt_cast	cast_undead		6	30														1	1					1	6	8	1	1											1+blvl/7	# missiles/min heal	ln34	max heal													50	max hitpoints healed	20	hitpoints healed per level							7	damage synergy									1								7															mag	20	20	30	50	70	70	40	20	30	50	70	70	(100+(skill('Blessed Hammer'.blvl)+skill('Fist of the Heavens'.blvl)+skill('Sanctuary'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100									3000	0
Holy Fire	102	pal	holy fire		66																		42883	holyfire			"min(ln12,30)"																						firemindam	enms*par5/2000	firemaxdam	exms*par5/2000																																																																											1	0		none														xx																														12	25								1						0	1					0	8	0	0	1	1	1		50-lvl/3																			6	radius	1	additional radius per level					3	damage to attack multiplier					6	damage synergy									1				16385				8															fire	10	10	20	30	30	30	30	20	30	40	40	40	(skill('Resist Fire'.blvl)*2+skill('Vengeance'.blvl)+skill('Salvation'.blvl))*par8									3000	0
Thorns	103	pal	thorns		65																		73731	thorns	thorns		"min(ln12,30)"	thorns_percent	ln34+(skill('Vigor'.blvl)+skill('Conviction'.blvl)+skill('Crucify'.blvl))*par8	damagepercent	stat('item_attackertakesdamage'.accr)*lvl/300																																																																																																1	9		none														xx																														6	30					Sanctuary			1						0	1					0	8	0	0	1	1	1		50																			16	radius	2	additional radius per level	500	% damage bounced back	125	% additional bounce back/level							75	thorns synergy									1								8																																					3000	0
Defiance	104	pal	defiance		65																		73731	defiance	defiance		"min(ln12,30)"	skill_armor_percent	ln34+skill('Holy Shield'.blvl)*par7+(skill('Resist Fire'.blvl)+skill('Resist Cold'.blvl)+skill('Resist Lightning'.blvl))*par8																																																																																																	1	1	4		none														xx																														6	30								1						0	1					0	8	0	0	1	1	1		50																			16	radius	2	additional radius per level	100	% additional AC	15	% additional AC/level	0	?	0	?	5	ac% synergy from HS	10	ac% synergy from others									1								8																																					3000	0
Resist Cold	105	pal	resist cold		65																		73731	resistcold	resistcold		"min(ln12,30)"	item_absorbcold_percent	"min(ln34+skill('Salvation'.blvl)*par8,40)"	maxcoldresist	skill('Resist Cold'.blvl)	damageresist	ln34-5	passive_cold_mastery	ln56	item_cannotbefrozen	1									passive_resistcold			maxcoldresist	skill('Resist Cold'.blvl)/2																																																																												1	1	6		none														xx																														1	30								1						0	1					0	8	0	0	1	1	1		50																			16	radius	2	additional radius per level	10	abs% and DR%(-5)	1	abs% and DR%/lvl	3	elem dmg bonus	3	elem dmg bonus / lvl			1	absorb synergy									1								8																																					3000	0
Judgement	106	pal	judgement	6	11													judgement	judgement	judgement																																																																										paladin_sacrifice															19						judgement	judgement	judgement										1	8		h2h		mele										A1	A1	A1				1		1	1								1															24	20					Vengeance							75		1	1					1	8	5	1	1											1																										5	damage synergy									1								8	32														light	1						12	6	12	24	24	24	(100+(skill('Crucify'.blvl)+skill('Zeal'.blvl)+skill('Vengeance'.blvl))*par8)*(100+stat('strength'.accr))/100-100						4			64000	0
Charge	107	pal	charge	31	67																																																																																								1	paladin_charge														25	37																		1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1		1													12	25					Smite									1	1					1	8	6	0		1										ln34+(skill('Vigor'.blvl)+skill('Might'.blvl)+skill('Blessed Aim'.blvl))*par8	Damage %	par1	Velocity %			0	% Damage Dealt as Elemental (Used only if there is an Etype)					150	Velocity %			200	Damage % baseline	50	Damage % per level							15	Damage synergy									1	100	25						8	128																																			512	8000	0
